Time,Manual_Count,Time,Netgear Inc.,Time,UNKNOWN,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,NETCOMM LIMITED,Time,Intel Corporate,Time,"Huawei Technologies Co., Ltd",Time,Belkin International Inc.,Time,ASUSTek COMPUTER INC.,Time,Liteon Technology Corporation,Time,DrayTek Corp.,Time,"Apple, Inc",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,SEIKO EPSON CORPORATION,Time,"Apple, Inc.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Apple Inc,Time,Liteon Tech Corp.,Time,"Samsung Electro Mechanics co., LTD.",Time,Motorola Mobility LLC,Time,Routerboard.com,Time,Ubiquiti Networks,Time,IBM Corp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,4,0,4,1,4,0,4,1,4,0,4,1,4,1,4,0,4,0,8,0,17,0,35,0,39,0,56,0,61,0,65,0,86,0,91,0,148,0,148,0,218,0,226,0,281,0,312,0,316,0,399,0,421,0,429,0
9,9,8,1,8,2,8,1,8,2,8,1,8,2,8,2,8,1,8,1,13,1,22,1,39,1,43,1,61,1,65,1,69,1,91,1,95,1,152,1,152,1,222,1,231,1,286,1,316,1,321,1,403,1,425,1,434,1
12,9,13,1,13,2,13,1,13,2,13,1,13,2,13,2,13,1,13,1,17,1,26,1,43,1,48,1,65,1,69,1,74,1,95,1,100,1,156,1,156,1,226,1,235,1,290,1,321,1,326,1,408,1,429,1,438,1
18,9,17,1,17,2,17,1,17,2,17,2,17,2,17,2,17,1,17,1,22,1,30,1,48,1,52,1,69,1,74,1,78,1,100,1,105,1,161,1,161,1,231,1,240,1,295,1,326,1,330,1,412,1,434,1,442,1
22,10,22,1,22,2,22,1,22,2,22,2,22,2,22,2,22,1,22,1,26,1,35,1,52,1,56,1,74,1,78,1,82,1,105,1,109,1,165,1,165,1,235,1,244,1,299,1,330,1,334,1,416,1,438,1,446,1
35,11,26,1,26,3,26,1,26,2,26,2,26,2,26,2,26,2,26,1,30,1,39,1,56,1,61,1,78,1,82,1,86,1,109,1,113,1,170,1,170,1,240,1,248,1,303,1,334,1,338,1,421,1,442,1,451,1
39,11,30,1,30,3,30,1,30,2,30,2,30,2,30,2,30,2,30,1,35,1,43,0,61,0,65,1,82,0,86,0,91,0,113,0,117,0,174,0,174,0,244,0,252,0,308,1,338,1,343,1,425,1,446,1,455,1
58,11,35,1,35,3,35,1,35,2,35,2,35,2,35,2,35,2,35,1,39,1,48,0,65,0,69,1,86,0,91,0,95,1,117,0,122,0,178,0,178,1,248,1,256,0,312,0,343,0,347,0,429,0,451,0,459,0
71,11,39,1,39,3,39,1,39,1,39,2,39,2,39,2,39,2,39,1,43,1,52,1,69,0,74,1,91,0,95,0,100,1,122,0,126,0,183,0,183,1,252,1,261,0,316,0,347,0,352,0,434,0,455,0,463,0
85,11,43,1,43,3,43,1,43,1,43,2,43,2,43,2,43,2,43,1,48,1,56,1,74,0,78,1,95,0,100,0,105,1,126,0,130,0,187,0,187,1,256,1,265,0,321,0,352,0,356,0,438,0,459,0,468,0
97,11,48,1,48,3,48,1,48,1,48,2,48,2,48,2,48,2,48,1,52,1,61,1,78,0,82,1,100,0,105,0,109,1,130,0,135,0,191,0,191,1,261,1,269,0,326,0,356,0,360,0,442,0,463,0,473,0
113,11,52,1,52,2,52,1,52,1,52,2,52,2,52,2,52,2,52,1,56,1,65,1,82,0,86,1,105,0,109,0,113,1,135,0,139,0,196,0,196,1,265,1,274,0,330,0,360,0,364,0,446,0,468,0,476,0
128,12,56,1,56,2,56,1,56,1,56,2,56,1,56,2,56,1,56,1,61,1,69,1,86,0,91,1,109,0,113,0,117,1,139,0,143,0,200,0,200,1,269,1,278,0,334,0,364,0,369,0,451,0,473,0,481,0
142,12,61,1,61,2,61,1,61,1,61,2,61,1,61,2,61,1,61,1,65,1,74,1,91,0,95,1,113,0,117,0,122,0,143,0,148,0,204,0,204,0,274,0,277,0,338,0,369,0,373,0,455,0,476,0,485,0
170,12,65,1,65,2,65,1,65,1,65,2,65,1,65,2,65,1,65,1,69,1,78,1,95,0,100,1,117,0,122,1,126,0,148,0,152,0,209,0,209,1,278,0,281,0,343,1,373,0,377,0,459,0,481,0,489,0
217,14,69,1,69,2,69,1,69,1,69,2,69,1,69,2,69,1,69,1,74,1,82,0,100,1,105,1,122,0,126,1,130,0,152,0,156,0,213,0,213,1,277,0,286,0,347,1,377,0,381,0,463,0,485,0,494,0
226,12,74,1,74,2,74,1,74,1,74,2,74,2,74,2,74,1,74,1,78,1,86,2,105,1,109,1,126,0,130,1,135,0,156,0,161,0,218,0,218,1,281,0,290,0,352,1,381,0,386,0,468,0,489,0,498,0
261,9,78,1,78,2,78,1,78,1,78,2,78,2,78,2,78,1,78,1,82,1,91,2,109,1,113,1,130,0,135,1,139,0,161,0,165,0,222,0,222,1,286,0,295,0,356,1,386,0,391,0,473,0,494,0,502,0
