Time,Manual_Count,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,Apple,Time,Billion Electric Co. Ltd.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,NETGEAR,Time,"NETGEAR INC.,",Time,D-Link International,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"Apple, Inc",Time,Routerboard.com,Time,Intel Corporate,Time,Hewlett Packard,Time,Belkin International Inc.,Time,ASUSTek COMPUTER INC.,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Hewlett-Packard Company,Time,DrayTek Corp.,Time,Dell Inc,Time,SEIKO EPSON CORPORATION,Time,"Samsung Electro Mechanics co.,LTD.",Time,Liteon Tech Corp.,Time,SIRONA DENTAL SYSTEMS GmbH & Co. KG,Time,"Apple, Inc.",Time,Hon Hai Precision Ind.Co.Ltd,Time,"Micro-Star Int'l Co, Ltd",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Netgear Inc.,Time,IBM Corp,Time,HTC Corporation,Time,OnePlus Tech (Shenzhen) Ltd,Time,Lexmark International Inc.,Time,Microsoft Corporation,Time,Apple Inc,Time,ICP Electronics Inc.,Time,"Samsung Electro Mechanics co., LTD.",Time,Microsoft,Time,IBM,Time,"Murata Manufactuaring Co.,Ltd.",Time,Wistron Corporation,Time,Wistron InfoComm(ZhongShan) Corporation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,6,0,10,1,10,0,22,0,27,0,36,0,40,0,44,0,48,0,53,0,53,0,57,0,57,0,65,0,65,0,65,0,78,0,87,0,87,0,87,0,87,0,108,0,160,0,177,0,182,0,185,0,194,0,213,0,256,0,269,0,304,0
6,7,6,1,6,1,6,1,6,1,6,1,6,1,6,2,6,2,6,1,6,1,6,1,6,1,10,1,14,2,14,1,27,1,31,1,40,1,44,1,48,1,53,1,57,1,57,1,61,1,61,1,69,2,69,1,69,1,83,1,91,1,91,1,91,1,91,1,112,1,164,1,182,1,185,1,190,1,199,1,217,1,261,1,274,1,308,1
10,7,10,1,10,1,10,2,10,2,10,2,10,0,10,2,10,2,10,1,10,1,10,1,10,0,14,0,18,1,18,0,31,1,36,0,44,0,48,2,53,0,57,0,61,0,61,0,65,0,65,0,74,1,74,0,74,0,87,0,95,1,95,0,95,0,95,0,117,0,169,0,185,0,190,0,194,0,203,0,222,0,265,0,278,1,,
14,7,14,1,14,0,14,2,14,3,14,2,14,0,14,2,14,2,14,0,14,1,14,1,14,0,18,0,22,1,22,0,36,0,40,0,48,0,53,1,57,0,61,0,65,0,65,0,69,0,69,0,78,0,78,0,78,0,91,0,100,1,100,0,100,0,100,0,121,0,172,0,190,0,194,0,199,1,208,0,225,0,269,0,282,0,,
18,7,18,1,18,0,18,2,18,3,18,2,18,1,18,1,18,2,18,0,18,1,18,1,18,0,22,0,27,0,27,0,40,0,44,0,53,0,57,0,61,0,65,0,69,0,69,0,74,0,74,0,83,0,83,0,83,0,95,0,104,1,104,0,104,0,104,0,125,0,177,0,194,0,199,0,203,1,213,0,230,0,274,0,287,0,,
22,10,22,1,22,1,22,3,22,1,22,2,22,1,22,2,22,1,22,1,22,1,22,1,22,0,27,0,31,1,31,0,44,0,48,0,57,0,61,0,65,0,69,0,74,0,74,0,78,0,78,0,87,1,87,0,87,0,100,0,108,0,108,0,108,0,108,0,130,0,182,0,199,0,203,0,208,0,217,0,234,0,278,0,291,0,,
27,10,27,1,27,1,27,2,27,1,27,2,27,0,27,2,27,2,27,1,27,1,27,1,27,1,31,0,36,2,36,0,48,0,53,0,61,0,65,0,69,0,74,0,78,0,78,0,83,0,83,0,91,1,91,0,91,0,104,0,112,0,112,0,112,0,112,0,134,0,185,0,203,0,208,0,213,0,222,0,239,0,282,0,295,0,,
31,10,31,1,31,0,31,1,31,0,31,2,31,0,31,1,31,2,31,0,31,1,31,1,31,1,36,0,40,1,40,0,53,1,57,1,65,0,69,1,74,0,78,0,83,0,83,0,87,0,87,0,95,1,95,0,95,0,108,0,117,0,117,0,117,0,117,0,138,0,190,0,208,0,213,0,217,0,225,0,243,0,287,0,300,0,,
36,10,36,0,36,0,36,2,36,0,36,2,36,0,36,1,36,2,36,1,36,1,36,1,36,0,40,0,44,2,44,0,57,2,61,2,69,0,74,1,78,0,83,0,87,0,87,0,91,0,91,0,100,0,100,0,100,0,112,0,121,0,121,0,121,0,121,0,142,0,194,0,213,0,217,0,222,0,230,0,248,0,291,0,304,0,,
40,10,40,1,40,0,40,1,40,3,40,1,40,1,40,1,40,2,40,1,40,1,40,1,40,0,44,0,48,2,48,0,61,1,65,1,74,0,78,0,83,0,87,0,91,0,91,0,95,0,95,0,104,0,104,0,104,0,117,0,125,0,125,0,125,0,125,0,147,0,199,0,217,0,222,0,225,0,234,0,252,0,295,0,308,0,,
44,7,44,2,44,0,44,1,44,5,44,1,44,3,44,1,44,2,44,0,44,1,44,1,44,0,48,0,53,1,53,0,65,0,69,0,78,0,83,0,87,0,91,0,95,0,95,0,100,0,100,0,108,1,108,0,108,0,121,1,130,0,130,0,130,0,130,0,151,0,203,0,222,0,225,0,230,0,239,0,256,0,300,0,,,,
48,7,48,2,48,0,48,1,48,5,48,1,48,2,48,2,48,2,48,0,48,1,48,1,48,0,53,0,57,0,57,0,69,0,74,0,83,0,87,0,91,0,95,0,100,0,100,0,104,0,104,0,112,1,112,0,112,0,125,1,134,0,134,0,134,0,134,0,156,0,208,0,225,1,230,0,234,0,243,0,261,0,304,0,,,,
