Time,Manual_Count,Time,DrayTek Corp.,Time,NETCOMM LIMITED,Time,ICP Electronics Inc.,Time,Ubiquiti Networks,Time,UNKNOWN,Time,Hewlett-Packard Company,Time,Apple,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"Samsung Electro Mechanics co., LTD.",Time,"NETGEAR INC.,",Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,Routerboard.com,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,IBM Corp,Time,D-Link International,Time,"CISCO SYSTEMS, INC.",Time,"Samsung Electro Mechanics co.,LTD.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett Packard,Time,"Murata Manufactuaring Co.,Ltd.",Time,"Apple, Inc",Time,Belkin International Inc.,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Lexmark International Inc.,Time,IBM,Time,SEIKO EPSON CORPORATION,Time,Microsoft Corporation,Time,Dell Inc,Time,Sony Mobile Communications AB,Time,"Apple, Inc.",Time,Apple Inc,Time,Microsoft,Time,SAMSUNG ELECTRO-MECHANICS,Time,Liteon Technology Corporation,Time,"Shenzhen Xin KingBrand enterprises Co.,Ltd",Time,"Samsung Electronics ITS, Printer division",Time,Wistron Corporation,Time,"TP-LINK TECHNOLOGIES CO., LTD.",Time,"Azurewave Technologies., inc.",Time,Askey Computer Corp,Time,Zebra Technologies Inc,Time,HTC Corporation,Time,"Samsung Electronics Co., LTD"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,0,2,1,2,0,2,0,2,1,6,0,6,0,6,0,6,0,10,0,10,0,10,1,15,0,15,0,23,0,36,0,49,0,49,0,53,0,62,0,75,0,83,0,92,0,96,0,119,0,153,0,188,0,206,0,209,0,226,0,231,0,338,0,403,0,407,0,441,0,579,0,639,0,661,0,666,0,674,0,713,0
6,7,6,1,6,1,6,1,6,1,6,2,6,2,6,5,6,1,6,2,6,2,6,1,6,2,10,1,10,2,10,1,10,2,15,1,15,1,15,3,19,1,19,1,28,1,41,1,53,1,53,1,58,1,66,1,79,1,88,1,96,1,100,1,123,1,157,1,193,1,209,1,214,2,231,1,235,1,343,1,407,1,412,1,446,1,583,1,644,1,666,1,670,1,678,1,717,1
10,9,10,0,10,1,10,0,10,1,10,2,10,2,10,4,10,2,10,2,10,2,10,0,10,1,15,0,15,2,15,0,15,1,19,0,19,0,19,1,23,0,23,1,32,0,44,0,58,1,58,0,62,0,70,1,83,0,92,0,100,0,105,0,127,0,162,0,197,0,214,0,218,1,235,0,240,0,347,1,412,1,416,0,450,0,587,0,649,0,670,0,674,0,682,1,722,0
15,9,15,0,15,1,15,0,15,0,15,2,15,1,15,5,15,1,15,2,15,3,15,0,15,1,19,1,19,2,19,0,19,1,23,0,23,1,23,1,28,0,28,1,36,0,49,0,62,0,62,0,66,0,75,1,88,0,96,0,105,0,111,0,132,0,167,1,201,0,218,0,222,0,240,0,244,0,351,1,416,0,420,0,455,0,591,0,652,0,674,0,678,0,687,0,726,0
19,9,19,0,19,1,19,0,19,0,19,4,19,2,19,6,19,1,19,2,19,3,19,0,19,1,23,1,23,2,23,0,23,1,28,0,28,1,28,1,32,0,32,1,41,0,53,0,66,0,66,0,70,0,79,1,92,0,100,0,111,0,114,0,136,0,171,1,206,0,222,0,226,0,244,0,248,0,355,0,420,0,424,0,458,0,596,0,656,0,678,0,682,0,691,0,730,0
23,9,23,0,23,1,23,0,23,0,23,3,23,1,23,3,23,2,23,1,23,3,23,0,23,2,28,1,28,2,28,0,28,2,32,1,32,0,32,1,36,0,36,1,44,0,58,0,70,0,70,0,75,0,83,1,96,0,105,0,114,0,119,0,140,0,175,0,209,0,226,0,231,0,248,0,252,0,359,1,424,0,428,0,462,0,601,0,661,0,682,0,687,0,696,0,734,0
28,9,28,0,28,1,28,0,28,1,28,2,28,0,28,1,28,1,28,2,28,3,28,0,28,2,32,1,32,0,32,0,32,2,36,1,36,0,36,1,41,0,41,1,49,0,62,0,75,0,75,0,79,0,88,1,100,0,111,0,119,0,123,0,144,0,180,0,214,0,231,0,235,0,252,0,257,0,364,1,428,0,433,0,467,0,605,0,666,0,687,0,691,0,700,0,739,0
32,9,32,0,32,2,32,0,32,1,32,2,32,0,32,0,32,1,32,2,32,2,32,0,32,2,36,1,36,0,36,0,36,1,41,1,41,0,41,1,44,0,44,1,53,0,66,0,79,0,79,0,83,0,92,1,105,0,114,0,123,0,127,0,149,1,184,0,218,0,235,0,240,0,257,0,262,0,369,0,433,0,437,0,471,0,609,0,670,0,691,0,696,0,705,0,743,0
36,9,36,0,36,2,36,0,36,0,36,2,36,0,36,0,36,1,36,2,36,3,36,1,36,2,41,0,41,1,41,0,41,1,44,0,44,1,44,2,49,0,49,1,58,0,70,1,83,0,83,0,88,0,96,0,111,0,119,0,127,0,132,0,153,1,188,0,222,0,240,0,244,0,262,0,265,0,373,0,437,0,441,0,476,0,613,0,674,0,696,0,700,0,709,0,747,0
41,9,41,0,41,2,41,0,41,0,41,1,41,0,41,1,41,0,41,1,41,2,41,1,41,2,44,0,44,1,44,0,44,1,49,0,49,1,49,2,53,0,53,1,62,0,75,1,88,0,88,0,92,0,100,0,114,0,123,0,132,0,136,0,157,0,193,0,226,0,244,0,248,0,265,0,270,0,377,0,441,0,446,0,480,0,617,0,678,0,700,0,705,0,713,0,751,0
44,9,44,0,44,0,44,0,44,0,44,1,44,0,44,2,44,0,44,1,44,2,44,0,44,1,49,0,49,1,49,0,49,3,53,0,53,1,53,1,58,0,58,1,66,0,79,0,92,0,92,0,96,0,105,0,119,0,127,0,136,0,140,0,162,0,197,0,231,0,248,0,252,0,270,0,274,0,381,0,446,0,450,0,484,0,622,0,682,0,705,0,709,0,717,0,756,0
49,9,49,0,49,0,49,0,49,0,49,2,49,0,49,1,49,0,49,1,49,3,49,0,49,1,53,1,53,1,53,0,53,2,58,0,58,1,58,1,62,0,62,1,70,0,83,0,96,0,96,0,100,0,111,0,123,0,132,0,140,0,144,0,167,0,201,0,235,0,252,0,257,0,274,0,278,0,386,0,450,0,455,0,489,0,626,0,687,0,709,0,713,0,722,0,760,0
53,9,53,1,53,0,53,0,53,0,53,2,53,0,53,0,53,1,53,1,53,2,53,0,53,2,58,1,58,0,58,0,58,1,62,0,62,0,62,1,66,0,66,1,75,0,88,0,100,1,100,0,105,0,114,0,127,0,136,0,144,0,149,0,171,0,206,0,240,0,257,0,262,0,278,0,283,0,390,0,455,0,458,0,493,0,631,0,691,0,713,0,717,0,726,0,765,0
58,9,58,1,58,1,58,0,58,1,58,2,58,0,58,0,58,2,58,1,58,4,58,0,58,2,62,1,62,0,62,0,62,1,66,0,66,0,66,1,70,0,70,1,79,0,92,0,105,1,105,0,111,0,119,0,132,0,140,0,149,0,153,0,175,0,209,0,244,0,262,0,265,0,283,0,287,0,395,0,458,0,462,0,498,0,635,0,696,0,717,0,722,0,730,0,769,0
62,9,62,1,62,2,62,0,62,1,62,2,62,0,62,1,62,2,62,1,62,4,62,0,62,2,66,0,66,0,66,0,66,0,70,0,70,0,70,1,75,1,75,1,83,0,96,0,111,2,111,0,114,1,123,0,136,0,144,0,153,0,157,0,180,0,214,1,248,0,265,0,270,0,287,0,291,0,399,0,462,0,467,0,502,0,639,0,700,0,722,0,726,0,734,0,774,0
66,10,66,1,66,1,66,0,66,0,66,2,66,0,66,1,66,1,66,1,66,3,66,0,66,1,70,1,70,2,70,0,70,1,75,0,75,0,75,1,79,1,79,1,88,0,100,0,114,2,114,0,119,1,127,0,140,0,149,0,157,0,162,0,184,0,218,1,252,0,270,0,274,0,291,0,296,0,403,0,467,0,471,0,506,0,644,0,705,0,726,0,730,0,739,0,778,0
70,10,70,1,70,1,70,0,70,0,70,2,70,1,70,1,70,2,70,1,70,4,70,0,70,2,75,2,75,2,75,0,75,2,79,0,79,1,79,1,83,0,83,0,92,0,105,0,119,0,119,0,123,0,132,0,144,0,153,0,162,0,167,0,188,1,222,0,257,0,274,0,278,0,296,0,300,0,407,1,471,0,476,0,510,0,649,0,709,0,730,0,734,0,743,0,782,0
75,10,75,1,75,1,75,0,75,0,75,2,75,1,75,1,75,1,75,1,75,2,75,0,75,2,79,2,79,0,79,0,79,1,83,0,83,1,83,2,88,0,88,1,96,0,111,0,123,0,123,0,127,0,136,0,149,0,157,0,167,0,171,0,193,1,226,0,262,0,278,0,283,0,300,0,304,0,412,1,476,0,480,0,514,0,652,0,713,0,734,0,739,0,747,0,786,0
79,10,79,1,79,1,79,0,79,0,79,3,79,1,79,2,79,0,79,1,79,2,79,0,79,2,83,1,83,1,83,0,83,1,88,0,88,1,88,2,92,0,92,1,100,0,114,0,127,0,127,0,132,0,140,0,153,0,162,0,171,0,175,0,197,0,231,0,265,0,283,0,287,0,304,0,308,0,416,0,480,0,484,0,519,0,656,0,717,0,739,0,743,0,751,0,791,0
83,10,83,1,83,1,83,0,83,0,83,3,83,1,83,3,83,0,83,1,83,2,83,0,83,2,88,0,88,1,88,0,88,2,92,0,92,1,92,2,96,0,96,1,105,0,119,0,132,2,132,0,136,0,144,1,157,0,167,0,175,0,180,0,201,0,235,0,270,0,287,0,291,0,308,0,313,0,420,0,484,0,489,0,523,0,661,0,722,0,743,0,747,0,756,0,794,0
88,10,88,1,88,1,88,0,88,0,88,1,88,0,88,2,88,0,88,1,88,2,88,0,88,2,92,0,92,0,92,0,92,1,96,0,96,1,96,2,100,0,100,1,111,0,123,0,136,2,136,0,140,1,149,1,162,0,171,0,180,0,184,0,206,0,240,0,274,0,291,0,296,0,313,0,317,0,424,0,489,0,493,0,527,0,666,0,726,0,747,0,751,0,760,1,799,0
92,9,92,0,92,0,92,0,92,0,92,2,92,0,92,2,92,2,92,1,92,3,92,0,92,2,96,0,96,0,96,0,96,1,100,0,100,1,100,1,105,0,105,1,114,0,127,0,140,0,140,0,144,1,153,1,167,0,175,0,184,0,188,0,209,0,244,0,278,0,296,0,300,0,317,0,321,0,428,0,493,0,498,0,531,0,670,0,730,0,751,0,756,0,765,1,803,0
96,9,96,0,96,1,96,0,96,0,96,2,96,0,96,3,96,2,96,1,96,3,96,0,96,2,100,0,100,1,100,0,100,1,105,0,105,1,105,1,111,0,111,1,119,0,132,0,144,0,144,0,149,0,157,0,171,0,180,0,188,0,193,0,214,0,248,0,283,0,300,0,304,0,321,0,325,0,433,0,498,0,502,0,536,0,674,0,734,0,756,0,760,0,769,0,807,0
100,9,100,0,100,1,100,0,100,0,100,3,100,0,100,2,100,0,100,2,100,2,100,0,100,2,105,0,105,1,105,0,105,1,111,0,111,1,111,1,114,1,114,1,123,0,136,0,149,0,149,0,153,0,162,1,175,0,184,0,193,0,197,0,218,0,252,0,287,0,304,0,308,0,325,0,330,0,437,0,502,0,506,0,541,0,678,0,739,0,760,0,765,0,774,0,811,0
105,9,105,0,105,2,105,0,105,0,105,3,105,0,105,5,105,0,105,2,105,1,105,0,105,2,111,0,111,0,111,0,111,0,114,0,114,1,114,1,119,1,119,1,127,0,140,0,153,0,153,0,157,0,167,1,180,0,188,0,197,0,201,0,222,0,257,0,291,0,308,0,313,0,330,0,334,0,441,0,506,0,510,0,545,0,682,0,743,0,765,0,769,0,778,0,817,0
111,9,111,1,111,1,111,0,111,1,111,3,111,0,111,4,111,0,111,1,111,2,111,0,111,2,114,0,114,0,114,0,114,1,119,0,119,1,119,1,123,0,123,0,132,0,144,0,157,0,157,0,162,0,171,1,184,0,193,0,201,0,206,0,226,0,262,0,296,0,313,0,317,0,334,0,338,0,446,0,510,0,514,0,549,0,687,0,747,0,769,0,774,0,782,0,821,0
114,9,114,1,114,1,114,0,114,1,114,3,114,0,114,2,114,0,114,1,114,2,114,0,114,2,119,0,119,1,119,0,119,2,123,0,123,1,123,1,127,0,127,1,136,0,149,0,162,1,162,0,167,0,175,1,188,0,197,0,206,0,209,0,231,0,265,0,300,0,317,0,321,0,338,0,343,0,450,0,514,0,519,0,553,0,691,0,751,0,774,0,778,0,786,0,824,0
119,9,119,1,119,1,119,0,119,0,119,3,119,0,119,3,119,1,119,1,119,2,119,0,119,2,123,1,123,2,123,0,123,1,127,0,127,0,127,1,132,0,132,1,140,0,153,0,167,1,167,0,171,1,180,1,193,0,201,0,209,0,214,0,235,0,270,0,304,0,321,0,325,0,343,0,347,0,455,0,519,0,523,0,557,0,696,0,756,0,778,0,782,0,791,0,829,0
123,9,123,1,123,1,123,0,123,0,123,2,123,1,123,4,123,1,123,1,123,3,123,0,123,2,127,1,127,1,127,1,127,1,132,0,132,0,132,1,136,0,136,1,144,0,157,0,171,0,171,0,175,3,184,0,197,0,206,0,214,0,218,0,240,0,274,0,308,0,325,0,330,0,347,0,351,0,458,0,523,0,527,0,562,0,700,0,760,0,782,0,786,0,794,1,833,0
127,9,127,0,127,0,127,0,127,1,127,1,127,1,127,3,127,2,127,1,127,4,127,0,127,2,132,0,132,0,132,1,132,1,136,0,136,0,136,1,140,0,140,1,149,0,162,0,175,0,175,0,180,2,188,0,201,0,209,0,218,0,222,0,244,0,278,0,313,0,330,0,334,0,351,0,355,0,462,0,527,0,531,0,566,0,705,0,765,0,786,0,791,0,799,1,837,0
132,9,132,0,132,1,132,0,132,1,132,3,132,0,132,1,132,2,132,1,132,3,132,0,132,2,136,0,136,1,136,0,136,0,140,0,140,1,140,1,144,0,144,0,153,0,167,0,180,0,180,0,184,1,193,0,206,0,214,0,222,0,226,0,248,1,283,0,317,0,334,0,338,0,355,0,359,0,467,0,531,0,536,0,570,0,709,0,769,0,791,0,794,0,803,1,842,0
136,9,136,1,136,1,136,0,136,0,136,3,136,0,136,3,136,1,136,1,136,3,136,0,136,1,140,0,140,1,140,0,140,1,144,0,144,1,144,1,149,0,149,1,157,0,171,0,184,0,184,0,188,0,197,0,209,0,218,0,226,0,231,0,252,1,287,0,321,0,338,0,343,0,359,0,364,0,471,0,536,0,541,0,574,0,713,0,774,0,794,0,799,0,807,0,846,0
140,9,140,1,140,0,140,0,140,0,140,2,140,1,140,2,140,0,140,1,140,3,140,0,140,2,144,0,144,1,144,0,144,2,149,0,149,1,149,1,153,0,153,1,162,0,175,1,188,0,188,0,193,0,201,0,214,0,222,0,231,0,235,0,257,1,291,0,325,0,343,0,347,0,364,0,369,0,476,0,541,0,545,0,579,0,717,0,778,0,799,0,803,0,811,0,850,0
144,9,144,0,144,1,144,0,144,0,144,2,144,1,144,1,144,0,144,1,144,3,144,0,144,2,149,0,149,1,149,0,149,1,153,0,153,0,153,1,157,0,157,1,167,0,180,1,193,0,193,0,197,0,206,0,218,0,226,0,235,0,240,0,262,1,296,0,330,0,347,1,351,0,369,0,373,0,480,0,545,0,549,0,583,0,722,0,782,0,803,0,807,0,817,0,855,0
149,9,149,0,149,2,149,0,149,0,149,2,149,0,149,2,149,1,149,1,149,3,149,1,149,2,153,0,153,1,153,0,153,2,157,0,157,0,157,1,162,0,162,1,171,0,184,0,197,0,197,0,201,0,209,0,222,0,231,0,240,0,244,0,265,1,300,0,334,0,351,1,355,0,373,0,377,0,484,0,549,0,553,0,587,0,726,0,786,0,807,0,811,0,821,0,859,0
153,9,153,0,153,2,153,0,153,0,153,2,153,0,153,3,153,1,153,1,153,3,153,1,153,2,157,0,157,1,157,0,157,2,162,0,162,0,162,1,167,0,167,1,175,0,188,0,201,0,201,0,206,0,214,0,226,0,235,0,244,0,248,0,270,1,304,0,338,0,355,0,359,0,377,0,381,0,489,0,553,0,557,0,591,0,730,0,791,0,811,0,817,0,824,0,863,0
157,10,157,1,157,2,157,0,157,0,157,2,157,0,157,4,157,1,157,1,157,2,157,0,157,2,162,1,162,0,162,0,162,0,167,0,167,1,167,1,171,0,171,1,180,0,193,0,206,0,206,0,209,0,218,0,231,0,240,0,248,0,252,0,274,1,308,0,343,0,359,0,364,0,381,0,386,0,493,1,557,0,562,0,596,0,734,0,794,0,817,0,821,0,829,0,872,0
162,10,162,1,162,1,162,0,162,0,162,1,162,0,162,4,162,1,162,1,162,2,162,0,162,2,167,1,167,1,167,0,167,0,171,0,171,1,171,1,175,0,175,1,184,0,197,0,209,0,209,0,214,0,222,0,235,0,244,0,252,0,257,0,278,0,313,0,347,0,364,0,369,0,386,0,390,0,498,1,562,0,566,0,601,0,739,0,799,0,821,0,824,0,833,0,878,0
167,10,167,0,167,1,167,0,167,0,167,1,167,0,167,1,167,1,167,1,167,2,167,0,167,2,171,0,171,1,171,0,171,0,175,0,175,1,175,1,180,0,180,1,188,0,201,0,214,0,214,0,218,0,226,0,240,0,248,0,257,0,262,0,283,0,317,0,351,0,369,0,373,0,390,0,395,0,502,0,566,0,570,0,605,1,743,0,803,0,824,0,829,0,837,0,882,0
171,10,171,0,171,1,171,0,171,0,171,1,171,1,171,1,171,0,171,1,171,2,171,0,171,1,175,0,175,0,175,0,175,1,180,0,180,0,180,1,184,0,184,1,193,0,206,1,218,0,218,0,222,0,231,0,244,0,252,0,262,0,265,0,287,0,321,0,355,0,373,0,377,0,395,0,399,0,506,0,570,0,574,0,609,1,747,0,807,0,829,0,833,0,842,0,886,0
175,10,175,0,175,1,175,0,175,0,175,1,175,1,175,1,175,1,175,2,175,3,175,0,175,2,180,0,180,0,180,0,180,1,184,0,184,1,184,1,188,0,188,1,197,0,209,1,222,0,222,0,226,0,235,0,248,0,257,0,265,0,270,0,291,0,325,0,359,0,377,0,381,0,399,0,403,0,510,0,574,0,579,0,613,0,751,0,811,0,833,0,837,0,846,0,890,0
180,10,180,0,180,1,180,0,180,0,180,1,180,0,180,0,180,1,180,2,180,3,180,0,180,2,184,0,184,0,184,0,184,0,188,0,188,1,188,1,193,0,193,1,201,0,214,0,226,1,226,0,231,0,240,0,252,0,262,0,270,0,274,0,296,0,330,0,364,0,381,0,386,0,403,0,407,0,514,0,579,0,583,0,617,0,756,0,817,0,837,0,842,0,850,0,895,0
184,10,184,0,184,1,184,0,184,0,184,2,184,0,184,0,184,1,184,2,184,2,184,1,184,2,188,0,188,1,188,1,188,2,193,0,193,1,193,1,197,0,197,1,206,0,218,0,231,1,231,0,235,0,244,0,257,0,265,0,274,0,278,0,300,0,334,0,369,0,386,0,390,0,407,0,412,0,519,0,583,0,587,0,622,0,760,0,821,0,842,0,846,0,855,0,899,0
188,10,188,0,188,1,188,0,188,0,188,2,188,0,188,3,188,1,188,1,188,1,188,1,188,2,193,0,193,1,193,1,193,2,197,0,197,1,197,1,201,0,201,0,209,1,222,0,235,1,235,0,240,0,248,0,262,0,270,0,278,0,283,0,304,0,338,0,373,0,390,0,395,0,412,0,416,0,523,0,587,0,591,0,626,0,765,0,824,0,846,0,850,0,859,0,,
193,10,193,0,193,2,193,0,193,1,193,1,193,0,193,3,193,1,193,1,193,2,193,0,193,2,197,0,197,0,197,1,197,1,201,0,201,1,201,1,206,0,206,1,214,1,226,0,240,1,240,0,244,0,252,0,265,0,274,0,283,0,287,0,308,0,343,0,377,0,395,0,399,0,416,0,420,0,527,0,591,0,596,0,631,0,769,0,829,0,850,0,855,0,863,0,,
197,10,197,0,197,1,197,0,197,1,197,2,197,0,197,1,197,2,197,1,197,2,197,0,197,2,201,0,201,0,201,1,201,1,206,0,206,0,206,1,209,0,209,1,218,0,231,0,244,1,244,0,248,0,257,0,270,0,278,0,287,0,291,0,313,0,347,0,381,0,399,0,403,0,420,0,424,0,531,0,596,0,601,0,635,0,774,0,833,0,855,0,859,0,872,0,,
201,10,201,0,201,1,201,0,201,0,201,2,201,0,201,2,201,4,201,1,201,2,201,0,201,2,206,1,206,0,206,1,206,1,209,0,209,0,209,1,214,0,214,1,222,0,235,0,248,1,248,0,252,0,262,0,274,0,283,0,291,0,296,0,317,0,351,0,386,0,403,1,407,0,424,0,428,0,536,0,601,0,605,0,639,0,778,0,837,0,859,0,863,0,878,0,,
206,10,206,0,206,1,206,0,206,0,206,1,206,0,206,3,206,2,206,1,206,3,206,0,206,2,209,1,209,0,209,1,209,2,214,0,214,0,214,1,218,0,218,1,226,0,240,0,252,0,252,0,257,0,265,0,278,0,287,0,296,0,300,1,321,0,355,0,390,0,407,1,412,0,428,0,433,0,541,0,605,0,609,0,644,0,782,0,842,0,863,0,872,0,882,0,,
209,10,209,0,209,1,209,0,209,0,209,2,209,0,209,3,209,1,209,1,209,5,209,1,209,2,214,0,214,1,214,1,214,1,218,0,218,1,218,1,222,0,222,1,231,0,244,0,257,0,257,0,262,1,270,0,283,0,291,0,300,0,304,1,325,0,359,0,395,0,412,0,416,0,433,0,437,0,545,0,609,0,613,0,649,0,786,0,846,0,872,0,878,0,886,0,,
214,10,214,0,214,1,214,0,214,0,214,2,214,0,214,1,214,1,214,1,214,4,214,1,214,2,218,0,218,1,218,1,218,0,222,1,222,1,222,1,226,0,226,1,235,0,248,0,262,0,262,0,265,3,274,1,287,0,296,0,304,0,308,0,330,0,364,0,399,0,416,0,420,0,437,0,441,0,549,0,613,0,617,0,652,0,791,0,850,0,878,0,882,0,890,0,,
218,10,218,1,218,0,218,0,218,1,218,1,218,0,218,2,218,1,218,1,218,2,218,0,218,2,222,0,222,1,222,1,222,1,226,1,226,1,226,1,231,0,231,0,240,0,252,0,265,0,265,0,270,2,278,1,291,0,300,0,308,0,313,0,334,0,369,0,403,0,420,0,424,0,441,0,446,0,553,0,617,0,622,0,656,0,794,0,855,0,882,0,886,0,895,0,,
