Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Intel Corporate,Time,D-Link International,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Hewlett-Packard Company,Time,DrayTek Corp.,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Belkin International Inc.,Time,"NETGEAR INC.,",Time,"Apple, Inc",Time,Dell Inc,Time,Netgear Inc.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett Packard,Time,"Murata Manufacturing Co.,Ltd.",Time,SEIKO EPSON CORPORATION,Time,Microsoft Corporation,Time,Ubiquiti Networks,Time,Lexmark International Inc.,Time,Routerboard.com,Time,"Apple, Inc.",Time,FUJI-XEROX CO. LTD.,Time,"Micro-Star Int'l Co, Ltd",Time,HTC Corporation,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,"Samsung Electro Mechanics co., LTD.",Time,Elitegroup Computer System Co.,Time,ICP Electronics Inc.,Time,IBM,Time,Wistron Corporation,Time,IBM Corp,Time,"Samsung Electro Mechanics co.,LTD.",Time,Apple Inc,Time,Wistron InfoComm(ZhongShan) Corporation,Time,Microsoft,Time,WISOL
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,0,2,0,2,1,2,0,2,1,2,0,2,0,2,0,2,0,2,0,6,0,6,0,6,0,6,0,6,1,10,0,14,0,19,0,19,1,32,0,36,0,36,0,49,0,49,0,58,0,63,0,107,0,119,0,167,0,167,0,171,0,176,0,228,0,236,0,241,0,271,0,288,0,293,0,358,0,402,0,536,0,562,0,653,0
6,9,6,1,6,1,6,2,6,1,6,2,6,1,6,1,6,2,6,1,6,1,10,1,10,1,10,1,10,1,10,2,14,2,19,1,24,1,24,2,36,1,41,1,41,1,54,1,54,1,63,1,67,1,110,1,124,1,171,1,171,1,176,1,180,1,232,1,241,1,245,1,276,1,293,1,297,1,363,2,406,1,540,1,566,1,658,1
10,9,10,1,10,1,10,2,10,1,10,2,10,1,10,1,10,4,10,1,10,1,14,1,14,1,14,1,14,1,14,2,19,2,24,1,28,1,28,2,41,1,46,1,46,1,58,1,58,1,67,1,71,1,115,1,128,1,176,1,176,1,180,1,185,1,236,1,245,1,250,1,279,1,297,1,301,1,367,2,411,1,544,1,570,1,662,1
14,11,14,1,14,1,14,2,14,1,14,2,14,2,14,1,14,5,14,1,14,1,19,1,19,1,19,1,19,1,19,2,24,2,28,1,32,1,32,2,46,1,49,1,49,1,63,1,63,1,71,1,75,1,119,1,132,1,180,1,180,1,185,1,189,1,241,1,250,1,253,1,284,1,301,1,306,1,371,2,415,1,549,1,576,1,666,1
19,11,19,1,19,1,19,2,19,1,19,2,19,2,19,1,19,6,19,1,19,1,24,1,24,1,24,1,24,1,24,2,28,2,32,1,36,1,36,3,49,1,54,1,54,1,67,1,67,1,75,1,80,1,124,1,137,1,185,1,185,1,189,1,193,1,245,1,253,1,258,1,288,1,306,1,310,1,375,2,419,1,554,1,580,1,671,1
24,11,24,1,24,1,24,2,24,1,24,2,24,2,24,1,24,6,24,1,24,1,28,1,28,1,28,1,28,1,28,2,32,2,36,1,41,1,41,3,54,1,58,1,58,1,71,1,71,1,80,1,84,1,128,1,141,1,189,1,189,1,193,1,198,1,250,1,258,1,262,1,293,1,310,1,314,1,380,2,424,1,558,1,584,1,675,1
28,9,28,1,28,1,28,2,28,1,28,2,28,2,28,1,28,6,28,1,28,1,32,1,32,1,32,1,32,1,32,2,36,2,41,1,46,1,46,3,58,1,63,1,63,1,75,1,75,1,84,1,88,1,132,1,146,1,193,1,193,1,198,1,202,1,253,1,262,1,267,1,297,1,314,1,319,1,384,3,428,1,562,1,588,1,,
32,9,32,3,32,1,32,2,32,1,32,2,32,2,32,1,32,7,32,1,32,1,36,1,36,1,36,1,36,1,36,2,41,2,46,1,49,1,49,3,63,1,67,1,67,1,80,1,80,1,88,1,93,1,137,1,150,1,198,1,198,1,202,1,206,1,258,1,267,1,271,1,301,1,319,1,323,1,388,3,432,1,566,1,592,1,,
36,9,36,3,36,1,36,2,36,1,36,2,36,2,36,1,36,8,36,1,36,1,41,1,41,1,41,1,41,1,41,2,46,2,49,1,54,1,54,3,67,1,71,1,71,1,84,1,84,1,93,1,98,1,141,1,154,1,202,1,202,1,206,1,210,1,262,1,271,1,276,1,306,1,323,1,328,1,392,3,437,1,570,1,597,1,,
41,9,41,3,41,1,41,2,41,1,41,2,41,2,41,1,41,8,41,1,41,1,46,1,46,1,46,1,46,1,46,2,49,2,54,1,58,2,58,3,71,1,75,1,75,1,88,1,88,1,98,1,102,1,146,1,158,1,206,1,206,1,210,1,215,1,267,1,276,1,279,1,310,1,328,1,332,1,397,3,441,1,576,1,601,1,,
46,9,46,3,46,1,46,2,46,1,46,2,46,2,46,1,46,8,46,1,46,1,49,1,49,0,49,0,49,1,49,2,54,1,58,1,63,2,63,3,75,0,80,1,80,1,93,0,93,1,102,1,107,0,150,0,163,0,210,0,210,0,215,0,219,0,271,0,279,1,284,0,314,1,332,0,336,1,402,2,446,1,580,0,605,0,,
49,9,49,3,49,1,49,2,49,1,49,2,49,2,49,1,49,8,49,1,49,1,54,1,54,0,54,0,54,1,54,2,58,0,63,0,67,2,67,3,80,0,84,0,84,1,98,0,98,1,107,1,110,0,154,0,167,0,215,0,215,0,219,0,223,0,276,0,284,0,288,0,319,1,336,0,341,0,406,1,450,1,584,0,610,0,,
54,9,54,3,54,1,54,2,54,1,54,2,54,2,54,1,54,7,54,1,54,1,58,1,58,0,58,0,58,1,58,2,63,0,67,0,71,2,71,3,84,0,88,0,88,1,102,0,102,0,110,1,115,0,158,0,171,0,219,0,219,0,223,0,228,0,279,0,288,0,293,0,323,1,341,0,345,0,411,1,454,1,588,0,615,0,,
58,9,58,3,58,1,58,2,58,1,58,2,58,3,58,1,58,7,58,1,58,2,63,1,63,0,63,0,63,1,63,2,67,0,71,0,75,2,75,3,88,0,93,0,93,1,107,0,107,0,115,1,119,0,163,0,176,0,223,0,223,0,228,0,232,0,284,0,293,0,297,0,328,0,345,0,349,0,415,1,458,1,592,0,619,0,,
63,9,63,3,63,1,63,2,63,1,63,2,63,4,63,1,63,7,63,1,63,2,67,1,67,0,67,0,67,1,67,2,71,0,75,0,80,2,80,3,93,0,98,0,98,1,110,1,110,1,119,1,124,0,167,0,180,0,228,0,228,0,232,0,236,0,288,0,297,0,301,0,332,0,349,0,354,0,419,1,462,1,597,0,623,0,,
67,9,67,3,67,1,67,2,67,2,67,3,67,4,67,1,67,7,67,1,67,2,71,1,71,0,71,0,71,1,71,2,75,0,80,0,84,2,84,2,98,0,102,0,102,1,115,1,115,1,124,1,128,0,171,0,185,0,232,0,232,0,236,0,241,0,293,0,301,0,306,0,336,0,354,0,358,0,424,1,467,1,601,0,628,0,,
71,10,71,3,71,1,71,2,71,2,71,3,71,4,71,1,71,6,71,1,71,2,75,1,75,0,75,0,75,1,75,2,80,0,84,0,88,2,88,2,102,0,107,1,107,1,119,1,119,1,128,1,132,0,176,0,189,0,236,0,236,0,241,0,245,0,297,0,306,0,310,0,341,0,358,0,363,0,428,0,471,1,605,0,631,0,,
