Time,Manual_Count,Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,IBM Corp,Time,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,Belkin International Inc.,Time,"CISCO SYSTEMS, INC.",Time,DrayTek Corp.,Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"Apple, Inc",Time,Hewlett Packard,Time,"NETGEAR INC.,",Time,SEIKO EPSON CORPORATION,Time,Liteon Tech Corp.,Time,Routerboard.com,Time,"Samsung Electro Mechanics co.,LTD.",Time,Hewlett-Packard Company,Time,HTC Corporation,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Enerpoint Ltd.,Time,"Verifone, INC.",Time,"Apple, Inc.",Time,ICP Electronics Inc.,Time,Lexmark International Inc.,Time,LG Electronics,Time,"Murata Manufactuaring Co.,Ltd.",Time,WISOL,Time,"Murata Manufacturing Co.,Ltd.",Time,Motorola Mobility LLC,Time,Apple Inc,Time,"Samsung Elec Co.,Ltd",Time,FUJI-XEROX CO. LTD.
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,0,4,0,8,0,8,1,8,0,12,0,12,0,16,0,16,0,21,0,21,0,29,0,50,0,67,0,84,0,97,0,105,0,193,0,359,0,376,0,410,0,426,0,503,0,618,0,635,0,687,0,726,0
8,14,8,1,8,1,8,1,8,1,8,2,8,2,8,1,8,1,8,1,8,1,8,2,8,3,8,1,8,1,12,1,12,2,12,1,16,1,16,1,21,1,21,1,24,1,24,1,35,1,55,1,72,1,88,1,101,1,109,1,198,1,363,1,380,1,414,1,432,1,507,1,622,1,639,1,692,1,730,1
12,14,12,1,12,1,12,1,12,1,12,2,12,3,12,1,12,1,12,1,12,1,12,2,12,3,12,1,12,1,16,1,16,2,16,1,21,2,21,1,24,1,24,1,29,1,29,1,38,1,59,1,76,1,92,1,105,1,114,1,202,1,367,1,385,1,419,1,435,1,511,1,626,1,644,1,696,1,734,1
16,14,16,1,16,2,16,1,16,1,16,3,16,3,16,1,16,1,16,1,16,1,16,3,16,3,16,1,16,1,21,1,21,2,21,2,24,2,24,1,29,1,29,1,35,1,35,1,42,1,63,1,80,1,97,1,109,1,118,1,206,1,372,1,389,1,423,1,439,1,515,1,631,1,648,1,700,1,739,1
21,14,21,1,21,2,21,1,21,1,21,3,21,3,21,1,21,1,21,1,21,1,21,3,21,3,21,1,21,1,24,1,24,2,24,2,29,2,29,1,35,1,35,1,38,1,38,1,46,1,67,1,84,1,101,1,114,1,122,1,211,1,376,1,393,1,426,1,443,1,519,1,635,1,652,1,705,1,743,1
24,14,24,1,24,2,24,1,24,1,24,3,24,3,24,1,24,1,24,1,24,1,24,3,24,3,24,1,24,1,29,1,29,2,29,2,35,2,35,1,38,1,38,1,42,1,42,1,50,1,72,1,88,1,105,1,118,1,126,1,215,1,380,1,397,1,432,1,448,1,524,1,639,1,657,1,709,1,747,1
29,14,29,1,29,2,29,1,29,1,29,3,29,3,29,1,29,1,29,1,29,1,29,3,29,4,29,1,29,1,35,1,35,2,35,2,38,2,38,1,42,1,42,1,46,1,46,1,55,1,76,1,92,1,109,1,122,1,130,1,219,1,385,1,401,1,435,1,452,1,528,1,644,1,661,1,713,1,751,1
35,14,35,1,35,2,35,1,35,1,35,3,35,3,35,1,35,1,35,1,35,1,35,3,35,4,35,1,35,1,38,1,38,2,38,2,42,3,42,1,46,1,46,1,50,1,50,1,59,1,80,1,97,1,114,1,126,1,134,1,223,1,389,1,405,1,439,1,456,1,532,1,648,1,666,1,717,1,755,1
38,14,38,1,38,2,38,1,38,1,38,3,38,3,38,1,38,1,38,1,38,1,38,3,38,4,38,1,38,2,42,1,42,2,42,2,46,3,46,1,50,1,50,1,55,1,55,1,63,1,84,1,101,1,118,1,130,1,139,1,229,1,393,1,410,1,443,1,461,1,537,1,652,1,670,1,722,1,760,1
42,14,42,1,42,2,42,1,42,1,42,3,42,3,42,1,42,1,42,1,42,1,42,3,42,4,42,1,42,2,46,1,46,2,46,3,50,3,50,1,55,1,55,1,59,1,59,1,67,1,88,1,105,1,122,1,134,1,143,1,233,1,397,1,414,1,448,1,464,1,541,1,657,1,674,1,726,1,764,1
