Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Netgear Inc.,Time,Hewlett-Packard Company,Time,IBM Corp,Time,Intel Corporate,Time,"Apple, Inc",Time,DrayTek Corp.,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Liteon Tech Corp.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"NETGEAR INC.,",Time,Enerpoint Ltd.,Time,Hewlett Packard,Time,"Murata Manufactuaring Co.,Ltd.",Time,D-LINK INTERNATIONAL PTE LIMITED,Time,"Samsung Electronics Co.,Ltd",Time,PEGATRON CORPORATION,Time,Routerboard.com,Time,SEIKO EPSON CORPORATION,Time,"Apple, Inc.",Time,HTC Corporation,Time,WISOL,Time,Lexmark International Inc.,Time,ICP Electronics Inc.,Time,"Samsung Electro Mechanics co.,LTD.",Time,Liteon Technology Corporation,Time,Nokia Corporation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,2,0,2,0,2,0,2,0,2,0,2,1,2,0,2,0,2,0,2,1,2,0,7,0,7,0,7,0,7,0,7,0,11,0,11,0,11,0,15,0,24,0,28,0,40,0,53,0,66,0,66,0,146,0,146,0,230,0,234,0,243,0,276,0,386,0,449,0,511,0,524,0,532,0
7,8,7,1,7,1,7,1,7,1,7,1,7,2,7,1,7,1,7,1,7,2,7,1,11,1,11,1,11,1,11,1,11,1,15,1,15,1,15,1,19,1,28,1,32,1,44,1,57,1,70,1,70,1,150,1,150,1,234,1,238,1,247,1,281,1,390,1,454,1,515,1,528,1,537,1
11,9,11,1,11,1,11,1,11,3,11,1,11,2,11,1,11,1,11,1,11,2,11,1,15,1,15,1,15,1,15,2,15,1,19,1,19,1,19,1,24,1,32,1,36,1,49,1,62,1,74,1,74,1,155,1,155,1,238,1,243,1,251,1,285,1,394,1,457,1,520,1,532,1,541,1
15,9,15,1,15,1,15,1,15,3,15,1,15,2,15,1,15,1,15,1,15,2,15,1,19,1,19,1,19,1,19,2,19,1,24,1,24,1,24,1,28,1,36,1,40,1,53,1,66,1,78,1,78,1,159,1,159,1,243,1,247,1,255,1,289,1,398,1,462,1,524,1,537,1,546,1
19,9,19,1,19,1,19,1,19,3,19,1,19,2,19,1,19,1,19,3,19,2,19,1,24,1,24,1,24,1,24,2,24,1,28,1,28,1,28,1,32,1,40,1,44,1,57,1,70,1,83,1,83,1,163,1,163,1,247,1,251,1,259,1,293,1,403,1,466,1,528,1,541,1,550,1
24,9,24,1,24,1,24,1,24,3,24,1,24,2,24,1,24,1,24,3,24,2,24,1,28,1,28,1,28,1,28,2,28,1,32,1,32,1,32,1,36,1,44,1,49,1,62,1,74,1,87,1,87,1,167,1,167,1,251,1,255,1,264,1,298,1,407,1,470,1,532,1,546,1,554,1
28,9,28,1,28,1,28,1,28,3,28,1,28,2,28,2,28,1,28,3,28,2,28,1,32,1,32,1,32,1,32,2,32,1,36,1,36,1,36,1,40,1,49,1,53,1,66,1,78,1,91,1,91,1,171,1,171,1,255,1,259,1,268,1,301,1,412,1,474,1,537,1,550,1,558,1
32,9,32,1,32,1,32,1,32,3,32,1,32,2,32,2,32,1,32,3,32,2,32,1,36,1,36,2,36,1,36,2,36,1,40,1,40,1,40,1,44,1,53,1,57,1,70,1,83,1,95,1,95,1,176,1,176,1,259,1,264,1,272,1,306,1,415,1,479,1,541,1,554,1,562,1
36,9,36,1,36,1,36,1,36,3,36,1,36,2,36,2,36,1,36,3,36,2,36,1,40,1,40,2,40,1,40,2,40,1,44,1,44,1,44,1,49,1,57,1,62,1,74,1,87,1,99,1,99,1,179,1,179,1,264,1,268,1,276,1,310,1,419,1,483,1,546,1,558,1,566,1
40,9,40,2,40,1,40,1,40,3,40,1,40,2,40,2,40,1,40,3,40,2,40,1,44,1,44,2,44,1,44,2,44,2,49,1,49,1,49,1,53,1,62,1,66,1,78,1,91,1,104,1,104,1,184,1,184,1,268,1,272,1,281,1,314,1,424,1,487,1,550,1,562,1,570,1
44,9,44,2,44,1,44,1,44,4,44,1,44,2,44,3,44,1,44,3,44,2,44,1,49,1,49,2,49,1,49,2,49,2,53,1,53,1,53,1,57,1,66,1,70,1,83,1,95,1,108,1,108,1,188,1,188,1,272,1,276,1,285,1,319,1,428,1,491,1,554,1,566,1,574,1
49,9,49,2,49,1,49,1,49,4,49,1,49,2,49,3,49,1,49,3,49,2,49,1,53,1,53,2,53,1,53,2,53,2,57,1,57,1,57,1,62,1,70,1,74,1,87,1,99,1,112,1,112,1,192,1,192,1,276,1,281,1,289,1,323,1,432,1,496,1,558,1,570,1,579,1
