Time,Manual_Count,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Routerboard.com,Time,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,Belkin International Inc.,Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,Intel Corporate,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Ubiquiti Networks,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,IBM Corp,Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Enerpoint Ltd.,Time,Hewlett-Packard Company,Time,Hewlett Packard,Time,Lexmark International Inc.,Time,DrayTek Corp.,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Nokia Corporation,Time,SEIKO EPSON CORPORATION,Time,"Samsung Electro Mechanics co.,LTD.",Time,"CABLE TELEVISION LABORATORIES, INC.",Time,"Apple, Inc",Time,ICP Electronics Inc.,Time,Apple Inc,Time,Liteon Tech Corp.,Time,HTC Corporation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,2,0,2,1,2,0,2,0,2,1,2,1,2,0,2,0,2,0,2,0,7,0,7,0,7,0,11,0,11,0,11,0,15,0,15,0,19,0,19,0,32,0,32,0,36,0,36,0,40,0,45,0,57,0,70,0,78,1,146,0,218,0,222,0,513,0
7,5,7,1,7,2,7,1,7,1,7,2,7,2,7,3,7,1,7,1,7,2,11,1,11,1,11,1,15,1,15,1,15,1,19,1,19,1,24,1,24,1,36,1,36,1,40,1,40,1,45,1,49,1,62,1,74,1,83,2,150,1,222,1,226,1,518,1
11,5,11,1,11,3,11,1,11,1,11,2,11,3,11,3,11,1,11,1,11,2,15,1,15,1,15,1,19,1,19,1,19,1,24,1,24,1,27,1,27,1,40,2,40,1,45,1,45,1,49,1,53,1,66,1,78,1,87,2,154,1,226,1,230,1,522,1
15,5,15,1,15,3,15,1,15,1,15,2,15,3,15,3,15,1,15,1,15,2,19,1,19,1,19,1,24,2,24,1,24,1,27,1,27,1,32,1,32,1,45,2,45,1,49,1,49,1,53,1,57,1,70,1,83,1,91,2,159,1,230,1,235,1,,
19,5,19,1,19,3,19,1,19,1,19,2,19,3,19,3,19,1,19,1,19,2,24,1,24,1,24,1,27,2,27,1,27,2,32,1,32,1,36,1,36,1,49,2,49,1,53,1,53,1,57,1,62,1,74,1,87,1,96,2,163,1,235,1,239,1,,
24,5,24,1,24,3,24,1,24,1,24,2,24,3,24,3,24,1,24,1,24,2,27,1,27,1,27,1,32,2,32,1,32,2,36,1,36,1,40,1,40,1,53,2,53,1,57,1,57,1,62,1,66,1,78,1,91,1,100,2,167,1,239,1,243,1,,
27,5,27,1,27,3,27,1,27,1,27,2,27,3,27,3,27,1,27,1,27,2,32,1,32,1,32,1,36,2,36,1,36,2,40,1,40,1,45,1,45,1,57,2,57,1,62,1,62,1,66,1,70,1,83,1,96,1,104,2,172,1,243,1,247,1,,
32,5,32,1,32,3,32,1,32,1,32,2,32,3,32,4,32,1,32,1,32,2,36,1,36,1,36,1,40,2,40,1,40,2,45,1,45,1,49,1,49,1,62,3,62,1,66,1,66,1,70,1,74,1,87,1,100,1,108,3,176,1,247,1,252,1,,
36,5,36,1,36,3,36,1,36,1,36,2,36,3,36,4,36,1,36,1,36,2,40,1,40,1,40,1,45,2,45,1,45,2,49,1,49,1,53,1,53,1,66,4,66,1,70,1,70,1,74,1,78,1,91,1,104,1,113,3,180,1,252,1,256,1,,
40,5,40,1,40,4,40,1,40,1,40,2,40,3,40,4,40,1,40,1,40,2,45,1,45,1,45,1,49,2,49,1,49,2,53,1,53,1,57,1,57,1,70,4,70,1,74,1,74,1,78,1,83,1,96,1,108,1,117,3,184,1,256,1,260,1,,
45,5,45,1,45,4,45,1,45,1,45,2,45,3,45,4,45,1,45,1,45,2,49,1,49,1,49,1,53,2,53,1,53,2,57,1,57,1,62,1,62,1,74,4,74,1,78,1,78,1,83,1,87,1,100,1,113,1,121,3,188,1,260,1,264,1,,
49,5,49,1,49,4,49,1,49,1,49,2,49,4,49,5,49,1,49,1,49,2,53,1,53,1,53,1,57,2,57,1,57,2,62,1,62,1,66,1,66,1,78,4,78,1,83,1,83,1,87,1,91,1,104,1,117,1,125,3,193,1,264,1,268,1,,
53,5,53,1,53,4,53,1,53,1,53,2,53,4,53,5,53,1,53,1,53,2,57,1,57,1,57,1,62,2,62,1,62,2,66,1,66,1,70,1,70,1,83,4,83,1,87,1,87,1,91,1,96,1,108,1,121,1,129,3,196,1,268,1,273,1,,
57,5,57,1,57,4,57,1,57,1,57,2,57,4,57,6,57,1,57,1,57,2,62,1,62,2,62,1,66,2,66,1,66,2,70,1,70,1,74,1,74,1,87,4,87,1,91,1,91,1,96,1,100,1,113,1,125,1,133,3,201,1,273,1,276,1,,
62,5,62,1,62,5,62,1,62,1,62,2,62,4,62,6,62,1,62,1,62,2,66,1,66,2,66,1,70,2,70,1,70,3,74,1,74,1,78,1,78,1,91,4,91,1,96,1,96,1,100,1,104,1,117,1,129,1,138,3,205,1,276,1,281,1,,
66,5,66,1,66,5,66,1,66,1,66,2,66,4,66,6,66,1,66,1,66,2,70,1,70,3,70,1,74,2,74,1,74,3,78,1,78,1,83,1,83,1,96,4,96,1,100,1,100,1,104,1,108,1,121,1,133,1,142,3,209,1,281,1,285,1,,
70,5,70,1,70,5,70,1,70,1,70,2,70,4,70,6,70,1,70,1,70,2,74,1,74,4,74,1,78,2,78,1,78,3,83,1,83,1,87,1,87,1,100,4,100,1,104,1,104,1,108,1,113,1,125,1,138,1,146,3,213,1,285,1,289,1,,
74,5,74,1,74,6,74,1,74,1,74,2,74,4,74,6,74,1,74,1,74,2,78,1,78,4,78,1,83,2,83,1,83,3,87,1,87,1,91,1,91,1,104,4,104,1,108,1,108,1,113,1,117,1,129,1,142,1,150,3,218,1,289,1,294,1,,
78,5,78,1,78,6,78,0,78,1,78,2,78,4,78,6,78,1,78,1,78,2,83,1,83,4,83,1,87,2,87,1,87,3,91,1,91,1,96,1,96,1,108,4,108,0,113,1,113,0,117,1,121,0,133,0,146,0,154,2,222,0,294,1,297,0,,
83,5,83,1,83,6,83,0,83,1,83,2,83,4,83,5,83,1,83,1,83,2,87,1,87,4,87,1,91,2,91,1,91,3,96,1,96,1,100,1,100,1,113,4,113,0,117,1,117,0,121,1,125,0,138,0,150,0,159,2,226,0,297,0,302,0,,
87,5,87,1,87,5,87,0,87,1,87,2,87,4,87,5,87,1,87,1,87,2,91,1,91,4,91,1,96,2,96,1,96,3,100,1,100,1,104,1,104,1,117,4,117,0,121,1,121,0,125,1,129,0,142,0,154,0,163,2,230,0,302,0,306,0,,
91,5,91,1,91,5,91,0,91,1,91,2,91,4,91,7,91,1,91,1,91,2,96,1,96,4,96,1,100,1,100,1,100,3,104,1,104,1,108,1,108,1,121,3,121,0,125,1,125,0,129,1,133,0,146,0,159,0,167,2,235,0,306,0,310,0,,
96,5,96,1,96,5,96,1,96,1,96,2,96,4,96,8,96,1,96,1,96,2,100,1,100,4,100,1,104,1,104,1,104,3,108,1,108,2,113,1,113,1,125,3,125,0,129,0,129,0,133,1,138,0,150,1,163,0,172,3,239,0,310,0,315,0,,
100,5,100,1,100,5,100,1,100,1,100,2,100,4,100,8,100,1,100,1,100,2,104,1,104,4,104,1,108,1,108,1,108,3,113,1,113,2,117,1,117,1,129,4,129,0,133,0,133,0,138,1,142,0,154,1,167,0,176,4,243,0,315,0,319,0,,
104,5,104,1,104,5,104,1,104,1,104,2,104,4,104,8,104,1,104,1,104,2,108,1,108,4,108,1,113,1,113,1,113,3,117,1,117,2,121,1,121,1,133,4,133,0,138,0,138,0,142,1,146,0,159,1,172,0,180,4,247,0,319,0,323,0,,
108,5,108,1,108,5,108,1,108,1,108,2,108,4,108,7,108,1,108,1,108,2,113,1,113,4,113,1,117,1,117,1,117,3,121,1,121,2,125,1,125,1,138,3,138,0,142,0,142,0,146,0,150,0,163,1,176,0,184,3,252,0,323,0,327,0,,
113,5,113,1,113,5,113,1,113,1,113,2,113,4,113,9,113,1,113,1,113,2,117,1,117,4,117,1,121,1,121,1,121,3,125,1,125,2,129,1,129,1,142,2,142,1,146,1,146,0,150,0,154,0,167,1,180,0,188,3,256,0,327,0,332,0,,
117,5,117,1,117,4,117,1,117,1,117,2,117,4,117,9,117,1,117,1,117,2,121,1,121,4,121,1,125,1,125,1,125,3,129,1,129,2,133,1,133,1,146,2,146,1,150,1,150,0,154,0,159,0,172,1,184,0,193,3,260,0,332,0,335,0,,
121,5,121,1,121,4,121,1,121,1,121,2,121,4,121,11,121,1,121,1,121,2,125,1,125,4,125,1,129,1,129,1,129,3,133,1,133,2,138,1,138,1,150,2,150,1,154,1,154,0,159,0,163,0,176,1,188,0,196,3,264,0,335,0,340,0,,
125,5,125,1,125,4,125,1,125,1,125,2,125,4,125,10,125,1,125,1,125,2,129,1,129,4,129,1,133,1,133,1,133,3,138,1,138,2,142,1,142,2,154,2,154,1,159,1,159,0,163,1,167,1,180,1,193,0,201,3,268,0,340,0,344,0,,
129,5,129,1,129,4,129,1,129,1,129,2,129,4,129,10,129,1,129,1,129,2,133,1,133,4,133,2,138,1,138,1,138,4,142,1,142,2,146,1,146,1,159,2,159,1,163,1,163,0,167,1,172,1,184,1,196,0,205,3,273,0,344,0,348,0,,
133,5,133,1,133,4,133,1,133,1,133,2,133,4,133,10,133,1,133,1,133,2,138,1,138,4,138,2,142,1,142,1,142,4,146,1,146,2,150,1,150,1,163,2,163,1,167,1,167,0,172,1,176,1,188,1,201,0,209,2,276,0,348,0,352,0,,
138,5,138,1,138,3,138,1,138,1,138,2,138,4,138,10,138,1,138,1,138,2,142,1,142,4,142,2,146,1,146,1,146,4,150,1,150,2,154,1,154,1,167,2,167,1,172,1,172,0,176,1,180,1,193,1,205,0,213,2,281,0,352,0,357,0,,
142,5,142,1,142,3,142,1,142,1,142,2,142,3,142,11,142,1,142,1,142,2,146,1,146,3,146,2,150,1,150,1,150,3,154,1,154,2,159,1,159,1,172,2,172,1,176,1,176,0,180,1,184,1,196,1,209,0,218,2,285,0,357,0,361,0,,
146,5,146,1,146,4,146,1,146,1,146,2,146,3,146,11,146,1,146,1,146,2,150,1,150,2,150,2,154,1,154,1,154,3,159,1,159,2,163,1,163,1,176,2,176,1,180,1,180,0,184,1,188,1,201,1,213,0,222,2,289,0,361,0,366,0,,
150,5,150,1,150,4,150,1,150,1,150,2,150,3,150,12,150,1,150,1,150,2,154,1,154,2,154,2,159,1,159,1,159,3,163,1,163,2,167,1,167,1,180,2,180,1,184,1,184,0,188,1,193,1,205,1,218,0,226,2,294,0,366,0,369,0,,
154,5,154,1,154,5,154,1,154,1,154,2,154,3,154,12,154,1,154,1,154,2,159,1,159,2,159,2,163,1,163,1,163,3,167,1,167,2,172,1,172,1,184,2,184,1,188,1,188,0,193,1,196,1,209,1,222,0,230,2,297,0,369,0,373,0,,
159,5,159,1,159,5,159,1,159,1,159,2,159,3,159,12,159,1,159,1,159,2,163,1,163,2,163,2,167,1,167,1,167,3,172,1,172,2,176,1,176,1,188,2,188,1,193,1,193,0,196,1,201,1,213,1,226,0,235,2,302,0,373,0,378,0,,
163,5,163,1,163,6,163,1,163,1,163,2,163,3,163,12,163,1,163,1,163,2,167,1,167,2,167,2,172,0,172,1,172,3,176,1,176,2,180,1,180,1,193,2,193,1,196,1,196,0,201,1,205,1,218,1,230,0,239,2,306,0,378,0,382,0,,
167,5,167,1,167,7,167,1,167,1,167,2,167,3,167,13,167,1,167,1,167,2,172,1,172,2,172,2,176,0,176,1,176,3,180,1,180,2,184,1,184,1,196,2,196,1,201,1,201,0,205,1,209,1,222,1,235,0,243,2,310,0,382,0,386,0,,
172,5,172,1,172,7,172,1,172,1,172,2,172,3,172,13,172,1,172,1,172,2,176,1,176,2,176,2,180,0,180,1,180,3,184,1,184,1,188,1,188,1,201,2,201,1,205,1,205,0,209,1,213,1,226,1,239,0,247,1,315,0,386,1,390,0,,
176,5,176,1,176,8,176,1,176,1,176,2,176,3,176,13,176,1,176,1,176,2,180,1,180,3,180,2,184,1,184,1,184,3,188,1,188,1,193,1,193,1,205,2,205,1,209,1,209,0,213,1,218,1,230,1,243,0,252,0,319,0,390,1,395,0,,
180,5,180,1,180,9,180,1,180,1,180,2,180,3,180,13,180,1,180,1,180,2,184,1,184,3,184,2,188,1,188,1,188,3,193,1,193,1,196,1,196,1,209,2,209,1,213,1,213,0,218,1,222,1,235,1,247,0,256,0,323,0,395,1,399,0,,
184,5,184,1,184,9,184,1,184,1,184,2,184,3,184,13,184,1,184,1,184,2,188,1,188,3,188,2,193,1,193,1,193,3,196,1,196,1,201,1,201,1,213,2,213,1,218,1,218,0,222,1,226,1,239,1,252,0,260,1,327,0,399,1,403,0,,
188,5,188,1,188,9,188,1,188,1,188,2,188,3,188,12,188,1,188,1,188,2,193,1,193,3,193,2,196,1,196,1,196,3,201,1,201,2,205,1,205,1,218,2,218,0,222,1,222,0,226,1,230,1,243,1,256,0,264,1,332,0,403,1,408,0,,
193,5,193,1,193,9,193,1,193,1,193,2,193,3,193,11,193,1,193,1,193,2,196,1,196,3,196,2,201,1,201,1,201,3,205,1,205,2,209,1,209,1,222,2,222,0,226,1,226,0,230,1,235,1,247,1,260,0,268,2,335,0,408,1,412,0,,
196,5,196,1,196,9,196,1,196,1,196,2,196,3,196,11,196,1,196,1,196,2,201,1,201,2,201,2,205,1,205,1,205,4,209,1,209,2,213,1,213,1,226,2,226,0,230,1,230,0,235,1,239,1,252,1,264,0,273,2,340,0,412,1,416,0,,
201,5,201,1,201,9,201,1,201,1,201,2,201,3,201,9,201,1,201,1,201,2,205,1,205,2,205,2,209,1,209,1,209,5,213,1,213,3,218,1,218,1,230,2,230,0,235,1,235,0,239,1,243,1,256,1,268,0,276,2,344,0,416,1,420,0,,
205,5,205,1,205,9,205,1,205,1,205,2,205,3,205,9,205,1,205,1,205,2,209,1,209,2,209,1,213,1,213,1,213,5,218,1,218,3,222,1,222,1,235,2,235,0,239,1,239,0,243,1,247,1,260,1,273,0,281,2,348,0,420,1,424,0,,
209,5,209,1,209,9,209,1,209,1,209,2,209,3,209,9,209,1,209,1,209,2,213,1,213,2,213,1,218,1,218,1,218,5,222,1,222,3,226,1,226,1,239,2,239,0,243,1,243,0,247,1,252,1,264,1,276,0,285,2,352,0,424,1,429,0,,
213,5,213,1,213,9,213,1,213,1,213,2,213,3,213,10,213,1,213,1,213,2,218,1,218,2,218,1,222,1,222,1,222,5,226,1,226,3,230,1,230,1,243,2,243,0,247,1,247,0,252,1,256,1,268,1,281,0,289,2,357,0,429,1,433,0,,
218,5,218,1,218,8,218,1,218,1,218,2,218,3,218,9,218,1,218,1,218,2,222,1,222,2,222,1,226,1,226,1,226,5,230,1,230,3,235,1,235,1,247,2,247,0,252,1,252,0,256,1,260,1,273,1,285,0,294,2,361,0,433,1,437,0,,
222,5,222,1,222,8,222,1,222,1,222,2,222,3,222,10,222,1,222,1,222,2,226,1,226,2,226,1,230,1,230,1,230,5,235,1,235,3,239,1,239,1,252,2,252,0,256,1,256,0,260,1,264,1,276,1,289,0,297,2,366,0,437,1,441,0,,
226,5,226,1,226,8,226,1,226,1,226,2,226,3,226,9,226,1,226,1,226,2,230,1,230,2,230,1,235,1,235,1,235,5,239,1,239,3,243,1,243,1,256,1,256,0,260,1,260,0,264,1,268,1,281,1,294,0,302,2,369,0,441,1,446,0,,
230,5,230,1,230,7,230,1,230,1,230,2,230,3,230,9,230,1,230,1,230,2,235,1,235,2,235,1,239,1,239,1,239,5,243,1,243,3,247,1,247,1,260,1,260,0,264,1,264,0,268,1,273,1,285,1,297,0,306,2,373,0,446,1,450,0,,
235,5,235,1,235,7,235,1,235,1,235,2,235,3,235,8,235,1,235,1,235,2,239,1,239,2,239,1,243,1,243,1,243,4,247,1,247,3,252,0,252,1,264,1,264,1,268,1,268,0,273,1,276,1,289,1,302,0,310,2,378,0,450,1,454,0,,
239,5,239,1,239,6,239,1,239,1,239,2,239,3,239,8,239,1,239,1,239,2,243,1,243,2,243,1,247,1,247,1,247,4,252,1,252,3,256,0,256,0,268,1,268,1,273,1,273,0,276,1,281,1,294,1,306,0,315,2,382,0,454,1,458,0,,
243,5,243,1,243,5,243,1,243,1,243,2,243,3,243,7,243,1,243,1,243,2,247,1,247,2,247,1,252,1,252,1,252,4,256,1,256,3,260,0,260,0,273,1,273,1,276,1,276,0,281,1,285,1,297,1,310,0,319,2,386,0,458,1,462,1,,
247,5,247,1,247,5,247,1,247,1,247,2,247,3,247,7,247,1,247,1,247,2,252,1,252,2,252,1,256,1,256,1,256,4,260,1,260,3,264,0,264,0,276,1,276,1,281,1,281,0,285,1,289,1,302,1,315,0,323,2,390,0,462,0,467,1,,
252,5,252,1,252,4,252,0,252,1,252,2,252,3,252,6,252,1,252,1,252,2,256,1,256,1,256,1,260,0,260,1,260,4,264,1,264,3,268,0,268,0,281,0,281,1,285,1,285,0,289,1,294,1,306,1,319,0,327,2,395,0,467,0,471,1,,
256,5,256,1,256,3,256,0,256,1,256,2,256,3,256,6,256,1,256,1,256,2,260,1,260,1,260,1,264,0,264,1,264,4,268,1,268,3,273,0,273,0,285,0,285,1,289,1,289,0,294,1,297,1,310,1,323,0,332,2,399,0,471,0,475,1,,
260,5,260,1,260,3,260,0,260,1,260,2,260,3,260,6,260,1,260,1,260,2,264,1,264,1,264,1,268,0,268,1,268,4,273,1,273,3,276,0,276,0,289,0,289,1,294,1,294,0,297,1,302,1,315,1,327,0,335,1,403,0,475,0,479,1,,
264,5,264,1,264,3,264,0,264,1,264,2,264,3,264,6,264,1,264,1,264,2,268,1,268,1,268,1,273,0,273,1,273,4,276,1,276,3,281,0,281,1,294,0,294,1,297,1,297,0,302,1,306,1,319,0,332,0,340,1,408,0,479,0,483,1,,
268,5,268,1,268,4,268,0,268,1,268,2,268,3,268,7,268,1,268,1,268,2,273,1,273,1,273,1,276,0,276,1,276,4,281,1,281,3,285,0,285,1,297,0,297,1,302,1,302,0,306,1,310,1,323,0,335,0,344,1,412,0,483,0,488,1,,
