Time,Manual_Count,Time,Netgear Inc.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,Belkin International Inc.,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,ASUSTek COMPUTER INC.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,IBM Corp,Time,"Samsung Electronics Co.,Ltd",Time,Intel Corporate,Time,DrayTek Corp.,Time,Hewlett-Packard Company,Time,Hewlett Packard,Time,"NETGEAR INC.,",Time,"Apple, Inc",Time,"Murata Manufacturing Co., Ltd.",Time,Nokia Corporation,Time,Ubiquiti Networks,Time,ICP Electronics Inc.,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Routerboard.com,Time,SEIKO EPSON CORPORATION,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Enerpoint Ltd.,Time,Paragon Technologies Inc.,Time,Liteon Tech Corp.,Time,Lexmark International Inc.,Time,"Apple, Inc.",Time,"Murata Manufacturing Co.,Ltd.",Time,Apple Inc,Time,HTC Corporation,Time,"Huawei Technologies Co., Ltd",Time,"Samsung Electro Mechanics co., LTD.",Time,WISOL,Time,Sony Mobile Communications AB,Time,"Samsung Electro Mechanics co.,LTD.",Time,"Billion Electric Co., Ltd.",Time,Liteon Technology Corporation,Time,Pittasoft,Time,FUJI-XEROX CO. LTD.
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,6,0,6,2,6,0,6,0,6,0,18,0,18,1,18,0,23,0,23,0,31,0,44,0,48,0,61,0,65,0,69,0,86,0,99,0,167,0,176,0,192,0,277,0,434,0,446,0,549,0,558,0,562,0,613,0,858,0,867,0,1162,0,1293,0,1339,0,1496,0,1609,1
6,7,6,1,6,1,6,4,6,1,6,2,6,1,6,2,6,1,6,2,6,1,10,1,10,3,10,1,10,1,10,1,23,1,23,2,23,1,27,1,27,1,36,1,48,1,52,1,65,1,69,1,73,1,90,1,103,1,172,1,180,1,197,1,281,1,438,1,451,1,554,1,562,1,566,1,634,1,862,1,871,1,1165,1,1297,1,1343,1,1500,1,1614,2
10,7,10,1,10,1,10,4,10,1,10,2,10,1,10,2,10,1,10,2,10,1,14,1,14,3,14,1,14,1,14,1,27,1,27,2,27,1,31,1,31,1,39,1,52,1,57,1,69,1,73,1,78,1,94,1,107,1,176,1,184,1,201,1,285,1,442,1,455,1,558,1,566,1,570,1,639,1,867,1,875,1,1170,1,1301,1,1347,1,1503,1,1619,2
14,7,14,1,14,1,14,4,14,1,14,2,14,1,14,2,14,1,14,2,14,1,18,1,18,3,18,1,18,1,18,1,31,1,31,2,31,1,36,1,36,1,44,1,57,1,61,1,73,1,78,1,82,1,99,1,154,1,180,1,188,1,206,1,290,1,446,1,460,1,562,1,570,1,575,1,643,1,871,1,879,1,1174,1,1305,1,1352,1,1508,1,1624,2
18,7,18,1,18,1,18,4,18,1,18,2,18,1,18,2,18,1,18,2,18,1,23,2,23,3,23,1,23,1,23,1,36,1,36,2,36,1,39,1,39,1,48,1,61,1,65,1,78,1,82,1,86,1,103,1,159,1,184,1,192,1,209,1,294,1,451,1,464,1,566,1,575,1,579,1,647,1,875,1,883,1,1178,1,1309,1,1356,1,1512,1,1627,2
23,7,23,1,23,1,23,4,23,1,23,2,23,1,23,2,23,1,23,2,23,1,27,2,27,3,27,1,27,1,27,1,39,1,39,2,39,1,44,1,44,1,52,1,65,1,69,1,82,1,86,1,90,1,107,1,163,1,188,1,197,1,213,1,299,1,455,1,468,1,570,1,579,1,584,1,651,1,879,1,888,1,1183,1,1314,1,1360,1,1516,1,1631,2
27,7,27,1,27,1,27,4,27,1,27,2,27,1,27,2,27,1,27,2,27,1,31,2,31,3,31,1,31,1,31,1,44,1,44,2,44,1,48,1,48,1,57,1,69,1,73,1,86,1,90,1,94,1,154,1,167,1,192,1,201,1,218,1,303,1,460,1,472,1,575,1,584,1,587,1,655,1,883,1,892,1,1186,1,1318,1,1365,1,1521,1,1635,2
31,7,31,1,31,1,31,4,31,1,31,2,31,1,31,2,31,1,31,2,31,1,36,2,36,3,36,1,36,1,36,1,48,1,48,2,48,1,52,1,52,1,61,1,73,1,78,1,90,1,94,1,99,1,159,1,172,1,197,1,206,1,222,1,306,1,464,1,476,1,579,1,587,1,592,1,659,1,888,1,896,1,1191,1,1322,1,1369,1,1525,1,1640,2
36,7,36,1,36,1,36,4,36,1,36,2,36,1,36,4,36,1,36,2,36,1,39,2,39,3,39,1,39,1,39,1,52,1,52,2,52,1,57,1,57,2,65,1,78,1,82,1,94,1,99,1,103,1,163,0,176,1,201,1,209,1,226,1,311,1,468,1,481,1,584,1,592,1,596,1,664,1,892,1,900,1,1195,1,1327,1,1373,1,1530,1,1644,2
