Time,Manual_Count,Time,"Apple, Inc",Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Hewlett-Packard Company,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,DrayTek Corp.,Time,IBM Corp,Time,"NETGEAR INC.,",Time,ICP Electronics Inc.,Time,Ubiquiti Networks,Time,Belkin International Inc.,Time,Apple Inc,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,Hewlett Packard,Time,HTC Corporation,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,"Murata Manufacturing Co., Ltd.",Time,Intel Corporate,Time,SEIKO EPSON CORPORATION,Time,"Samsung Electro Mechanics co., LTD.",Time,Liteon Tech Corp.,Time,Enerpoint Ltd.,Time,Routerboard.com,Time,WISOL,Time,"Samsung Electro Mechanics co.,LTD.",Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Sony Mobile Communications AB,Time,"TP-LINK TECHNOLOGIES CO., LTD.",Time,Lexmark International Inc.,Time,"Apple, Inc.",Time,LG Electronics,Time,"AzureWave Technologies, Inc.",Time,"Motorola Mobility LLC, a Lenovo Company",Time,"Samsung Electronics ITS, Printer division"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15,4,0,4,0,4,0,4,0,9,0,9,2,9,0,9,0,9,0,13,0,13,0,13,0,17,0,17,0,26,0,26,0,26,0,26,0,30,0,34,0,34,0,43,0,51,0,73,0,111,0,123,0,127,0,140,0,140,0,199,0,353,0,361,0,467,0,492,0,817,0,1326,0,1465,0,1559,0,1677,0,1740,0
9,15,9,1,9,1,9,2,9,1,13,1,13,3,13,1,13,1,13,1,17,1,17,1,17,1,21,1,21,1,30,1,30,1,30,1,30,1,34,2,39,2,39,1,47,1,55,1,77,1,115,1,127,1,131,1,144,1,144,1,203,1,357,1,365,1,471,1,496,1,822,1,1330,1,1470,1,1563,1,1681,1,1744,1
13,15,13,1,13,3,13,2,13,1,17,1,17,3,17,1,17,1,17,2,21,1,21,1,21,1,26,1,26,1,34,1,34,1,34,1,34,1,39,2,43,2,43,1,51,1,60,1,81,1,119,1,131,1,136,1,148,1,148,1,207,1,361,1,369,1,475,1,500,1,825,1,1335,1,1474,1,1568,1,1686,1,1748,1
17,15,17,1,17,4,17,2,17,1,21,1,21,3,21,1,21,1,21,2,26,1,26,1,26,1,30,1,30,1,39,1,39,1,39,1,39,1,43,2,47,2,47,1,55,1,64,1,85,1,123,1,136,1,140,1,152,1,152,1,211,1,365,1,374,1,479,1,504,1,829,1,1338,1,1478,1,1572,1,1690,1,1752,1
21,15,21,1,21,4,21,2,21,1,26,1,26,3,26,1,26,1,26,2,30,1,30,1,30,1,34,1,34,1,43,1,43,1,43,1,43,1,47,2,51,2,51,1,60,1,68,1,89,1,127,1,140,1,144,1,157,1,157,1,216,1,369,1,378,1,483,1,509,1,909,1,1343,1,1482,1,1576,1,1694,1,1757,1
26,15,26,1,26,4,26,2,26,1,30,1,30,3,30,1,30,1,30,4,34,1,34,1,34,1,39,1,39,1,47,1,47,1,47,1,47,1,51,2,55,2,55,1,64,1,73,1,93,1,131,1,144,1,148,1,161,1,161,1,220,1,374,1,382,1,487,1,513,1,912,1,1348,1,1486,1,1581,1,1698,1,1761,1
30,15,30,2,30,4,30,2,30,1,34,1,34,3,34,1,34,1,34,4,39,1,39,1,39,1,43,1,43,1,51,1,51,1,51,1,51,1,55,2,60,2,60,1,68,1,77,1,98,2,136,1,148,1,152,1,165,1,165,1,225,1,378,1,386,1,492,1,517,1,917,1,1351,1,1490,1,1585,1,1702,1,1765,1
34,17,34,2,34,4,34,2,34,1,39,1,39,3,39,1,39,1,39,4,43,1,43,1,43,1,47,1,47,1,55,1,55,1,55,1,55,1,60,2,64,2,64,1,73,1,81,1,102,2,140,1,152,1,157,1,169,1,169,1,230,1,382,1,391,1,496,1,521,1,921,1,1355,1,1494,1,1589,1,1706,1,1770,1
39,17,39,2,39,4,39,2,39,1,43,1,43,4,43,1,43,1,43,4,47,1,47,1,47,1,51,1,51,1,60,1,60,1,60,1,60,1,64,2,68,2,68,1,77,1,85,1,106,2,144,1,157,1,161,1,173,1,173,1,234,1,386,1,395,1,500,1,526,1,925,1,1360,1,1499,1,1593,1,1711,1,1774,1
