Time,Manual_Count,Time,Netgear Inc.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,"Samsung Electro Mechanics co.,LTD.",Time,Apple,Time,"Samsung Electro Mechanics co., LTD.",Time,ASUSTek COMPUTER INC.,Time,IBM Corp,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,Liteon Tech Corp.,Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,DrayTek Corp.,Time,Intel Corporate,Time,"AzureWave Technologies, Inc.",Time,Hewlett Packard,Time,Ubiquiti Networks,Time,Sony Mobile Communications AB,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,"Apple, Inc",Time,SEIKO EPSON CORPORATION,Time,"TP-LINK TECHNOLOGIES CO., LTD.",Time,Hewlett-Packard Company,Time,ICP Electronics Inc.,Time,Enerpoint Ltd.,Time,Routerboard.com,Time,"Apple, Inc.",Time,Microsoft Corporation,Time,Lexmark International Inc.,Time,Pittasoft,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,LG Electronics,Time,HTC Corporation,Time,Apple Inc,Time,"Murata Manufactuaring Co.,Ltd.",Time,"Murata Manufacturing Co.,Ltd.",Time,"Huawei Technologies Co., Ltd",Time,Sierra Wireless Inc,Time,Wistron Corporation,Time,WISOL,Time,"CABLE TELEVISION LABORATORIES, INC.",Time,"Samsung Elec Co.,Ltd",Time,Nokia Corporation,Time,SAMSUNG ELECTRO-MECHANICS,Time,"Shenzhen Ogemray Technology Co., Ltd."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,5,1,9,0,9,0,13,0,13,0,13,0,34,0,47,0,47,0,52,0,52,0,81,0,81,0,138,0,231,0,290,0,294,0,331,0,415,0,540,0,650,0,906,0,919,0,944,0,1015,0,1041,0,1308,0,1619,0,2446,0,2581,0,2611,0,2742,0,2849,0,2938,0,3175,0,3210,0
5,14,5,1,5,1,5,4,5,2,5,2,5,1,5,1,5,1,5,2,9,1,9,1,9,1,9,1,9,2,13,1,13,1,17,1,17,1,17,1,39,1,52,1,52,1,56,1,56,1,85,1,85,1,142,1,235,1,294,1,299,1,335,1,419,1,562,1,655,1,910,1,923,1,948,1,1020,1,1045,1,1311,1,1623,1,2451,1,2586,1,2615,1,2747,1,2853,1,2941,1,3179,1,3214,1
9,14,9,1,9,1,9,4,9,2,9,3,9,1,9,1,9,3,9,2,13,1,13,1,13,1,13,1,13,2,17,1,17,1,22,1,22,1,22,1,43,1,56,1,56,1,60,1,60,1,93,1,93,1,146,1,239,1,299,1,308,1,339,1,424,1,572,1,658,1,915,1,927,1,953,1,1024,1,1049,1,1316,1,1628,1,2455,1,2590,1,2620,1,2750,1,2857,1,2946,1,3185,1,3218,1
13,14,13,1,13,1,13,4,13,2,13,4,13,1,13,1,13,3,13,2,17,1,17,1,17,1,17,1,17,2,22,1,22,1,26,1,26,1,26,1,47,1,60,1,60,1,64,1,64,1,96,1,96,1,150,3,243,1,308,1,314,1,343,1,428,1,578,1,662,1,919,1,931,1,956,1,1028,1,1054,1,1320,1,1632,1,2459,1,2595,1,2624,1,2755,1,2861,1,2950,1,3188,1,3222,1
17,14,17,1,17,1,17,4,17,2,17,4,17,1,17,1,17,3,17,2,22,1,22,1,22,1,22,1,22,2,26,1,26,1,30,1,30,1,30,1,52,1,64,1,64,1,69,1,69,2,100,1,100,1,155,3,247,1,314,1,318,1,347,1,432,1,599,1,666,1,923,1,935,1,960,1,1032,1,1057,1,1325,1,1636,1,2463,1,2598,1,2628,1,2760,1,2866,1,2954,1,3193,1,3226,1
22,14,22,1,22,1,22,4,22,2,22,4,22,1,22,1,22,4,22,2,26,1,26,1,26,1,26,1,26,2,30,1,30,1,34,1,34,1,34,1,56,1,69,1,69,1,73,1,73,2,104,1,104,1,159,3,252,1,318,1,322,1,352,1,436,1,603,1,670,1,927,1,940,1,965,1,1036,1,1062,1,1329,1,1641,2,2468,1,2603,1,2632,1,2763,1,2870,1,2958,1,3197,1,3231,1
26,14,26,1,26,1,26,4,26,2,26,4,26,1,26,1,26,4,26,2,30,1,30,1,30,1,30,1,30,2,34,1,34,1,39,1,39,1,39,1,60,1,73,1,73,1,77,1,77,2,108,1,108,1,163,3,256,1,322,1,326,1,356,1,441,1,607,1,675,1,931,1,944,1,969,1,1041,1,1066,1,1333,1,1644,2,2472,1,2607,1,2637,1,2768,1,2874,1,2963,1,3201,1,3237,1
30,14,30,1,30,1,30,4,30,2,30,4,30,1,30,1,30,4,30,2,34,1,34,1,34,1,34,1,34,2,39,1,39,1,43,1,43,1,43,1,64,1,77,1,77,1,81,1,81,2,113,1,113,1,168,3,260,1,326,1,331,1,360,1,445,1,611,1,679,1,935,1,948,1,973,1,1045,1,1070,1,1337,1,1649,2,2476,1,2611,1,2641,1,2772,1,2878,1,2967,1,3205,1,3241,1
34,14,34,1,34,1,34,4,34,2,34,4,34,1,34,1,34,4,34,2,39,1,39,1,39,1,39,1,39,2,43,1,43,1,47,1,47,1,47,1,69,1,81,1,81,1,85,1,85,2,117,1,117,1,172,3,265,1,331,1,335,1,364,1,449,1,616,1,684,1,940,1,953,1,978,1,1049,1,1074,1,1342,1,1654,2,2480,1,2615,1,2645,1,2777,1,2883,1,2972,1,3210,1,3245,1
39,14,39,1,39,1,39,4,39,2,39,4,39,1,39,1,39,4,39,2,43,1,43,1,43,1,43,1,43,2,47,1,47,1,52,1,52,1,52,1,73,1,85,1,85,1,93,1,93,2,121,1,121,1,176,3,268,1,335,1,339,1,368,1,453,1,620,1,688,1,944,1,956,1,982,1,1054,1,1078,1,1345,1,1658,2,2484,1,2620,1,2649,1,2780,1,2887,1,2975,1,3214,1,3248,1
43,14,43,1,43,1,43,4,43,2,43,4,43,1,43,1,43,4,43,2,47,1,47,1,47,1,47,1,47,2,52,1,52,1,56,1,56,1,56,1,77,1,93,1,93,1,96,1,96,2,126,1,126,1,180,3,273,1,339,1,343,1,373,1,457,1,624,1,692,1,948,1,960,1,986,1,1057,1,1083,1,1350,1,1662,2,2488,1,2624,1,2653,1,2785,1,2891,1,2979,1,3218,1,3254,1
47,14,47,1,47,1,47,4,47,2,47,4,47,1,47,1,47,4,47,2,52,1,52,1,52,1,52,1,52,2,56,1,56,1,60,1,60,1,60,1,81,1,96,1,96,1,100,1,100,2,130,1,130,1,185,3,277,1,343,1,347,1,377,1,462,1,628,1,696,1,953,1,965,1,990,1,1062,1,1087,1,1354,1,1666,2,2493,1,2628,1,2658,1,2790,1,2895,1,2984,1,3222,1,3258,1
52,14,52,1,52,1,52,4,52,2,52,4,52,1,52,1,52,5,52,2,56,1,56,1,56,1,56,1,56,2,60,1,60,1,64,1,64,1,64,1,85,1,100,1,100,1,104,1,104,2,133,1,133,1,189,3,281,1,347,1,352,1,381,1,466,1,632,1,701,1,956,1,969,1,994,1,1066,1,1091,2,1358,1,1670,2,2497,1,2632,1,2662,1,2793,1,2900,1,2987,1,3226,1,3262,1
56,14,56,1,56,1,56,5,56,2,56,4,56,1,56,1,56,5,56,2,60,1,60,1,60,2,60,1,60,2,64,1,64,1,69,1,69,1,69,1,93,1,104,1,104,1,108,1,108,2,138,1,138,1,193,3,286,1,352,1,356,1,386,1,471,1,637,1,705,1,960,1,973,1,999,1,1070,1,1096,2,1362,1,1675,2,2501,1,2637,1,2666,1,2799,1,2903,1,2992,1,3231,1,3266,1
60,14,60,1,60,1,60,5,60,2,60,4,60,1,60,1,60,5,60,2,64,1,64,1,64,3,64,1,64,2,69,1,69,1,73,1,73,1,73,1,96,1,108,1,108,1,113,1,113,3,142,1,142,1,197,3,290,1,356,1,360,1,389,1,474,1,641,1,709,1,965,1,978,1,1003,1,1074,1,1099,2,1367,1,1679,2,2506,1,2641,1,2671,1,2802,1,2908,1,2996,1,3237,1,3270,1
64,14,64,1,64,1,64,5,64,2,64,4,64,1,64,1,64,6,64,2,69,1,69,1,69,3,69,1,69,2,73,1,73,1,77,1,77,1,77,1,100,1,113,1,113,1,117,1,117,3,146,1,146,1,201,3,294,1,360,1,364,1,394,1,479,1,646,1,713,1,969,1,982,1,1007,1,1078,1,1104,2,1371,1,1683,2,2510,1,2645,1,2674,1,2806,1,2912,1,3001,1,3241,1,3274,1
69,14,69,1,69,1,69,5,69,2,69,4,69,1,69,1,69,6,69,2,73,1,73,1,73,3,73,1,73,2,77,1,77,1,81,1,81,1,81,1,104,1,117,1,117,1,121,1,121,3,150,1,150,1,205,3,299,1,364,1,368,1,398,1,484,1,650,1,718,1,973,1,986,1,1011,1,1083,1,1108,2,1375,1,1687,2,2514,1,2649,1,2679,1,2810,1,2916,1,3005,1,3245,1,3279,1
73,14,73,1,73,1,73,5,73,2,73,4,73,1,73,1,73,6,73,2,77,1,77,1,77,3,77,1,77,2,81,1,81,1,85,1,85,1,85,1,108,1,121,1,121,1,126,1,126,3,155,1,155,1,210,3,308,1,368,1,373,1,403,1,487,1,655,1,731,1,978,1,990,1,1015,1,1087,1,1113,2,1379,1,1692,2,2518,1,2653,1,2683,1,2815,1,2921,1,3009,1,3248,1,3283,1
77,14,77,1,77,1,77,5,77,2,77,4,77,1,77,1,77,6,77,2,81,1,81,1,81,3,81,1,81,2,85,1,85,1,93,1,93,1,93,1,113,1,126,1,126,1,130,1,130,3,159,1,159,1,214,3,314,1,373,1,377,1,406,1,491,1,658,1,739,1,982,1,994,1,1020,1,1091,1,1116,2,1384,1,1695,2,2523,1,2658,1,2687,1,2819,1,2924,1,3014,1,3254,1,3287,1
81,14,81,1,81,1,81,5,81,2,81,5,81,1,81,1,81,6,81,2,85,1,85,1,85,3,85,1,85,2,93,1,93,1,96,1,96,1,96,1,117,1,130,1,130,1,133,1,133,3,163,1,163,1,218,3,318,1,377,1,381,1,411,1,495,1,662,1,745,1,986,1,999,1,1024,1,1096,1,1121,2,1388,1,1700,2,2526,1,2662,1,2692,1,2823,1,2929,1,3017,1,3258,1,3291,1
85,14,85,1,85,1,85,5,85,2,85,5,85,1,85,1,85,6,85,2,93,1,93,1,93,3,93,1,93,2,96,1,96,1,100,1,100,1,100,1,121,1,133,1,133,1,138,1,138,3,168,1,168,1,222,3,322,1,381,1,386,1,415,1,501,1,666,1,748,1,990,1,1003,1,1028,1,1099,1,1125,2,1392,1,1704,2,2531,1,2666,1,2696,1,2827,1,2933,1,3022,1,3262,1,3295,1
93,14,93,1,93,1,93,5,93,2,93,5,93,1,93,1,93,8,93,2,96,1,96,1,96,3,96,1,96,2,100,1,100,1,104,1,104,1,104,1,126,1,138,1,138,1,142,1,142,3,172,1,172,1,227,3,326,1,386,1,389,1,419,1,505,1,670,1,752,1,994,1,1007,1,1032,1,1104,2,1129,2,1396,1,1708,2,2535,1,2671,1,2700,1,2832,1,2938,1,3026,1,3266,1,3299,1
