Time,Manual_Count,Time,Netgear Inc.,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,"Samsung Elec Co.,Ltd",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Hewlett Packard,Time,"NETGEAR INC.,",Time,DrayTek Corp.,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,Liteon Tech Corp.,Time,SEIKO EPSON CORPORATION,Time,Intel Corporate,Time,"Apple, Inc",Time,Hewlett-Packard Company,Time,ASUSTek COMPUTER INC.,Time,IBM Corp,Time,"Samsung Electro Mechanics co., LTD.",Time,Apple Inc,Time,Routerboard.com,Time,"Samsung Electro Mechanics co.,LTD.",Time,Enerpoint Ltd.,Time,ICP Electronics Inc.,Time,Motorola Mobility LLC,Time,"Apple, Inc.",Time,Lexmark International Inc.,Time,Microsoft Corporation,Time,"Samsung Electronics Co.,Ltd",Time,"Murata Manufacturing Co.,Ltd.",Time,"Huawei Technologies Co., Ltd",Time,D-LINK INTERNATIONAL PTE LIMITED,Time,HTC Corporation,Time,Sony Mobile Communications AB
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,2,0,2,0,2,0,2,1,2,0,2,0,2,0,2,0,2,0,2,1,2,0,6,0,6,0,10,0,15,0,15,0,20,0,23,0,28,0,32,0,36,0,49,0,49,0,57,0,66,0,92,0,114,0,148,0,241,0,275,0,287,0,309,0,360,0,376,0,688,0,803,0,1018,0,1482,0,2504,0
6,20,6,1,6,1,6,1,6,3,6,1,6,1,6,1,6,1,6,1,6,2,6,1,10,1,10,1,15,1,20,1,20,1,23,1,28,1,32,1,36,1,40,1,53,1,53,1,62,1,71,1,97,1,118,1,152,1,245,1,279,1,292,1,313,1,364,1,380,2,692,1,807,1,1021,1,1486,1,2508,1
10,20,10,1,10,1,10,1,10,3,10,1,10,1,10,1,10,1,10,1,10,2,10,1,15,1,15,1,20,1,23,1,23,1,28,1,32,1,36,1,40,1,45,1,57,1,57,1,66,1,75,1,101,1,122,1,156,1,249,1,284,1,296,1,317,1,368,1,385,2,697,1,811,1,1026,1,1491,1,2513,1
15,20,15,1,15,1,15,1,15,3,15,1,15,1,15,2,15,1,15,2,15,2,15,1,20,1,20,1,23,1,28,1,28,1,32,1,36,1,40,1,45,1,49,1,62,1,62,1,71,1,79,1,105,1,127,1,161,1,253,1,287,1,300,1,322,1,373,1,389,2,701,1,816,1,1030,1,1494,1,2516,1
20,20,20,1,20,1,20,1,20,3,20,1,20,1,20,2,20,1,20,3,20,2,20,1,23,1,23,1,28,1,32,1,32,1,36,1,40,1,45,1,49,1,53,2,66,1,66,1,75,1,84,1,109,1,131,1,165,1,257,1,292,1,304,1,325,1,376,1,393,2,705,1,819,1,1034,1,1499,1,2521,1
23,20,23,1,23,1,23,1,23,4,23,1,23,1,23,2,23,1,23,3,23,2,23,1,28,1,28,1,32,1,36,1,36,1,40,1,45,1,49,1,53,2,57,2,71,1,71,1,79,1,88,1,114,1,135,1,168,1,262,1,296,1,309,1,330,1,380,1,398,2,709,1,823,1,1039,1,1504,1,2525,1
28,20,28,1,28,1,28,1,28,4,28,1,28,1,28,2,28,1,28,4,28,2,28,1,32,1,32,1,36,1,40,1,40,1,45,1,49,1,53,1,57,2,62,2,75,1,75,1,84,1,92,1,118,1,139,1,173,1,266,1,300,1,313,1,334,1,385,1,402,2,713,1,828,1,1043,1,1508,1,2529,1
32,20,32,1,32,1,32,0,32,4,32,1,32,1,32,2,32,1,32,4,32,2,32,1,36,0,36,1,40,1,45,0,45,1,49,0,53,0,57,0,62,2,66,2,79,0,79,1,88,0,97,1,122,0,144,0,177,0,270,0,304,1,317,0,338,0,389,0,406,1,718,0,832,0,1047,0,1512,0,2534,0
36,20,36,1,36,1,36,0,36,3,36,1,36,1,36,2,36,1,36,4,36,2,36,1,40,0,40,1,45,0,49,0,49,2,53,0,57,0,62,1,66,2,71,2,84,0,84,1,92,0,101,0,127,0,148,0,181,0,275,0,309,0,322,0,343,0,393,0,410,0,722,0,836,0,1051,0,1516,0,2537,0
