Time,Manual_Count,Time,Netgear Inc.,Time,UNKNOWN,Time,HTC Corporation,Time,NETGEAR,Time,Apple,Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,SEIKO EPSON CORPORATION,Time,Enerpoint Ltd.,Time,NETCOMM LIMITED,Time,Billion Electric Co. Ltd.,Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,"Apple, Inc",Time,Nokia Corporation,Time,Intel Corporate,Time,ASUSTek COMPUTER INC.,Time,Hewlett Packard,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,Sony Mobile Communications AB,Time,Liteon Tech Corp.,Time,Belkin International Inc.,Time,"Apple, Inc.",Time,"Murata Manufacturing Co.,Ltd.",Time,Hewlett-Packard Company,Time,WISOL,Time,IBM Corp,Time,"Azurewave Technologies., inc.",Time,"Samsung Electronics Co.,Ltd",Time,Lexmark International Inc.,Time,"Samsung Electro Mechanics co., LTD.",Time,"Murata Manufactuaring Co.,Ltd.",Time,"TP-LINK TECHNOLOGIES CO., LTD.",Time,DrayTek Corp.,Time,"Murata Manufacturing Co., Ltd.",Time,Ubiquiti Networks
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,1,0,1,1,1,0,1,0,1,0,1,0,5,0,5,0,5,0,5,0,5,0,5,1,23,0,28,0,32,0,45,0,49,0,58,0,71,0,88,0,88,0,114,0,144,0,169,0,238,0,289,0,322,0,352,0,373,0,445,0,462,0,496,0,571,0,575,0,601,0,681,0
5,30,5,1,5,2,5,1,5,1,5,1,5,1,10,1,10,1,10,1,10,1,10,1,10,2,28,1,32,1,36,1,49,1,54,1,62,1,76,1,92,1,92,1,119,1,149,1,174,1,242,1,293,1,327,1,356,1,377,1,449,1,466,1,499,1,575,1,580,1,605,1,685,1
10,31,10,1,10,2,10,1,10,1,10,1,10,1,14,1,14,1,14,1,14,1,14,1,14,2,32,1,36,1,41,1,54,1,58,1,67,1,81,1,98,1,98,1,123,1,153,1,178,1,246,2,297,1,331,1,360,1,382,1,453,1,470,1,503,1,580,1,584,1,609,1,689,1
14,31,14,1,14,3,14,1,14,1,14,2,14,1,19,1,19,1,19,1,19,1,19,1,19,2,36,2,41,1,45,1,58,1,62,1,71,1,84,1,101,1,101,1,127,1,158,1,183,1,250,2,301,1,335,3,365,1,386,1,457,1,474,1,508,1,584,1,588,1,613,1,694,1
19,31,19,1,19,3,19,1,19,1,19,3,19,1,23,1,23,1,23,1,23,1,23,1,23,2,41,2,45,1,49,1,62,1,67,1,76,1,88,1,106,1,106,1,132,1,161,1,187,1,255,2,306,1,340,3,369,1,390,1,462,1,478,1,512,1,588,1,592,1,617,1,698,1
23,31,23,1,23,3,23,1,23,1,23,3,23,1,28,1,28,1,28,1,28,1,28,1,28,2,45,2,49,1,54,1,67,1,71,1,81,1,92,1,110,1,110,1,136,1,166,1,191,1,259,2,310,1,343,3,373,1,394,1,466,1,483,1,517,1,592,1,596,1,622,1,702,1
28,31,28,1,28,3,28,1,28,1,28,4,28,1,32,1,32,1,32,1,32,1,32,1,32,2,49,2,54,1,58,1,71,1,76,1,84,1,98,1,114,1,114,1,140,1,169,1,196,1,263,2,314,1,348,3,377,1,398,1,470,1,487,1,520,1,596,1,601,1,626,1,706,1
32,31,32,1,32,3,32,1,32,1,32,5,32,1,36,1,36,1,36,1,36,1,36,1,36,2,54,2,58,1,62,1,76,1,81,1,88,1,101,1,119,1,119,1,144,1,174,1,200,1,268,2,318,1,352,3,382,1,402,1,474,1,491,1,525,1,601,1,605,1,630,1,710,1
36,31,36,1,36,3,36,1,36,2,36,5,36,1,41,1,41,1,41,1,41,1,41,1,41,2,58,3,62,1,67,1,81,1,84,1,92,1,106,1,123,1,123,1,149,1,178,1,205,1,272,2,322,1,356,3,386,1,407,1,478,1,496,1,529,1,605,1,609,1,635,1,715,1
