Time,0,0,4,9,13,17,22,26,30,34,39,43,47,52,55,60,64,68,73,77,81,85,89,94,98,102,106,110,115,119,123,127,131,136,140,144,148,153,157,161,165,169,174,178,182,198,202,206,210,215,219,223,227,232,236,240,244,248,254,257,261,266,270,274,279,283,287,292,296,300,304,308,313,317,322,326,330,334,338,343,347,351,355,360,364,368,372,377,381,385,389,393,397,402,406,410,415,419,423,427,432,436,440,444,448,452,457,461,465,469,474,478,482,486,491,495,499,503,507,512,516,520,525,529,533,537,542,546,550,554,559,563,567,571,575,580,584,588,592,596,601,605,609,613,617,622,626,630,635,638,643,647,652,656,660,664,668,673,677,681,685,689,694,698,701,706,711,715,719,723,727,731,736,740,744,748,752,757,761,766,769,773,778,782,786,790,796,800,804,808,813,817,821,826,830,834,838,842,846,851,855,859,864,868,872,876,881,885,889,893,897,902,906,910,915,918,923,927,931,935,933,938,942,946,950,955,959,963,967,971,975,980,984,988,993,997,1001,1005,1010,1013,1018,1022,1026,1030,1034,1039,1043,1047,1051,1056,1060,1064,1068,1072,1077,1081,1085,1089,1094,1098,1102,1106,1110,1114,1119,1123,1127,1132,1136,1140,1144,1149,1153,1157,1161,1166,1169,1173,1179,1182,1186,1190,1195,1199,1203,1208,1212,1216,1220,1224,1229,1233,1237,1241,1246,1250,1254,1258,1262,1267,1271,1275,1279,1285,1288,1292,1296,1301,1305,1309,1314,1318,1322,1326,1330,1335,1339,1343,1347,1351,1355,1359,1363,1368,1372,1376,1381,1385,1389,1394,1398,1402,1406,1411,1414,1418,1423,1427,1431,1436,1440,1444,1449,1452,1457,1460,1465,1469,1474,1478,1482,1486,1491,1494,1498,1503,1507,1511,1516,1520,1524,1529,1533,1536,1541,1545,1549,1554,1557,1562,1566,1570,1575,1578,1583,1587,1592,1595,1600,1604,1608,1612,1617,1621,1625,1630,1634,1638,1642,1647,1651,1656,1660,1663,1668,1672,1676,1680,1685,1689,1694,1698,1701,1706,1710,1715,1719,1723,1727,1732,1735,1740,1744,1749,1752,1757,1761,1765,1770,1774,1778,1782,1787,1790,1795,1799,1804,1807,1812,1816,1820,1824,1830,1833,1837,1841,1846,1850,1854,1858,1863,1866,1871,1875,1880,1883,1888,1892,1897,1901,1905,1909,1913,1917
Manual_Count,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Time,0,0,4,9,13,17,22,26,30,34,39,43,47,52,55,60,64,68,73,77,81,85,89,94,98,102,106,110,115,119,123,127,131,136,140,144,148,153,157,161,165,169,174,178,182,198,202,206,210,215,219,223,227,232,236,240,244,248,254,257,261,266,270,274,279,283,287,292,296,300,304,308,313,317,322,326,330,334,338,343,347,351,355,360,364,368,372,377,381,385,389,393,397,402,406,410,415,419,423,427,432,436,440,444,448,452,457,461,465,469,474,478,482,486,491,495,499,503,507,512,516,520,525,529,533,537,542,546,550,554,559,563,567,571,575,580,584,588,592,596,601,605,609,613,617,622,626,630,635,638,643,647,652,656,660,664,668,673,677,681,685,689,694,698,701,706,711,715,719,723,727,731,736,740,744,748,752,757,761,766,769,773,778,782,786,790,796,800,804,808,813,817,821,826,830,834,838,842,846,851,855,859,864,868,872,876,881,885,889,893,897,902,906,910,915,918,923,927,931,935,933,938,942,946,950,955,959,963,967,971,975,980,984,988,993,997,1001,1005,1010,1013,1018,1022,1026,1030,1034,1039,1043,1047,1051,1056,1060,1064,1068,1072,1077,1081,1085,1089,1094,1098,1102,1106,1110,1114,1119,1123,1127,1132,1136,1140,1144,1149,1153,1157,1161,1166,1169,1173,1179,1182,1186,1190,1195,1199,1203,1208,1212,1216,1220,1224,1229,1233,1237,1241,1246,1250,1254,1258,1262,1267,1271,1275,1279,1285,1288,1292,1296,1301,1305,1309,1314,1318,1322,1326,1330,1335,1339,1343,1347,1351,1355,1359,1363,1368,1372,1376,1381,1385,1389,1394,1398,1402,1406,1411,1414,1418,1423,1427,1431,1436,1440,1444,1449,1452,1457,1460,1465,1469,1474,1478,1482,1486,1491,1494,1498,1503,1507,1511,1516,1520,1524,1529,1533,1536,1541,1545,1549,1554,1557,1562,1566,1570,1575,1578,1583,1587,1592,1595,1600,1604,1608,1612,1617,1621,1625,1630,1634,1638,1642,1647,1651,1656,1660,1663,1668,1672,1676,1680,1685,1689,1694,1698,1701,1706,1710,1715,1719,1723,1727,1732,1735,1740,1744,1749,1752,1757,1761,1765,1770,1774,1778,1782,1787,1790,1795,1799,1804,1807,1812,1816,1820,1824,1830,1833,1837,1841,1846,1850,1854,1858,1863,1866,1871,1875,1880,1883,1888,1892,1897,1901,1905,1909,1913,1917
Netgear Inc.,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Time,0,0,4,9,13,17,22,26,30,34,39,43,47,52,55,60,64,68,73,77,81,85,89,94,98,102,106,110,115,119,123,127,131,136,140,144,148,153,157,161,165,169,174,178,182,198,202,206,210,215,219,223,227,232,236,240,244,248,254,257,261,266,270,274,279,283,287,292,296,300,304,308,313,317,322,326,330,334,338,343,347,351,355,360,364,368,372,377,381,385,389,393,397,402,406,410,415,419,423,427,432,436,440,444,448,452,457,461,465,469,474,478,482,486,491,495,499,503,507,512,516,520,525,529,533,537,542,546,550,554,559,563,567,571,575,580,584,588,592,596,601,605,609,613,617,622,626,630,635,638,643,647,652,656,660,664,668,673,677,681,685,689,694,698,701,706,711,715,719,723,727,731,736,740,744,748,752,757,761,766,769,773,778,782,786,790,796,800,804,808,813,817,821,826,830,834,838,842,846,851,855,859,864,868,872,876,881,885,889,893,897,902,906,910,915,918,923,927,931,935,933,938,942,946,950,955,959,963,967,971,975,980,984,988,993,997,1001,1005,1010,1013,1018,1022,1026,1030,1034,1039,1043,1047,1051,1056,1060,1064,1068,1072,1077,1081,1085,1089,1094,1098,1102,1106,1110,1114,1119,1123,1127,1132,1136,1140,1144,1149,1153,1157,1161,1166,1169,1173,1179,1182,1186,1190,1195,1199,1203,1208,1212,1216,1220,1224,1229,1233,1237,1241,1246,1250,1254,1258,1262,1267,1271,1275,1279,1285,1288,1292,1296,1301,1305,1309,1314,1318,1322,1326,1330,1335,1339,1343,1347,1351,1355,1359,1363,1368,1372,1376,1381,1385,1389,1394,1398,1402,1406,1411,1414,1418,1423,1427,1431,1436,1440,1444,1449,1452,1457,1460,1465,1469,1474,1478,1482,1486,1491,1494,1498,1503,1507,1511,1516,1520,1524,1529,1533,1536,1541,1545,1549,1554,1557,1562,1566,1570,1575,1578,1583,1587,1592,1595,1600,1604,1608,1612,1617,1621,1625,1630,1634,1638,1642,1647,1651,1656,1660,1663,1668,1672,1676,1680,1685,1689,1694,1698,1701,1706,1710,1715,1719,1723,1727,1732,1735,1740,1744,1749,1752,1757,1761,1765,1770,1774,1778,1782,1787,1790,1795,1799,1804,1807,1812,1816,1820,1824,1830,1833,1837,1841,1846,1850,1854,1858,1863,1866,1871,1875,1880,1883,1888,1892,1897,1901,1905,1909,1913,1917
NETCOMM LIMITED,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Time,0,0,4,9,13,17,22,26,30,34,39,43,47,52,55,60,64,68,73,77,81,85,89,94,98,102,106,110,115,119,123,127,131,136,140,144,148,153,157,161,165,169,174,178,182,198,202,206,210,215,219,223,227,232,236,240,244,248,254,257,261,266,270,274,279,283,287,292,296,300,304,308,313,317,322,326,330,334,338,343,347,351,355,360,364,368,372,377,381,385,389,393,397,402,406,410,415,419,423,427,432,436,440,444,448,452,457,461,465,469,474,478,482,486,491,495,499,503,507,512,516,520,525,529,533,537,542,546,550,554,559,563,567,571,575,580,584,588,592,596,601,605,609,613,617,622,626,630,635,638,643,647,652,656,660,664,668,673,677,681,685,689,694,698,701,706,711,715,719,723,727,731,736,740,744,748,752,757,761,766,769,773,778,782,786,790,796,800,804,808,813,817,821,826,830,834,838,842,846,851,855,859,864,868,872,876,881,885,889,893,897,902,906,910,915,918,923,927,931,935,933,938,942,946,950,955,959,963,967,971,975,980,984,988,993,997,1001,1005,1010,1013,1018,1022,1026,1030,1034,1039,1043,1047,1051,1056,1060,1064,1068,1072,1077,1081,1085,1089,1094,1098,1102,1106,1110,1114,1119,1123,1127,1132,1136,1140,1144,1149,1153,1157,1161,1166,1169,1173,1179,1182,1186,1190,1195,1199,1203,1208,1212,1216,1220,1224,1229,1233,1237,1241,1246,1250,1254,1258,1262,1267,1271,1275,1279,1285,1288,1292,1296,1301,1305,1309,1314,1318,1322,1326,1330,1335,1339,1343,1347,1351,1355,1359,1363,1368,1372,1376,1381,1385,1389,1394,1398,1402,1406,1411,1414,1418,1423,1427,1431,1436,1440,1444,1449,1452,1457,1460,1465,1469,1474,1478,1482,1486,1491,1494,1498,1503,1507,1511,1516,1520,1524,1529,1533,1536,1541,1545,1549,1554,1557,1562,1566,1570,1575,1578,1583,1587,1592,1595,1600,1604,1608,1612,1617,1621,1625,1630,1634,1638,1642,1647,1651,1656,1660,1663,1668,1672,1676,1680,1685,1689,1694,1698,1701,1706,1710,1715,1719,1723,1727,1732,1735,1740,1744,1749,1752,1757,1761,1765,1770,1774,1778,1782,1787,1790,1795,1799,1804,1807,1812,1816,1820,1824,1830,1833,1837,1841,1846,1850,1854,1858,1863,1866,1871,1875,1880,1883,1888,1892,1897,1901,1905,1909,1913,1917
UNKNOWN,0,0,1,1,4,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,11,11,11,11,11,12,12,12,12,12,12,12,12,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,12,11,11,11,11,11,12,12,12,12,12,12,12,11,11,11,11,9,9,9,9,9,8,8,8,8,8,8,8,8,9,10,10,12,12,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,9,10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Time,0,0,4,9,13,17,22,26,30,34,39,43,47,52,55,60,64,68,73,77,81,85,89,94,98,102,106,110,115,119,123,127,131,136,140,144,148,153,157,161,165,169,174,178,182,198,202,206,210,215,219,223,227,232,236,240,244,248,254,257,261,266,270,274,279,283,287,292,296,300,304,308,313,317,322,326,330,334,338,343,347,351,355,360,364,368,372,377,381,385,389,393,397,402,406,410,415,419,423,427,432,436,440,444,448,452,457,461,465,469,474,478,482,486,491,495,499,503,507,512,516,520,525,529,533,537,542,546,550,554,559,563,567,571,575,580,584,588,592,596,601,605,609,613,617,622,626,630,635,638,643,647,652,656,660,664,668,673,677,681,685,689,694,698,701,706,711,715,719,723,727,731,736,740,744,748,752,757,761,766,769,773,778,782,786,790,796,800,804,808,813,817,821,826,830,834,838,842,846,851,855,859,864,868,872,876,881,885,889,893,897,902,906,910,915,918,923,927,931,935,933,938,942,946,950,955,959,963,967,971,975,980,984,988,993,997,1001,1005,1010,1013,1018,1022,1026,1030,1034,1039,1043,1047,1051,1056,1060,1064,1068,1072,1077,1081,1085,1089,1094,1098,1102,1106,1110,1114,1119,1123,1127,1132,1136,1140,1144,1149,1153,1157,1161,1166,1169,1173,1179,1182,1186,1190,1195,1199,1203,1208,1212,1216,1220,1224,1229,1233,1237,1241,1246,1250,1254,1258,1262,1267,1271,1275,1279,1285,1288,1292,1296,1301,1305,1309,1314,1318,1322,1326,1330,1335,1339,1343,1347,1351,1355,1359,1363,1368,1372,1376,1381,1385,1389,1394,1398,1402,1406,1411,1414,1418,1423,1427,1431,1436,1440,1444,1449,1452,1457,1460,1465,1469,1474,1478,1482,1486,1491,1494,1498,1503,1507,1511,1516,1520,1524,1529,1533,1536,1541,1545,1549,1554,1557,1562,1566,1570,1575,1578,1583,1587,1592,1595,1600,1604,1608,1612,1617,1621,1625,1630,1634,1638,1642,1647,1651,1656,1660,1663,1668,1672,1676,1680,1685,1689,1694,1698,1701,1706,1710,1715,1719,1723,1727,1732,1735,1740,1744,1749,1752,1757,1761,1765,1770,1774,1778,1782,1787,1790,1795,1799,1804,1807,1812,1816,1820,1824,1830,1833,1837,1841,1846,1850,1854,1858,1863,1866,1871,1875,1880,1883,1888,1892,1897,1901,1905,1909,1913,1917
Apple,0,2,3,3,3,5,7,8,9,9,9,9,9,9,10,10,10,10,10,11,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,15,15,15,15,15,14,13,13,13,14,13,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,14,14,12,12,12,12,13,13,13,13,14,15,16,16,17,17,17,16,16,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,19,19,19,19,18,18,18,19,19,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,16,17,17,17,17,18,18,18,18,18,18,17,17,17,17,17,16,16,16,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14,14,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,15,15,15,14,14,14,14,14,15,15,15,16,16,16,16,16,16,16,16,16,16,15,15,15,16,16,16,16,16,16,16,15,15,15,15,15,15,14,15,15,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11,12,12,13,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11,11,11,13,13,13,12,12,12,12,12,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,12,12,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,10,10,10,10,10
