Time,Manual_Count,Time,Netgear Inc.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Apple,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Enerpoint Ltd.,Time,ASUSTek COMPUTER INC.,Time,"Samsung Electro Mechanics co., LTD.",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,Routerboard.com,Time,Hewlett Packard,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,"Apple, Inc",Time,Ubiquiti Networks,Time,"Azurewave Technologies., inc.",Time,SEIKO EPSON CORPORATION,Time,"Samsung Electronics Co.,Ltd",Time,HTC Corporation,Time,"Apple, Inc.",Time,Apple Inc,Time,IBM Corp,Time,Netgear Inc,Time,DrayTek Corp.,Time,Liteon Tech Corp.,Time,"Murata Manufacturing Co., Ltd.",Time,Hewlett-Packard Company,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Elitegroup Computer System Co.,Time,Lexmark International Inc.,Time,Nokia Corporation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,17,0,22,0,30,0,39,0,43,0,60,0,73,0,77,0,119,0,202,0,236,0,300,0,368,0,389,0,440,0,452,0,474,0,520,0,796,0,1123,0,1241,0,1557,0,1905,0
4,30,4,1,4,1,4,1,4,3,4,1,4,1,4,2,4,1,4,1,4,2,4,1,9,1,17,1,22,1,26,1,34,1,43,1,47,1,64,1,77,1,81,1,123,1,206,1,240,1,304,1,372,1,393,1,444,1,457,1,478,1,525,1,800,1,1127,1,1246,1,1562,1,1909,1
9,30,9,1,9,1,9,1,9,3,9,1,9,2,9,2,9,1,9,1,9,2,9,1,13,1,22,1,26,1,30,1,39,1,47,1,52,1,68,1,81,1,85,1,127,1,210,1,244,1,308,1,377,1,397,1,448,1,461,1,482,1,529,1,804,1,1132,1,1250,1,1566,1,1913,1
13,30,13,1,13,1,13,4,13,3,13,1,13,2,13,2,13,1,13,1,13,2,13,2,17,1,26,1,30,1,34,1,43,1,52,1,55,1,73,1,85,1,89,1,131,1,215,1,248,1,313,1,381,1,402,1,452,1,465,1,486,1,533,1,808,1,1136,1,1254,1,1570,1,1917,1
17,30,17,1,17,1,17,5,17,5,17,1,17,2,17,2,17,1,17,1,17,2,17,2,22,1,30,1,34,1,39,1,47,1,55,1,60,1,77,1,89,1,94,1,136,1,219,1,254,1,317,1,385,1,406,1,457,1,469,1,491,1,537,1,813,1,1140,1,1258,1,1575,1,,
22,30,22,1,22,1,22,6,22,7,22,1,22,2,22,2,22,1,22,1,22,2,22,2,26,1,34,1,39,1,43,1,52,1,60,1,64,1,81,1,94,1,98,1,140,1,223,1,257,1,322,1,389,1,410,1,461,1,474,1,495,1,542,1,817,1,1144,1,1262,1,1578,1,,
26,30,26,1,26,1,26,6,26,8,26,1,26,2,26,2,26,1,26,1,26,2,26,2,30,1,39,1,43,1,47,1,55,1,64,1,68,1,85,1,98,1,102,1,144,1,227,1,261,1,326,1,393,1,415,1,465,1,478,1,499,1,546,1,821,1,1149,1,1267,1,1583,1,,
30,30,30,1,30,1,30,6,30,9,30,1,30,2,30,2,30,1,30,1,30,2,30,2,34,1,43,1,47,1,52,1,60,1,68,1,73,1,89,1,102,1,106,1,148,1,232,1,266,1,330,1,397,1,419,1,469,1,482,1,503,1,550,1,826,1,1153,1,1271,1,1587,1,,
34,30,34,1,34,1,34,6,34,9,34,1,34,2,34,3,34,1,34,1,34,2,34,2,39,1,47,1,52,1,55,1,64,1,73,1,77,1,94,1,106,1,110,1,153,1,236,1,270,1,334,1,402,1,423,1,474,1,486,1,507,1,554,1,830,1,1157,1,1275,1,1592,1,,
