Time,Manual_Count,Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,DrayTek Corp.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Lexmark International Inc.,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Enerpoint Ltd.,Time,"Samsung Electro Mechanics co.,LTD.",Time,IBM Corp,Time,"Apple, Inc",Time,Apple,Time,Intel Corporate,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,Motorola Mobility LLC,Time,Hewlett-Packard Company,Time,SEIKO EPSON CORPORATION,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,"Samsung Elec Co.,Ltd",Time,"Apple, Inc.",Time,HTC Corporation,Time,Nokia Corporation,Time,"Samsung Electronics Co.,Ltd",Time,PEGATRON CORPORATION,Time,Hewlett Packard,Time,Liteon Tech Corp.,Time,"TP-LINK TECHNOLOGIES CO., LTD.",Time,Routerboard.com,Time,Elitegroup Computer System Co.,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,"Samsung Electro Mechanics co., LTD.",Time,"Murata Manufacturing Co., Ltd.",Time,Seoul Commtech,Time,Netgear Inc,Time,TCT mobile limited,Time,Ubiquiti Networks
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,3,0,3,0,3,0,3,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,1,7,0,7,0,12,0,12,0,12,0,20,0,24,0,36,0,45,0,45,0,58,0,67,0,75,0,117,0,138,0,172,0,172,0,176,0,239,0,374,0,383,0,412,0,471,0,589,0,852,0,877,0,1049,0,1185,0,1523,0
7,5,7,1,7,1,7,1,7,1,7,3,7,1,7,1,7,2,7,1,7,1,7,1,7,2,12,1,12,1,16,1,16,1,16,1,24,1,28,1,41,1,49,1,49,1,62,1,71,1,79,1,121,2,142,1,176,1,176,1,180,1,244,1,378,1,387,1,416,1,476,1,593,1,856,1,881,1,1054,1,1190,1,1528,1
12,5,12,1,12,1,12,1,12,1,12,3,12,1,12,2,12,2,12,1,12,1,12,2,12,2,16,1,16,1,20,1,20,1,20,1,28,1,33,1,45,1,53,1,53,1,67,1,75,1,83,1,126,2,147,1,180,1,180,1,185,1,248,1,383,1,391,1,421,1,479,1,598,1,860,1,886,1,1058,1,1193,1,1532,1
16,5,16,1,16,1,16,1,16,1,16,3,16,1,16,2,16,2,16,1,16,1,16,2,16,2,20,1,20,1,24,1,24,1,24,2,33,1,36,1,49,1,58,1,58,1,71,1,79,1,87,1,130,2,151,1,185,1,185,1,189,1,252,1,387,1,396,1,425,1,484,1,602,1,864,1,889,1,1062,1,1198,1,1537,1
20,5,20,1,20,1,20,1,20,1,20,3,20,1,20,2,20,2,20,1,20,1,20,2,20,2,24,1,24,1,28,2,28,1,28,2,36,1,41,1,53,1,62,1,62,1,75,1,83,1,91,1,134,2,155,1,189,1,189,1,192,1,256,1,391,1,399,1,429,1,489,1,606,1,868,1,893,1,1066,1,1203,1,1541,1
24,5,24,1,24,1,24,1,24,1,24,5,24,1,24,2,24,3,24,1,24,1,24,2,24,2,28,1,28,1,33,2,33,1,33,2,41,1,45,1,58,1,67,1,67,1,79,1,87,1,95,1,138,2,159,1,192,1,192,1,197,1,261,1,396,1,404,1,433,1,492,1,611,1,872,1,897,1,1071,1,1206,1,1544,1
28,5,28,1,28,1,28,1,28,1,28,5,28,1,28,2,28,3,28,1,28,1,28,2,28,2,33,1,33,1,36,2,36,1,36,2,45,1,49,1,62,1,71,1,71,1,83,1,91,1,100,2,142,2,163,1,197,1,197,1,201,1,264,1,399,1,408,1,437,1,497,1,615,1,877,1,902,1,1075,1,1211,1,1549,1
33,5,33,1,33,1,33,1,33,1,33,5,33,1,33,2,33,3,33,1,33,1,33,2,33,2,36,1,36,1,41,2,41,1,41,2,49,1,53,1,67,1,75,1,75,1,87,1,95,1,104,2,147,2,167,1,201,1,201,1,206,1,269,1,404,1,412,1,442,1,501,1,619,1,881,1,906,1,1079,1,1215,1,1553,1
36,5,36,1,36,1,36,1,36,1,36,6,36,1,36,2,36,3,36,1,36,1,36,2,36,2,41,1,41,1,45,2,45,2,45,2,53,1,58,1,71,1,79,1,79,1,91,1,100,1,108,2,151,2,172,1,206,1,206,1,210,1,273,1,408,1,416,1,446,1,505,1,623,1,886,1,910,1,1084,1,1219,1,1558,1
41,5,41,1,41,1,41,1,41,1,41,6,41,1,41,2,41,4,41,1,41,1,41,2,41,2,45,1,45,1,49,2,49,2,49,2,58,1,62,1,75,1,83,1,83,1,95,1,104,1,113,2,155,2,176,1,210,1,210,1,214,1,277,1,412,1,421,1,450,1,510,1,628,1,889,1,915,1,1088,1,1223,1,1561,1
45,5,45,1,45,1,45,1,45,1,45,6,45,1,45,2,45,4,45,1,45,1,45,2,45,2,49,1,49,1,53,2,53,2,53,3,62,1,67,1,79,1,87,1,87,1,100,1,108,1,117,2,159,2,180,1,214,1,214,1,218,1,281,1,416,1,425,1,455,1,513,1,632,1,893,1,919,1,1092,1,1228,1,1565,1
49,5,49,1,49,1,49,1,49,1,49,6,49,1,49,2,49,4,49,1,49,1,49,2,49,2,53,1,53,1,58,2,58,2,58,3,67,1,71,1,83,1,91,1,91,1,104,1,113,1,121,2,163,2,185,1,218,1,218,1,222,1,286,1,421,1,429,1,458,1,518,1,636,1,897,1,923,1,1096,1,1232,1,1570,1
53,5,53,1,53,1,53,1,53,1,53,6,53,1,53,2,53,4,53,1,53,1,53,2,53,2,58,1,58,1,62,2,62,2,62,3,71,1,75,1,87,1,95,1,95,1,108,1,117,1,126,2,167,2,189,1,222,1,222,1,227,1,290,1,425,1,433,1,463,1,522,1,641,1,902,1,927,1,1100,1,1236,1,1574,1
58,5,58,1,58,1,58,1,58,1,58,6,58,1,58,2,58,5,58,1,58,1,58,2,58,2,62,1,62,1,67,2,67,2,67,4,75,1,79,1,91,1,100,1,100,1,113,1,121,1,130,2,172,2,192,1,227,1,227,1,231,1,294,1,429,1,437,1,467,1,527,1,645,1,906,1,932,1,1105,1,1241,1,1578,1
62,7,62,1,62,1,62,1,62,1,62,6,62,1,62,2,62,5,62,1,62,1,62,2,62,2,67,1,67,1,71,2,71,2,71,5,79,1,83,1,95,1,104,1,104,1,117,1,126,1,134,2,176,2,197,1,231,1,231,1,235,1,299,1,433,1,442,1,471,1,530,1,649,1,910,1,936,1,1110,1,1244,1,1582,1
67,6,67,1,67,1,67,1,67,1,67,7,67,1,67,2,67,5,67,1,67,1,67,2,67,2,71,1,71,1,75,2,75,2,75,5,83,1,87,1,100,1,108,1,108,1,121,1,130,1,138,2,180,2,201,1,235,1,235,1,239,1,302,1,437,1,446,1,476,1,535,1,653,1,915,1,940,1,1114,1,1249,1,1586,1
71,6,71,1,71,1,71,1,71,1,71,7,71,1,71,2,71,5,71,1,71,1,71,2,71,2,75,1,75,1,79,2,79,2,79,5,87,1,91,1,104,1,113,1,113,1,126,1,134,1,142,2,185,2,206,1,239,1,239,1,244,1,307,1,442,1,450,1,479,1,539,1,657,1,919,1,945,1,1118,1,1253,1,1591,1
75,6,75,1,75,1,75,1,75,1,75,7,75,1,75,2,75,5,75,1,75,1,75,2,75,2,79,1,79,1,83,2,83,2,83,6,91,1,95,1,108,1,117,1,117,1,130,1,138,1,147,2,189,2,210,1,244,1,244,1,248,1,311,1,446,1,455,1,484,1,543,1,661,1,923,1,948,1,1122,1,1257,1,1595,1
79,6,79,1,79,1,79,1,79,1,79,7,79,1,79,2,79,5,79,1,79,1,79,2,79,2,83,1,83,1,87,2,87,2,87,6,95,1,100,1,113,1,121,1,121,1,134,1,142,1,151,2,192,2,214,1,248,1,248,1,252,1,315,1,450,1,458,1,489,1,547,1,666,1,927,1,952,1,1126,1,1261,1,1600,1
83,6,83,1,83,1,83,1,83,1,83,7,83,1,83,2,83,5,83,1,83,1,83,2,83,2,87,1,87,1,91,2,91,2,91,6,100,1,104,1,117,1,126,1,126,1,138,1,147,1,155,2,197,2,218,1,252,1,252,1,256,1,320,1,455,1,463,1,492,1,552,1,670,1,932,1,957,1,1131,1,1266,1,1604,1
87,6,87,1,87,1,87,1,87,1,87,7,87,1,87,2,87,5,87,1,87,1,87,2,87,2,91,1,91,1,95,2,95,2,95,6,104,1,108,1,121,1,130,1,130,1,142,1,151,1,159,2,201,2,222,1,256,1,256,1,261,1,323,1,458,1,467,1,497,1,556,1,674,1,936,1,961,1,1134,1,1269,1,1608,1
91,6,91,1,91,1,91,1,91,1,91,7,91,1,91,2,91,5,91,1,91,1,91,2,91,2,95,1,95,1,100,2,100,2,100,6,108,1,113,1,126,1,134,1,134,1,147,1,155,1,163,2,206,2,227,1,261,1,261,1,264,1,328,1,463,1,471,1,501,1,560,1,678,1,940,1,965,1,1139,1,1274,1,1612,1
95,6,95,1,95,1,95,1,95,1,95,7,95,1,95,2,95,5,95,1,95,1,95,2,95,2,100,1,100,1,104,2,104,2,104,6,113,1,117,1,130,1,138,1,138,1,151,1,159,1,167,2,210,2,231,1,264,1,264,1,269,1,332,1,467,1,476,1,505,1,564,1,683,1,945,1,969,1,1143,1,1278,1,1616,1
100,6,100,1,100,1,100,1,100,1,100,7,100,1,100,2,100,5,100,1,100,1,100,2,100,2,104,1,104,1,108,2,108,2,108,6,117,1,121,1,134,1,142,1,142,1,155,1,163,1,172,2,214,2,235,1,269,1,269,1,273,1,336,1,471,1,479,1,510,1,568,1,687,1,948,1,973,1,1147,1,1283,1,1620,1
104,6,104,1,104,1,104,1,104,1,104,7,104,1,104,2,104,5,104,1,104,1,104,2,104,2,108,1,108,1,113,2,113,2,113,6,121,1,126,1,138,1,147,1,147,1,159,1,167,1,176,2,218,2,239,1,273,1,273,1,277,1,340,1,476,1,484,1,513,1,573,1,691,1,952,1,978,1,1152,1,1286,1,1625,1
108,6,108,1,108,1,108,1,108,1,108,7,108,1,108,2,108,5,108,1,108,1,108,2,108,2,113,1,113,1,117,2,117,2,117,6,126,1,130,1,142,1,151,1,151,1,163,1,172,1,180,2,222,2,244,1,277,1,277,1,281,1,345,1,479,1,489,1,518,1,577,1,695,1,957,1,982,1,1156,1,1291,1,1629,1
113,6,113,1,113,1,113,1,113,1,113,7,113,1,113,2,113,5,113,1,113,1,113,2,113,2,117,1,117,1,121,2,121,2,121,7,130,1,134,1,147,1,155,1,155,1,167,1,176,1,185,2,227,2,248,1,281,1,281,1,286,1,349,1,484,1,492,1,522,1,581,1,699,1,961,1,986,1,1160,1,1294,1,1634,1
117,6,117,1,117,1,117,1,117,1,117,7,117,1,117,2,117,5,117,1,117,1,117,2,117,2,121,1,121,1,126,2,126,2,126,7,134,1,138,1,151,1,159,2,159,1,172,1,180,1,189,2,231,2,252,1,286,1,286,1,290,1,353,1,489,1,497,1,527,1,585,1,703,1,965,1,990,1,1164,1,1299,1,1638,1
121,6,121,1,121,1,121,1,121,1,121,7,121,1,121,2,121,5,121,1,121,1,121,2,121,2,126,1,126,1,130,2,130,2,130,7,138,1,142,1,155,1,163,2,163,1,176,1,185,1,192,2,235,2,256,1,290,1,290,1,294,1,357,1,492,1,501,1,530,1,589,1,707,1,969,1,995,1,1168,1,1303,1,1642,1
126,7,126,1,126,1,126,1,126,1,126,7,126,1,126,2,126,5,126,1,126,1,126,2,126,2,130,1,130,1,134,2,134,2,134,7,142,1,147,1,159,1,167,2,167,1,180,1,189,1,197,2,239,2,261,1,294,1,294,1,299,1,362,1,497,1,505,1,535,1,593,1,712,1,973,1,999,1,1172,1,1307,1,1645,1
130,7,130,1,130,1,130,1,130,1,130,8,130,1,130,2,130,5,130,1,130,1,130,2,130,2,134,1,134,1,138,2,138,2,138,7,147,1,151,1,163,1,172,2,172,1,185,1,192,1,201,2,244,2,264,1,299,1,299,1,302,1,366,1,501,1,510,1,539,1,598,1,716,1,978,1,1003,1,1177,1,1312,1,1650,1
134,7,134,1,134,1,134,1,134,1,134,8,134,1,134,2,134,5,134,1,134,1,134,2,134,2,138,1,138,1,142,2,142,2,142,7,151,1,155,1,167,1,176,2,176,1,189,1,197,1,206,2,248,2,269,1,302,1,302,1,307,1,370,1,505,1,513,1,543,1,602,1,720,1,982,1,1008,1,1181,1,1316,1,1654,1
138,7,138,1,138,1,138,1,138,1,138,8,138,1,138,2,138,5,138,1,138,1,138,2,138,2,142,1,142,1,147,2,147,2,147,7,155,1,159,1,172,1,180,2,180,1,192,1,201,1,210,2,252,2,273,1,307,1,307,1,311,1,374,1,510,1,518,1,547,1,606,1,725,1,986,1,1012,1,1185,1,1320,1,1659,1
142,7,142,1,142,1,142,1,142,1,142,8,142,1,142,2,142,5,142,1,142,1,142,2,142,2,147,1,147,1,151,2,151,2,151,7,159,1,163,1,176,1,185,2,185,1,197,1,206,1,214,2,256,2,277,1,311,1,311,1,315,1,378,1,513,1,522,1,552,1,611,1,729,1,990,1,1016,1,1190,1,1324,1,1663,1
147,7,147,1,147,1,147,1,147,1,147,8,147,1,147,2,147,5,147,1,147,1,147,2,147,2,151,1,151,1,155,2,155,2,155,7,163,1,167,1,180,1,189,2,189,1,201,1,210,1,218,2,261,2,281,1,315,1,315,1,320,1,383,1,518,1,527,1,556,1,615,1,733,1,995,1,1020,1,1193,1,1329,1,1667,1
151,7,151,1,151,1,151,1,151,1,151,8,151,1,151,2,151,5,151,1,151,1,151,2,151,2,155,1,155,1,159,2,159,2,159,7,167,1,172,1,185,1,192,2,192,1,206,1,214,1,222,2,264,2,286,1,320,1,320,1,323,1,387,1,522,1,530,1,560,1,619,1,738,1,999,1,1024,1,1198,1,1333,1,1672,1
155,7,155,1,155,1,155,1,155,1,155,8,155,1,155,2,155,5,155,1,155,1,155,2,155,2,159,1,159,1,163,2,163,2,163,7,172,1,176,1,189,1,197,2,197,1,210,1,218,1,227,2,269,2,290,1,323,1,323,1,328,1,391,1,527,1,535,1,564,1,623,1,742,1,1003,1,1028,1,1203,1,1337,1,1675,1
159,7,159,1,159,2,159,1,159,1,159,8,159,1,159,2,159,5,159,1,159,1,159,2,159,2,163,1,163,1,167,2,167,2,167,7,176,1,180,1,192,1,201,2,201,1,214,1,222,1,231,2,273,2,294,1,328,1,328,1,332,1,396,1,530,1,539,1,568,1,628,1,746,1,1008,1,1033,1,1206,1,1341,1,1680,1
163,7,163,1,163,2,163,1,163,1,163,8,163,1,163,2,163,5,163,1,163,1,163,2,163,2,167,1,167,1,172,2,172,2,172,7,180,1,185,1,197,1,206,2,206,1,218,1,227,1,235,2,277,2,299,1,332,1,332,1,336,1,399,1,535,1,543,1,573,1,632,1,750,1,1012,1,1037,1,1211,1,1345,1,1684,1
167,7,167,1,167,2,167,1,167,1,167,8,167,1,167,2,167,5,167,1,167,1,167,2,167,2,172,1,172,1,176,2,176,2,176,7,185,1,189,1,201,1,210,2,210,1,222,1,231,1,239,2,281,2,302,1,336,1,336,1,340,1,404,1,539,1,547,1,577,1,636,1,754,1,1016,1,1041,1,1215,1,1350,1,1688,1
172,7,172,1,172,2,172,1,172,1,172,8,172,1,172,2,172,5,172,1,172,1,172,2,172,2,176,1,176,1,180,2,180,2,180,7,189,1,192,1,206,1,214,2,214,1,227,1,235,1,244,2,286,2,307,1,340,1,340,1,345,1,408,1,543,1,552,1,581,1,641,1,758,1,1020,1,1045,1,1219,1,1355,1,1692,1
176,7,176,1,176,2,176,1,176,1,176,8,176,1,176,2,176,5,176,1,176,1,176,2,176,2,180,1,180,1,185,2,185,2,185,8,192,1,197,1,210,1,218,2,218,1,231,1,239,1,248,2,290,2,311,1,345,1,345,1,349,1,412,1,547,1,556,1,585,1,645,1,762,1,1024,1,1049,1,1223,1,1358,1,1697,1
180,7,180,1,180,2,180,1,180,1,180,8,180,1,180,2,180,5,180,1,180,1,180,2,180,2,185,1,185,1,189,2,189,2,189,8,197,1,201,1,214,1,222,2,222,1,235,1,244,1,252,2,294,2,315,1,349,1,349,1,353,1,416,1,552,1,560,1,589,1,649,1,767,1,1028,1,1054,1,1228,1,1363,1,1701,1
185,7,185,1,185,2,185,1,185,1,185,8,185,1,185,2,185,5,185,1,185,1,185,2,185,2,189,1,189,1,192,2,192,2,192,8,201,1,206,1,218,1,227,2,227,1,239,1,248,1,256,2,299,2,320,1,353,1,353,1,357,1,421,1,556,1,564,1,593,1,653,1,771,1,1033,1,1058,1,1232,1,1367,1,1705,1
189,7,189,1,189,2,189,1,189,1,189,8,189,1,189,2,189,5,189,1,189,1,189,2,189,2,192,1,192,1,197,2,197,2,197,8,206,1,210,1,222,1,231,2,231,1,244,1,252,1,261,2,302,2,323,1,357,1,357,1,362,1,425,1,560,1,568,1,598,1,657,1,775,1,1037,1,1062,1,1236,1,1371,1,1709,1
192,7,192,1,192,2,192,1,192,1,192,8,192,1,192,2,192,5,192,1,192,1,192,2,192,2,197,1,197,1,201,2,201,2,201,8,210,1,214,1,227,1,235,2,235,1,248,1,256,1,264,2,307,2,328,1,362,1,362,1,366,1,429,1,564,1,573,1,602,1,661,1,779,1,1041,1,1066,1,1241,1,1376,1,1713,1
197,7,197,1,197,2,197,1,197,1,197,8,197,1,197,2,197,5,197,1,197,1,197,2,197,2,201,1,201,1,206,2,206,2,206,8,214,1,218,1,231,1,239,2,239,1,252,1,261,1,269,2,311,2,332,1,366,1,366,1,370,1,433,1,568,1,577,1,606,1,666,1,783,1,1045,1,1071,1,1244,1,1379,1,1718,1
201,7,201,1,201,2,201,1,201,1,201,8,201,1,201,2,201,5,201,1,201,1,201,2,201,2,206,1,206,1,210,2,210,2,210,8,218,1,222,1,235,1,244,2,244,1,256,1,264,1,273,2,315,2,336,1,370,1,370,1,374,1,437,1,573,1,581,1,611,1,670,1,788,1,1049,1,1075,1,1249,1,1384,1,1722,1
206,7,206,1,206,2,206,1,206,1,206,8,206,1,206,2,206,5,206,1,206,1,206,2,206,2,210,1,210,1,214,2,214,2,214,8,222,1,227,1,239,1,248,2,248,1,261,1,269,1,277,2,320,2,340,1,374,1,374,1,378,1,442,1,577,1,585,1,615,1,674,1,792,1,1054,1,1079,1,1253,1,1388,1,1726,1
210,7,210,1,210,2,210,1,210,1,210,8,210,1,210,2,210,5,210,1,210,1,210,2,210,2,214,1,214,1,218,2,218,2,218,8,227,1,231,1,244,1,252,2,252,1,264,1,273,1,281,2,323,2,345,1,378,1,378,1,383,1,446,1,581,1,589,1,619,1,678,1,796,1,1058,1,1084,1,1257,1,1392,1,1730,1
214,7,214,1,214,2,214,1,214,1,214,8,214,1,214,2,214,5,214,1,214,1,214,2,214,2,218,1,218,1,222,2,222,2,222,8,231,1,235,1,248,1,256,2,256,1,269,1,277,1,286,2,328,2,349,1,383,1,383,1,387,1,450,1,585,1,593,1,623,1,683,1,801,1,1062,1,1088,1,1261,1,1396,1,1734,1
218,7,218,1,218,2,218,1,218,1,218,8,218,1,218,2,218,5,218,1,218,1,218,2,218,2,222,1,222,1,227,2,227,2,227,8,235,1,239,1,252,1,261,2,261,1,273,1,281,1,290,2,332,2,353,1,387,1,387,1,391,1,455,1,589,1,598,1,628,1,687,1,805,1,1066,1,1092,1,1266,1,1401,1,1739,1
222,7,222,1,222,2,222,1,222,1,222,8,222,1,222,2,222,5,222,1,222,1,222,2,222,2,227,1,227,1,231,2,231,2,231,8,239,1,244,1,256,1,264,2,264,1,277,1,286,1,294,2,336,2,357,1,391,1,391,1,396,1,458,1,593,1,602,1,632,1,691,1,809,1,1071,1,1096,1,1269,1,1405,1,1743,1
227,7,227,1,227,2,227,1,227,1,227,8,227,1,227,2,227,5,227,1,227,1,227,2,227,2,231,1,231,1,235,2,235,2,235,8,244,1,248,1,261,1,269,2,269,1,281,1,290,1,299,2,340,2,362,1,396,1,396,1,399,1,463,1,598,1,606,1,636,1,695,1,813,1,1075,1,1100,1,1274,1,1410,1,1748,1
