Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,Enerpoint Ltd.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"Samsung Electro Mechanics co., LTD.",Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Netgear Inc.,Time,Intel Corporate,Time,DrayTek Corp.,Time,"Apple, Inc",Time,"NETGEAR INC.,",Time,"Samsung Electro Mechanics co.,LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Ubiquiti Networks,Time,Hewlett Packard,Time,IBM Corp,Time,Elitegroup Computer System Co.,Time,Liteon Tech Corp.,Time,HTC Corporation,Time,Hewlett-Packard Company,Time,"Billion Electric Co., Ltd.",Time,SEIKO EPSON CORPORATION,Time,"Murata Manufactuaring Co.,Ltd.",Time,Netgear Inc,Time,"Apple, Inc.",Time,Routerboard.com,Time,"SAMSUNG ELECTRO MECHANICS CO.,LTD.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Lexmark International Inc.,Time,ICP Electronics Inc.,Time,"Samsung Electronics Co.,Ltd"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,2,0,2,0,2,0,2,1,2,0,2,0,2,1,2,0,2,0,2,0,2,1,2,0,7,0,7,0,11,0,11,0,33,0,37,0,37,0,41,0,46,0,54,0,84,0,117,0,121,0,177,0,219,0,274,0,380,0,410,0,604,0,895,0,929,0,1283,0,1777,0,1930,0,2378,0
7,8,7,1,7,1,7,1,7,2,7,1,7,1,7,2,7,1,7,1,7,1,7,2,7,1,11,1,11,1,15,1,15,1,37,1,41,1,41,1,46,1,50,1,58,1,88,1,121,1,126,1,181,1,223,1,279,1,384,1,414,1,608,1,899,1,933,1,1288,1,1782,1,1934,1,2381,1
11,8,11,1,11,1,11,1,11,2,11,1,11,1,11,2,11,1,11,1,11,1,11,2,11,2,15,1,15,1,20,1,20,2,41,1,46,1,46,1,50,1,54,1,63,1,92,1,126,1,130,1,185,1,228,1,283,1,388,1,418,1,612,1,904,1,938,1,1292,1,1786,1,1938,1,2386,1
15,8,15,1,15,1,15,1,15,2,15,1,15,1,15,2,15,1,15,1,15,1,15,2,15,2,20,1,20,1,24,1,24,2,46,1,50,1,50,1,54,1,58,1,67,1,96,1,130,1,134,1,190,1,232,1,286,1,392,1,423,1,617,1,908,1,942,1,1296,1,1791,1,1941,1,2390,1
20,8,20,1,20,1,20,1,20,2,20,1,20,1,20,2,20,1,20,1,20,1,20,2,20,2,24,1,24,1,28,1,28,2,50,1,54,1,54,1,58,1,63,1,71,1,100,1,134,1,138,1,194,1,236,1,291,1,396,1,426,1,621,1,912,1,946,1,1300,1,1794,1,1946,1,2394,1
24,8,24,1,24,1,24,1,24,2,24,1,24,1,24,2,24,1,24,1,24,2,24,2,24,2,28,1,28,1,33,1,33,2,54,1,58,1,58,1,63,1,67,1,75,1,104,1,138,1,142,1,198,1,240,1,296,1,401,1,431,1,625,1,916,1,951,1,1305,1,1799,1,1950,1,2398,1
28,8,28,1,28,1,28,1,28,2,28,1,28,1,28,2,28,1,28,1,28,3,28,2,28,2,33,1,33,1,37,1,37,2,58,1,63,1,63,1,67,1,71,1,79,1,109,1,142,1,147,1,202,1,245,1,299,1,405,1,435,1,630,1,920,1,954,1,1308,1,1803,1,1955,1,2402,1
33,8,33,1,33,1,33,1,33,2,33,1,33,1,33,2,33,1,33,1,33,3,33,2,33,2,37,1,37,1,41,1,41,2,63,1,67,1,67,1,71,1,75,1,84,1,113,1,147,1,151,1,206,1,248,1,304,1,410,1,439,1,633,1,925,1,959,1,1313,1,1807,1,1959,1,2407,1
37,8,37,1,37,1,37,1,37,2,37,1,37,1,37,3,37,1,37,1,37,4,37,2,37,2,41,1,41,1,46,1,46,2,67,1,71,1,71,1,75,1,79,1,88,1,117,1,151,1,155,1,210,1,253,1,308,1,414,1,444,1,638,1,929,1,963,1,1317,1,1811,1,1963,1,2411,1
