Time,Manual_Count,Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,Enerpoint Ltd.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Hewlett Packard,Time,Intel Corporate,Time,"NETGEAR INC.,",Time,"Apple, Inc",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,DrayTek Corp.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,SEIKO EPSON CORPORATION,Time,"Apple, Inc.",Time,Ubiquiti Networks,Time,PEGATRON CORPORATION,Time,Liteon Tech Corp.,Time,IBM Corp,Time,Belkin International Inc.,Time,"Samsung Electro Mechanics co., LTD.",Time,"Murata Manufactuaring Co.,Ltd.",Time,Lexmark International Inc.,Time,Routerboard.com,Time,Hewlett-Packard Company,Time,HTC Corporation,Time,"SAMSUNG ELECTRO MECHANICS CO., LTD.",Time,"Samsung Electronics ITS, Printer division",Time,"Samsung Electro Mechanics co.,LTD.",Time,"Shenzhen JSR Technology Co.,Ltd.",Time,RICOH COMPANY LTD.,Time,"Ubiquiti Networks, INC",Time,"Samsung Electronics Co.,Ltd",Time,Nokia Corporation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16,3,0,3,0,3,0,3,0,3,1,3,0,3,0,3,1,3,1,3,1,6,0,6,0,24,0,28,0,49,0,57,0,70,0,122,0,226,0,239,0,260,0,286,0,303,0,353,0,357,0,369,0,610,0,744,0,845,0,878,0,1093,0,1393,0,1473,0,1860,0,1981,0,2016,0,2122,0,2389,0
6,16,6,1,6,1,6,1,6,1,6,2,6,1,6,1,6,2,6,2,6,2,11,1,11,1,28,1,32,1,54,1,62,1,75,1,125,1,230,1,243,1,264,1,290,1,306,1,357,1,361,1,374,1,614,1,748,1,849,1,882,1,1097,1,1397,1,1477,1,1864,1,1985,1,2020,1,2126,1,2392,1
11,16,11,1,11,1,11,1,11,1,11,2,11,1,11,1,11,2,11,2,11,2,15,1,15,1,32,1,36,1,57,1,66,1,79,1,130,1,235,1,247,1,269,1,294,1,311,1,361,1,366,1,378,1,618,1,752,1,853,1,887,1,1102,1,1402,1,1482,1,1869,1,1989,1,2024,1,2130,1,2396,1
15,16,15,1,15,1,15,1,15,1,15,2,15,1,15,1,15,4,15,2,15,2,20,1,20,1,36,1,41,1,62,1,70,1,83,1,134,1,239,1,252,1,273,1,298,1,315,1,366,1,369,1,382,1,622,1,756,1,857,1,891,1,1106,1,1406,1,1485,1,1873,1,1994,1,2028,1,2135,1,2401,1
20,16,20,1,20,1,20,1,20,1,20,2,20,1,20,1,20,4,20,2,20,2,24,1,24,1,41,1,45,1,66,1,75,1,87,1,138,1,243,1,256,1,277,1,303,1,319,1,369,1,374,1,387,1,627,1,760,1,862,1,896,1,1110,1,1410,1,1490,1,1878,1,1998,1,2032,1,2138,1,2406,1
24,16,24,1,24,1,24,1,24,1,24,2,24,1,24,1,24,4,24,2,24,2,28,1,28,1,45,1,49,1,70,1,79,1,91,1,143,1,247,1,260,1,281,1,306,1,323,1,374,1,378,1,391,1,630,1,765,1,866,1,899,1,1114,1,1414,1,1494,1,1882,1,2002,1,2037,1,2143,1,2409,1
28,16,28,1,28,1,28,1,28,1,28,2,28,1,28,1,28,4,28,2,28,2,32,1,32,1,49,1,54,1,75,1,83,1,96,1,146,1,252,1,264,1,286,1,311,1,327,1,378,1,382,1,395,1,635,1,769,1,870,1,904,1,1118,1,1419,1,1498,1,1886,1,2007,1,2041,1,2147,1,2413,1
32,16,32,1,32,1,32,1,32,1,32,3,32,1,32,1,32,5,32,2,32,2,36,1,36,1,54,1,57,1,79,1,87,1,99,1,150,1,256,1,269,1,290,1,315,1,332,1,382,1,387,1,399,1,639,1,773,1,874,1,908,1,1123,1,1422,1,1502,1,1890,1,2012,1,2045,1,2151,1,2417,1
36,16,36,1,36,1,36,1,36,1,36,3,36,1,36,1,36,5,36,2,36,2,41,1,41,1,57,1,62,1,83,1,91,1,104,1,154,1,260,1,273,1,294,1,319,1,336,1,387,1,391,1,404,1,644,1,778,1,878,1,912,1,1127,1,1427,1,1507,1,1895,1,2016,1,2050,1,2156,1,2422,1
