Time,Manual_Count,Time,Netgear Inc.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,DrayTek Corp.,Time,NETCOMM LIMITED,Time,Intel Corporate,Time,Dell Inc,Time,Netgear Inc,Time,"Apple, Inc.",Time,"Apple, Inc",Time,Hewlett-Packard Company,Time,D-Link International,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett Packard,Time,IBM Corp,Time,Ubiquiti Networks,Time,ASUSTek COMPUTER INC.,Time,Liteon Tech Corp.,Time,"NETGEAR INC.,",Time,SEIKO EPSON CORPORATION,Time,Microsoft,Time,"SAMSUNG ELECTRO MECHANICS CO., LTD.",Time,Liteon Technology Corporation,Time,"Samsung Electronics Co.,Ltd",Time,ASRock Incorporation,Time,Routerboard.com,Time,Apple Inc,Time,"Samsung Electro Mechanics co., LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Sony Mobile Communications AB
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,5,0,5,0,10,0,10,0,10,0,14,0,14,0,18,0,22,0,40,0,40,0,48,0,56,0,56,0,74,0,82,0,86,0,86,0,86,0,179,0,196,0,217,0,226,0,238,0,251,0,281,0,298,0
5,0,5,1,5,1,5,1,5,1,5,1,5,1,5,5,5,1,5,1,10,1,10,1,14,2,14,1,14,1,18,1,18,1,22,1,27,1,44,1,44,1,53,1,61,1,61,1,78,1,86,1,91,1,91,1,91,1,183,1,200,1,222,1,230,1,242,1,256,1,286,1,302,1
10,0,10,1,10,1,10,1,10,1,10,1,10,1,10,6,10,1,10,1,14,1,14,1,18,2,18,1,18,1,22,1,22,1,27,1,31,1,48,1,48,1,56,1,65,1,65,1,82,1,91,1,95,1,95,1,95,1,188,1,205,1,226,1,234,1,247,1,260,1,290,1,307,1
14,13,14,1,14,1,14,1,14,1,14,1,14,1,14,7,14,2,14,1,18,1,18,1,22,2,22,1,22,1,27,1,27,1,31,1,35,1,53,1,53,1,61,1,69,1,69,1,86,1,95,1,99,1,99,1,99,1,192,1,208,1,230,1,238,1,251,1,264,1,293,1,310,1
18,13,18,1,18,1,18,1,18,1,18,1,18,1,18,7,18,2,18,1,22,1,22,1,27,2,27,1,27,1,31,1,31,1,35,1,40,1,56,1,56,2,65,1,74,1,74,1,91,1,99,1,104,1,104,1,104,1,196,1,213,1,234,1,242,1,256,1,268,1,298,1,315,1
22,13,22,1,22,1,22,1,22,1,22,1,22,1,22,7,22,2,22,1,27,1,27,1,31,3,31,1,31,1,35,1,35,1,40,1,44,1,61,1,61,2,69,1,78,1,78,1,95,1,104,1,108,1,108,1,108,1,200,1,217,1,238,1,247,1,260,1,272,1,302,1,319,1
27,13,27,1,27,1,27,1,27,1,27,1,27,1,27,7,27,2,27,1,31,1,31,1,35,3,35,1,35,2,40,1,40,1,44,1,48,1,65,1,65,2,74,1,82,1,82,1,99,1,108,1,111,1,111,1,111,1,205,1,222,1,242,1,251,1,264,1,277,1,307,1,323,1
31,13,31,1,31,1,31,1,31,1,31,1,31,1,31,6,31,2,31,1,35,0,35,1,40,3,40,1,40,2,44,0,44,0,48,0,53,1,69,1,69,1,78,1,86,1,86,1,104,1,111,1,116,0,116,0,116,0,208,0,226,0,247,1,256,1,268,1,281,0,310,1,327,1
35,13,35,1,35,1,35,1,35,1,35,1,35,1,35,6,35,2,35,1,40,0,40,1,44,2,44,1,44,2,48,0,48,0,53,0,56,1,74,1,74,1,82,1,91,1,91,0,108,0,116,1,120,0,120,0,120,0,213,0,230,0,251,0,260,1,272,1,286,0,315,1,331,0
