Time,Manual_Count,UNKNOWN,Apple,Routerboard.com,Billion Electric Co. Ltd.,NETGEAR,Netgear Inc,Belkin International Inc.,"CISCO SYSTEMS, INC.","TP-LINK TECHNOLOGIES CO.,LTD.",ASUSTek COMPUTER INC.,"GIGA-BYTE TECHNOLOGY CO.,LTD.","NETGEAR INC.,",D-Link International,Netgear Inc.,Intel Corporate,Hewlett Packard,"TwinHan Technology Co.,Ltd",NETCOMM LIMITED,Ubiquiti Networks,IBM Corp,DrayTek Corp.,"COMPAL INFORMATION (KUNSHAN) CO., LTD.","Apple, Inc",Liteon Tech Corp.,Hewlett-Packard Company,ASRock Incorporation,Microsoft Corporation,Sony Mobile Communications AB,"Samsung Electro Mechanics co.,LTD.",PEGATRON CORPORATION,ICP Electronics Inc.,Liteon Technology Corporation,HTC Corporation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
44,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
