Time,Manual_Count,Netgear Inc.,ASUSTek COMPUTER INC.,NETCOMM LIMITED,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Ubiquiti Networks,UNKNOWN,"Nintendo Co., Ltd.",Intel Corporate,Billion Electric Co. Ltd.,Liteon Tech Corp.,Netgear Inc,"CISCO SYSTEMS, INC.","Apple, Inc","TP-LINK TECHNOLOGIES CO.,LTD.","GIGA-BYTE TECHNOLOGY CO.,LTD.",NETGEAR,Belkin International Inc.,Apple,Routerboard.com,DrayTek Corp.,Hewlett Packard,D-Link International,Sony Mobile Communications AB,"NETGEAR INC.,","Samsung Electro Mechanics co.,LTD.","Hon Hai Precision Ind. Co.,Ltd.",SEIKO EPSON CORPORATION,Microsoft,Microsoft Corporation,Hewlett-Packard Company,IBM Corp,D-LINK INTERNATIONAL PTE LIMITED,Liteon Technology Corporation,"Apple, Inc.",ICP Electronics Inc.,HTC Corporation,"Samsung Electronics Co.,Ltd",Dell Inc,ASRock Incorporation,Apple Inc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
9,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
18,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
26,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
31,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,
35,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
