Time,0,1,5,9,13,18,22,26,31,35,40,43,48,52,56,61,64,70,73,77,82,87,92,94,99,104,107,113,117,121,124,130,133,137,140,146,149,153,160,165,169,173,177,181,185,189,193,198,202,206,211,216,220,224,228,234,238,243,249,254,259,264,270,275,280,286,291,297,302,308,314,321,326,332
Manual_Count,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,19,19,19,19,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ASUSTek COMPUTER INC.,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
UNKNOWN,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,3,3
Liteon Technology Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Billion Electric Co. Ltd.,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,2,1,2,2,2,1,1,2,1,2
NETGEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netgear Inc,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Apple, Inc",0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2
Apple,0,0,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,6,6,6,5,6,6,7,7,8,9,9,8,8,8,9,9,5,6,6,6,6,7,7,7,7,7,7,7,6,8,8,7,7,7,7,7,8,8,8,8,8,8,7,7,7,7,8,8,9,9,8,6,6,6,6
