Time,Manual_Count,ASUSTek COMPUTER INC.,UNKNOWN,Liteon Technology Corporation,Billion Electric Co. Ltd.,NETGEAR,Netgear Inc,"Apple, Inc",Apple,"CISCO SYSTEMS, INC.","TP-LINK TECHNOLOGIES CO.,LTD.",Netgear Inc.,NETCOMM LIMITED,Hewlett-Packard Company,"GIGA-BYTE TECHNOLOGY CO.,LTD.","Apple, Inc.","COMPAL INFORMATION (KUNSHAN) CO., LTD.",Ubiquiti Networks,Intel Corporate,Belkin International Inc.,"NETGEAR INC.,",Liteon Tech Corp.,"Hon Hai Precision Ind. Co.,Ltd.",Microsoft Corporation,D-Link International,Hewlett Packard,Routerboard.com,Apple Inc,DrayTek Corp.,IBM Corp,SEIKO EPSON CORPORATION,Dell Inc,ASRock Incorporation,D-LINK INTERNATIONAL PTE LIMITED,Sony Mobile Communications AB
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18,0,1,0,1,0,1,1,2,2,1,0,0,1,1,0,1,1,2,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1
9,18,1,1,0,0,0,1,1,2,2,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1
13,18,1,2,0,0,0,0,1,2,2,1,0,1,1,1,0,1,1,2,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1
18,18,1,2,0,0,0,1,1,2,2,1,0,1,1,1,0,1,1,2,0,0,1,1,1,0,2,1,1,0,1,0,1,1,1,1
22,18,2,2,0,1,0,1,1,2,2,1,0,0,1,2,0,1,1,2,0,0,1,1,1,0,2,1,1,0,1,0,1,1,1,1
26,18,2,2,0,0,0,1,1,2,2,1,0,0,1,2,0,1,1,2,0,0,1,1,1,0,2,1,1,0,1,0,1,1,1,1
31,18,2,2,0,0,0,1,2,3,2,1,0,1,1,2,0,1,1,2,0,0,1,1,1,1,2,1,1,0,1,0,1,1,1,1
35,18,2,2,0,1,0,1,2,3,2,1,0,1,1,2,0,1,1,2,0,0,1,1,1,1,2,1,1,0,1,0,1,1,1,1
40,18,2,2,0,1,0,1,2,3,2,1,0,1,1,2,0,1,1,2,0,0,1,1,1,1,2,1,1,0,1,0,1,1,1,1
43,18,2,2,0,1,0,1,2,3,2,1,0,0,1,2,0,1,1,2,0,0,1,1,1,1,2,1,1,0,1,0,1,1,1,1
48,18,2,3,0,1,0,1,2,4,2,1,0,0,1,2,0,1,1,3,0,0,1,1,1,1,2,1,1,0,1,0,1,1,1,1
52,18,2,3,0,1,0,1,2,4,2,1,0,0,1,3,0,1,1,3,0,0,1,1,1,1,2,1,1,0,1,0,1,1,1,1
56,18,2,3,0,1,0,1,2,4,2,1,0,0,1,3,0,1,1,3,0,0,1,1,1,1,2,1,1,0,1,0,1,1,1,1
61,18,2,3,0,1,0,1,2,4,2,1,0,0,1,4,0,1,1,3,0,0,1,1,1,1,2,1,1,0,1,0,1,1,0,0
64,18,2,3,0,1,0,1,1,4,1,1,0,0,1,4,0,0,1,4,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0
70,18,2,3,0,1,0,1,1,4,1,1,0,0,1,3,0,0,1,3,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0
73,18,1,4,0,0,0,1,1,5,1,0,0,0,1,3,0,0,1,3,0,0,0,0,0,1,2,1,1,0,1,0,1,1,0,0
77,18,1,3,0,1,0,1,1,6,1,1,0,0,1,3,0,0,1,3,0,0,0,0,1,1,2,1,1,0,1,0,1,1,0,0
82,18,1,3,0,1,0,1,2,6,1,1,0,1,1,3,0,0,1,4,0,0,0,0,1,1,2,1,1,0,1,0,1,1,0,0
87,20,0,3,0,2,0,1,2,6,1,1,0,1,1,4,0,0,1,4,0,0,0,0,1,1,2,1,1,0,1,0,1,1,0,0
92,20,0,4,0,2,0,1,2,5,1,1,0,1,1,4,0,0,1,3,0,0,0,0,1,0,2,1,1,0,1,0,1,1,0,0
94,20,0,4,0,1,0,1,2,6,1,1,0,1,1,3,0,0,1,3,0,0,0,0,1,0,2,1,0,0,1,0,1,1,0,0
99,20,0,4,0,1,0,1,3,6,1,1,0,1,1,4,0,0,1,3,0,0,0,0,1,0,2,1,1,0,1,0,1,1,0,0
104,19,0,4,0,1,0,1,3,7,2,1,0,1,1,4,0,1,1,4,0,0,0,0,1,0,2,1,1,0,1,0,1,1,0,0
107,19,0,4,0,1,0,1,3,7,2,1,0,1,2,4,0,1,1,4,0,0,0,0,1,0,2,1,1,0,1,0,1,1,0,0
113,19,0,3,0,2,0,1,3,8,2,1,0,1,2,4,0,1,1,4,0,0,0,0,1,0,2,1,1,0,1,0,1,1,0,0
117,19,0,4,0,1,0,1,3,9,2,1,0,1,2,4,0,1,1,4,0,0,0,0,1,0,3,1,1,0,1,0,1,1,0,0
121,20,0,4,0,1,0,0,3,9,2,1,0,1,2,4,0,1,1,4,0,0,1,0,1,0,3,1,1,0,1,0,1,1,1,0
124,20,0,4,0,2,0,0,3,8,2,1,0,1,2,4,0,1,1,3,0,0,1,0,1,0,4,1,1,0,0,0,1,1,1,0
130,20,0,4,0,1,0,0,3,8,2,1,0,1,2,4,0,1,1,4,0,0,1,0,1,0,4,1,1,0,1,0,0,1,1,0
133,20,0,4,0,2,0,1,3,8,2,1,0,1,2,4,0,1,1,4,0,0,1,0,1,0,4,1,1,0,1,0,0,1,1,0
137,20,0,4,0,2,0,1,3,9,2,0,0,0,2,5,0,1,1,3,0,0,1,0,1,0,4,1,1,0,1,0,1,1,1,0
140,22,0,4,0,1,0,1,3,9,2,0,0,0,2,5,0,1,1,3,0,0,1,0,0,0,3,1,1,0,1,0,1,0,1,0
