Time,Manual_Count,Intel Corporate,NETCOMM LIMITED,UNKNOWN,Apple,Netgear Inc,"Apple, Inc","CISCO SYSTEMS, INC.","TP-LINK TECHNOLOGIES CO.,LTD.",DrayTek Corp.,Billion Electric Co. Ltd.,D-Link International,Liteon Technology Corporation,NETGEAR,Belkin International Inc.,"NETGEAR INC.,",IBM Corp,Netgear Inc.,Apple Inc,ASRock Incorporation,"Hon Hai Precision Ind. Co.,Ltd.","Samsung Electro Mechanics co., LTD.",SEIKO EPSON CORPORATION,ASUSTek COMPUTER INC.,HTC Corporation,Liteon Tech Corp.,Ubiquiti Networks,Hewlett Packard,Sony Mobile Communications AB,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Hewlett-Packard Company,"Samsung Electro Mechanics co.,LTD."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,19,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1
13,19,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1
17,19,1,0,1,1,0,1,2,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1
21,19,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1
26,19,1,0,1,2,0,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,
30,19,1,0,1,2,0,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,
35,19,1,0,2,2,0,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,
38,19,1,0,2,2,0,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,,
43,19,1,0,3,2,0,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,,
48,21,1,0,3,2,0,2,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,,
52,21,1,1,3,2,0,2,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,,,
56,21,1,1,3,2,0,2,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,,,,
60,21,1,0,3,2,0,2,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,,,,
64,21,1,0,3,3,0,2,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,,,,
68,21,1,0,3,4,0,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,,,,
74,21,1,0,3,4,0,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,,,,
78,21,1,0,3,4,0,2,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,,,,,
82,21,1,0,3,4,1,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,,,,,
85,21,1,0,3,4,1,2,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,,,,,
90,21,1,0,3,4,0,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,,,,,
95,21,1,0,3,4,1,2,2,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,,,,,,
98,21,0,0,3,5,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,
103,21,0,0,3,5,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,
107,21,0,0,3,5,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,
110,21,0,0,3,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,
117,21,0,0,3,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,
121,23,0,0,3,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,
124,23,0,0,3,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,
128,23,0,0,2,3,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,,,,,,
132,23,0,0,2,3,1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,,,,,,
136,23,0,0,1,3,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,,,,,
141,23,0,0,1,3,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,,,,,
145,23,0,0,1,3,0,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,,,,,,,
150,23,0,0,1,3,0,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,,,,,,,
154,23,0,0,1,3,1,3,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,,,,,,,
159,23,0,0,1,3,0,3,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,,,,,,,
164,23,0,0,1,3,0,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,,,,,,,
169,23,0,0,1,2,1,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,,,,,,,
174,23,0,0,1,2,1,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,,,,,,,
180,23,0,0,1,2,0,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,,,,,,,
185,23,0,0,1,2,1,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,,,,,,,,
191,21,0,0,1,2,0,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,,,,,,,,
197,21,0,0,1,2,0,2,2,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,
203,21,0,0,1,3,1,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,
209,21,0,0,1,3,1,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,,,,,,,,,
215,21,0,0,1,3,1,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,,,,,,,,,
222,21,0,0,1,3,0,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,,,,,,,,,,
228,21,0,0,1,4,0,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,,,,,,,,,,
235,21,0,0,1,3,0,2,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,,,,,,,,,,
241,21,0,0,1,3,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,,,,,,,,,
248,21,0,0,1,4,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,,,,,,,,,
254,21,0,0,1,5,1,0,2,1,0,0,1,0,0,0,0,1,0,1,0,1,0,,,,,,,,,,
261,21,0,0,1,5,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,,,,,,,,,,
268,21,0,0,1,5,1,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,,,,,,,,,,,
275,21,0,0,1,5,1,0,2,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
282,21,0,0,1,5,0,0,2,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
290,21,0,0,1,5,0,0,2,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
297,21,0,0,1,5,0,0,2,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
304,21,0,0,1,5,0,0,2,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
312,21,0,0,1,6,1,0,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
319,21,0,0,1,6,1,0,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
328,21,0,0,1,6,1,0,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
337,21,0,0,1,6,1,1,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,
345,20,0,0,1,4,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,
