Time,Manual_Count,Billion Electric Co. Ltd.,Netgear Inc,Belkin International Inc.,Apple,"CISCO SYSTEMS, INC.","TP-LINK TECHNOLOGIES CO.,LTD.",UNKNOWN,"NETGEAR INC.,",D-Link International,NETCOMM LIMITED,ASUSTek COMPUTER INC.,DrayTek Corp.,"Apple, Inc",NETGEAR,SEIKO EPSON CORPORATION,Liteon Tech Corp.,Intel Corporate,"Samsung Electro Mechanics co., LTD.","Hon Hai Precision Ind. Co.,Ltd.",Liteon Technology Corporation,Ubiquiti Networks,zte corporation,"Murata Manufacturing Co.,Ltd.","GIGA-BYTE TECHNOLOGY CO.,LTD.",Routerboard.com,"Samsung Electro Mechanics co.,LTD.",Netgear Inc.,Hewlett Packard,Hewlett-Packard Company,IBM Corp,"Apple, Inc.",ASRock Incorporation,D-LINK INTERNATIONAL PTE LIMITED,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Dell Inc,Microsoft Corporation,Nokia Corporation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,21,1,1,0,1,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,21,1,1,0,2,2,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,21,1,1,0,2,2,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1
20,21,1,1,0,2,2,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,3,1,1,1,2,1,1,1,1,1,1,1,1,1
24,21,1,1,0,2,2,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,3,1,1,1,2,1,1,1,1,1,1,1,1,1
28,21,1,1,0,3,2,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,3,1,1,1,2,1,1,1,1,1,1,1,1,1
32,21,1,1,0,3,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,3,1,1,1,2,1,1,1,1,1,1,1,1,1
37,21,1,1,0,3,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,4,1,1,1,3,1,1,1,1,1,1,1,1,1
41,21,1,1,0,3,2,1,2,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,4,1,1,1,3,2,1,1,1,1,2,1,1,1
45,21,1,1,0,3,2,1,2,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,4,1,1,1,5,2,1,1,1,1,2,1,1,1
49,21,1,1,0,3,2,1,2,0,0,1,0,0,2,0,1,1,1,1,1,1,1,1,0,6,1,1,1,5,2,1,1,1,1,2,1,1,
54,21,1,1,0,3,2,1,2,0,0,1,0,0,2,1,1,1,1,1,1,1,1,1,0,6,1,1,1,6,2,1,1,1,1,2,1,1,
57,21,1,1,0,3,2,1,2,0,0,1,0,0,2,1,1,1,1,1,1,1,1,1,0,7,1,1,1,6,2,1,1,1,1,2,1,1,
62,21,1,1,0,4,2,1,2,0,1,1,0,0,2,1,1,1,1,1,1,1,1,1,0,8,1,1,0,6,2,1,1,1,1,2,1,1,
67,21,1,1,0,4,2,1,2,1,1,1,0,0,2,1,1,1,2,1,1,1,1,1,0,8,1,1,0,6,2,1,1,1,1,2,1,1,
71,21,1,1,0,4,2,1,2,0,1,1,1,0,2,1,1,1,3,1,1,1,1,1,0,8,1,1,0,6,2,1,1,1,1,2,1,,
75,21,1,1,0,4,2,1,2,0,1,1,1,0,2,0,1,1,3,1,1,1,1,1,0,8,1,1,0,7,2,1,1,1,1,2,1,,
79,21,1,1,0,4,2,1,3,1,1,1,1,0,2,0,1,1,3,1,1,1,1,1,0,8,1,1,0,7,2,1,1,1,1,2,1,,
83,21,1,1,0,5,2,1,3,1,1,1,1,0,2,0,1,1,3,1,1,1,1,1,0,9,1,1,0,7,2,1,1,1,1,2,1,,
87,21,1,1,0,5,2,1,2,1,1,1,1,0,2,0,1,1,3,1,1,1,1,1,0,8,1,1,0,7,2,1,1,1,1,2,1,,
91,21,1,1,0,5,2,1,2,1,1,1,1,0,2,0,1,1,3,1,1,1,1,1,0,8,1,1,0,7,2,1,1,1,1,2,1,,
96,21,1,1,0,5,2,1,3,1,1,1,1,0,2,0,1,0,2,0,1,1,1,0,0,8,1,1,0,7,2,1,1,1,0,2,,,
100,21,1,1,0,5,2,1,4,1,1,1,1,0,3,0,1,0,2,0,1,0,1,0,0,8,1,1,0,8,2,1,1,1,0,,,,
105,21,1,1,0,4,2,1,4,1,1,1,1,0,3,0,1,0,2,0,1,0,1,0,0,8,1,1,1,8,2,1,1,1,0,,,,
108,21,1,1,0,5,2,1,4,1,1,1,1,0,3,0,1,0,2,0,1,0,1,0,0,8,1,1,1,8,2,1,1,1,0,,,,
