Time,0,2,5,10,14,18,22,27,31,35,40,44,48,52,56,61,65,69,73,77,82,86,90,94,99,103,107,111,116,119,124,128,133,137,141,145,149,154,158,162,167,170,175,179,183,187,192,196,200,205,209,213,217,221,226,230,234,238,242,247,251,255,259,263,268,273,276,281,285,289,293,298,302,306,310,315,319,323,328,332,336,340,344,348,352,357,361,365,369,373,378,383,387,391,395,399,403,407
Manual_Count,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19,19,19
NETCOMM LIMITED,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"COMPAL INFORMATION (KUNSHAN) CO., LTD.",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,0
UNKNOWN,0,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,4,4,4,4,4,4,4,5,5,5,4,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,4,4,4,4,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,2,2
ASUSTek COMPUTER INC.,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,3,3,3,3,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,2,2,2,2,2,2
Hewlett Packard,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,4,4,4,4,4,4,5,4,4,4,4,3,2,2,3,3,3,3,3,3,3,2,2,2,2,1,1,2,1,1,2,2,2,2,3
Apple,0,1,3,4,4,4,4,5,5,5,6,6,7,8,8,8,9,9,9,9,9,9,9,9,9,9,10,12,12,11,10,10,10,10,10,10,10,10,8,8,8,8,9,8,7,6,6,7,8,9,9,10,9,9,8,9,10,10,9,8,7,7,7,7,7,7,5,7,7,6,8,7,8,8,10,10,10,10,8,9,10,10,10,10,10,8,8,8,7,5,4,4,4,7,7,9,9,9
Intel Corporate,0,0,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,4,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,4,4,4
Billion Electric Co. Ltd.,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
