Time,Manual_Count,ICP Electronics Inc.,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Ubiquiti Networks,UNKNOWN,Apple,Billion Electric Co. Ltd.,NETGEAR,Belkin International Inc.,"CISCO SYSTEMS, INC.",Netgear Inc.,Intel Corporate,Netgear Inc,"TP-LINK TECHNOLOGIES CO.,LTD.",NETCOMM LIMITED,Hewlett-Packard Company,"Apple, Inc.",Liteon Technology Corporation,D-Link International,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Dell Inc,Hewlett Packard,"Apple, Inc",ASUSTek COMPUTER INC.,IBM Corp,"NETGEAR INC.,",DrayTek Corp.,Routerboard.com,Sony Mobile Communications AB,zte corporation,Microsoft Corporation,"Hon Hai Precision Ind. Co.,Ltd.",ASRock Incorporation,Apple Inc,HTC Corporation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0
9,17,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0
14,17,1,1,1,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0
18,17,1,1,1,1,2,0,0,0,2,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0
23,17,1,1,1,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0
27,17,1,1,1,1,2,1,0,0,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0
32,17,1,1,1,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0
37,17,1,1,1,1,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0
41,17,1,1,1,1,2,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
46,17,1,1,1,1,2,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
51,17,0,0,1,1,4,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
60,17,0,0,1,1,4,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
68,17,0,0,0,2,4,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
71,17,0,0,0,2,4,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
