Time,Manual_Count,Netgear Inc.,ASUSTek COMPUTER INC.,DrayTek Corp.,NETCOMM LIMITED,UNKNOWN,Apple,Intel Corporate,Billion Electric Co. Ltd.,Netgear Inc,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Ubiquiti Networks,Hewlett-Packard Company,Routerboard.com,"CISCO SYSTEMS, INC.","GIGA-BYTE TECHNOLOGY CO.,LTD.","TP-LINK TECHNOLOGIES CO.,LTD.",Hewlett Packard,"Samsung Electro Mechanics co.,LTD.",NETGEAR,Lexmark International Inc.,"NETGEAR INC.,","Apple, Inc",D-Link International,Liteon Technology Corporation,IBM Corp,"Apple, Inc.",Apple Inc,Microsoft Corporation,"Hon Hai Precision Ind. Co.,Ltd.",SEIKO EPSON CORPORATION,Belkin International Inc.,Dell Inc,"Nintendo Co., Ltd.","Samsung Electro Mechanics co., LTD.","Samsung Electronics Co.,Ltd",ASRock Incorporation,PEGATRON CORPORATION,FUJI-XEROX CO. LTD.
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,17,0,1,0,0,1,2,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
11,17,0,1,0,0,2,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
15,12,0,1,0,0,3,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,
19,12,0,1,0,0,3,2,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,
23,12,0,1,0,0,3,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,
27,12,0,0,0,0,2,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,
32,12,0,1,0,0,2,2,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,
36,12,0,1,0,0,2,2,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,
40,12,0,1,0,0,2,2,0,0,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
44,12,0,1,0,0,2,2,0,0,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
49,12,0,1,0,0,2,2,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,12,0,0,0,0,2,2,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,12,0,0,0,0,1,2,0,0,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,12,0,0,0,0,1,2,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
66,12,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,
71,12,0,0,0,0,2,0,1,0,1,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,
75,12,0,0,0,0,2,1,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,
80,12,0,0,0,0,2,3,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,
82,12,0,0,0,0,2,3,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
87,12,0,0,0,0,2,3,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
92,12,0,0,0,0,3,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
95,12,0,0,0,0,3,5,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
100,12,0,0,0,0,3,3,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
105,12,0,0,0,0,3,4,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
108,12,0,0,0,0,2,5,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
114,12,0,0,0,0,1,7,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
117,12,0,0,0,0,2,5,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
120,12,0,0,0,0,3,6,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
127,12,0,0,0,0,3,6,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
130,12,0,0,0,0,3,6,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,
134,12,0,0,0,0,3,5,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,
139,12,0,0,0,0,2,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,
144,12,0,0,0,0,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,
148,12,0,0,0,0,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,
152,12,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,
156,12,0,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,
161,12,0,0,0,0,2,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,
165,12,0,0,0,0,2,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,
170,12,0,0,0,0,2,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,
175,12,0,0,0,1,2,6,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,
179,12,0,0,0,0,2,6,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
184,12,0,0,0,0,1,6,0,0,0,1,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
189,12,0,0,0,0,1,5,0,0,0,1,1,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
194,12,0,0,0,0,1,4,0,0,0,1,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
199,12,0,0,0,0,1,4,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
204,12,0,0,0,0,1,2,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
209,12,0,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
215,12,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,
221,12,0,1,0,0,1,2,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
227,12,0,1,0,0,1,2,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
232,12,0,1,0,0,2,3,0,0,0,0,1,3,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
238,12,0,1,0,0,2,4,0,0,0,1,1,3,1,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
244,12,0,1,0,0,4,4,0,0,0,1,1,3,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
250,12,0,0,0,0,4,4,0,0,0,1,1,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
256,12,0,0,0,0,4,4,0,0,0,1,1,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,
262,12,0,0,0,0,4,4,0,0,0,1,1,0,1,1,2,0,2,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
270,12,0,0,0,0,3,2,0,0,0,0,1,0,1,2,1,0,2,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
277,12,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,0,3,0,0,0,0,1,0,0,,,,,,,,,,,,,,
285,12,0,0,0,0,1,1,1,0,0,1,1,0,0,2,1,0,3,1,0,0,0,0,0,,,,,,,,,,,,,,,
293,12,0,0,0,0,2,2,1,0,0,1,1,0,0,2,1,0,3,1,0,0,0,0,0,,,,,,,,,,,,,,,
301,12,0,0,0,0,2,2,1,0,0,1,1,0,0,2,1,0,3,1,0,0,0,0,,,,,,,,,,,,,,,,
309,12,0,0,0,0,3,2,1,0,0,1,1,0,0,2,0,0,3,1,0,0,0,,,,,,,,,,,,,,,,,
316,12,0,0,0,0,3,2,1,0,0,1,1,0,0,2,0,0,2,1,0,,,,,,,,,,,,,,,,,,,
323,12,0,0,0,0,4,3,0,0,0,0,1,0,0,2,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
331,12,0,0,0,0,3,2,0,0,0,0,1,0,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,
338,12,0,0,0,0,2,3,0,0,0,0,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,
346,12,0,0,0,0,2,3,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
354,12,0,0,0,0,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
