Time,Manual_Count,Netgear Inc.,ASUSTek COMPUTER INC.,NETCOMM LIMITED,Ubiquiti Networks,UNKNOWN,Hewlett Packard,"Nintendo Co., Ltd.",Intel Corporate,Billion Electric Co. Ltd.,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Microsoft Corporation,NETGEAR,"Hon Hai Precision Ind. Co.,Ltd.",Netgear Inc,Apple,"NETGEAR INC.,","CISCO SYSTEMS, INC.","TP-LINK TECHNOLOGIES CO.,LTD.",Hewlett-Packard Company,Apple Inc,D-Link International,ICP Electronics Inc.,DrayTek Corp.,IBM Corp,Routerboard.com,Belkin International Inc.,"Apple, Inc",Liteon Tech Corp.,Sony Mobile Communications AB,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Liteon Technology Corporation,Dell Inc,"Samsung Electro Mechanics co.,LTD.",ASRock Incorporation,"Samsung Electronics Co.,Ltd",SEIKO EPSON CORPORATION
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
