Time,Manual_Count,NETCOMM LIMITED,UNKNOWN,"Murata Manufactuaring Co.,Ltd.",Intel Corporate,SEIKO EPSON CORPORATION,Apple,Netgear Inc,"CISCO SYSTEMS, INC.","TP-LINK TECHNOLOGIES CO.,LTD.",Netgear Inc.,ASUSTek COMPUTER INC.,Hewlett-Packard Company,Billion Electric Co. Ltd.,"GIGA-BYTE TECHNOLOGY CO.,LTD.",D-Link International,"Apple, Inc",Routerboard.com,Lexmark International Inc.,DrayTek Corp.,IBM Corp,Ubiquiti Networks,Belkin International Inc.,"Samsung Electro Mechanics co.,LTD.","Hon Hai Precision Ind. Co.,Ltd.","Ubiquiti Networks, INC","COMPAL INFORMATION (KUNSHAN) CO., LTD.",Liteon Tech Corp.,"NETGEAR INC.,",Sony Mobile Communications AB,Apple Inc,Hewlett Packard,Dell Inc,NETGEAR,Microsoft Corporation,ASRock Incorporation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1,0,1,1
13,12,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1,0,1,1
17,12,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1,0,1,1
21,12,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1,0,1,1
26,12,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1,0,1,1
30,12,0,1,0,0,0,2,0,2,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1,0,1,1
34,12,0,1,0,0,0,2,0,2,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1,0,1,1
38,12,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1,0,1,1
43,12,0,1,0,0,0,2,0,2,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,3,1,0,1,1
47,12,0,2,0,0,0,2,0,2,0,0,1,2,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,3,1,0,1,1
52,12,0,2,0,0,0,2,0,2,0,0,1,2,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,3,1,0,1,1
55,12,0,2,0,0,0,2,0,2,0,0,1,2,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,4,1,0,1,1
59,12,0,2,0,0,0,2,0,2,0,0,1,2,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,5,1,0,1,1
65,12,0,2,0,0,0,2,0,2,0,0,1,2,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,6,1,0,1,1
68,12,0,2,0,0,0,2,0,2,0,0,1,2,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,6,1,0,1,1
73,12,0,2,0,0,0,2,0,1,0,0,1,2,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,7,1,0,1,1
78,12,0,2,0,0,0,2,0,2,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,7,1,0,1,1
81,12,0,2,0,0,0,2,0,2,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,7,1,0,1,1
86,12,0,2,0,0,0,2,0,2,0,0,1,2,0,2,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,7,1,0,0,1
90,12,0,2,0,0,0,2,0,2,0,0,1,2,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,8,1,0,0,1
93,12,0,2,0,0,0,2,0,2,0,0,1,2,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,8,1,0,0,1
100,12,0,2,0,0,0,2,0,1,0,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1
104,12,0,2,0,0,0,2,0,2,0,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
108,12,0,2,0,0,0,2,0,2,0,0,1,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0
112,12,0,2,0,0,0,2,0,1,0,0,2,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0
117,12,0,2,0,0,0,2,0,2,0,0,2,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0
122,12,0,2,0,0,0,2,0,1,0,0,2,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,
127,12,0,2,0,0,0,2,0,2,0,0,2,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,
132,12,0,3,0,0,0,2,0,1,1,0,2,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,
138,12,0,3,0,0,0,2,0,2,0,0,2,1,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,
143,12,0,3,0,0,0,2,0,2,0,0,2,1,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,
148,12,0,3,0,0,0,3,0,2,0,0,1,1,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,1,
154,12,0,3,0,0,0,3,0,2,0,0,1,1,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,1,0,1,
160,12,0,3,0,0,0,3,0,2,0,0,1,2,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,7,1,0,,
166,12,0,2,0,0,0,2,0,2,0,0,1,2,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,1,0,,
172,12,0,2,0,0,0,2,0,2,0,0,1,2,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,,,
179,12,0,2,0,0,0,2,0,2,0,0,1,2,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,,,,
186,12,0,2,0,0,0,2,0,2,0,0,1,2,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,,,,
193,12,0,2,0,0,0,2,0,2,0,0,1,2,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,,,,
200,12,0,2,0,0,0,2,0,2,0,0,2,2,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,
207,12,0,3,0,0,0,3,0,2,0,0,2,2,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,
214,12,0,3,0,0,0,3,0,2,0,0,2,2,0,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,
