Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,Ubiquiti Networks,Time,UNKNOWN,Time,Apple,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,NETCOMM LIMITED,Time,NETGEAR,Time,DrayTek Corp.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,D-Link International,Time,Netgear Inc,Time,"NETGEAR INC.,",Time,ASRock Incorporation,Time,Routerboard.com,Time,ASUSTek COMPUTER INC.,Time,ASUSTek COMPUTER INC.,Time,"Apple, Inc",Time,ASUSTek COMPUTER INC.,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett-Packard Company,Time,IBM Corp,Time,Netgear Inc.,Time,Apple Inc,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,PEGATRON CORPORATION,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Dell Inc,Time,Hewlett Packard,Time,Liteon Technology Corporation,Time,Liteon Tech Corp.,Time,Lexmark International Inc.,Time,"Samsung Electro Mechanics co., LTD.",Time,HTC Corporation,Time,Sony Mobile Communications AB,Time,"Apple, Inc.",Time,"SAMSUNG ELECTRO MECHANICS CO.,LTD.",Time,"AzureWave Technologies, Inc.",Time,Microsoft,Time,Belkin International Inc.
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,7,0,7,0,11,0,11,0,15,0,20,0,20,0,28,0,37,0,40,0,45,0,45,0,49,0,49,0,53,1,53,0,58,0,66,0,70,0,79,0,83,0,99,0,99,0,125,0,138,0,146,0,163,0,193,0,218,0,226,0,230,0,268,0,310,0,323,0
7,12,7,1,7,1,7,2,7,1,7,2,7,1,7,1,7,1,11,1,11,1,15,1,15,1,20,1,24,1,24,1,32,1,40,1,45,0,49,0,49,1,53,1,53,1,58,2,58,1,62,1,70,1,74,1,83,1,87,1,104,1,104,1,130,1,142,1,150,1,167,1,196,1,222,1,230,1,235,1,272,1,315,1,327,1
11,12,11,1,11,1,11,3,11,2,11,2,11,1,11,1,11,1,15,1,15,1,20,1,20,2,24,1,28,1,28,1,37,1,45,1,49,0,53,1,53,1,58,1,58,1,62,2,62,1,66,1,74,1,79,1,87,1,91,1,108,1,108,1,133,1,146,1,155,1,172,1,201,1,226,1,235,1,239,1,277,1,319,1,332,1
15,12,15,1,15,1,15,3,15,3,15,3,15,1,15,2,15,1,20,1,20,1,24,1,24,2,28,1,32,1,32,1,40,1,49,1,53,1,58,1,58,1,62,1,62,1,66,2,66,1,70,1,79,1,83,1,91,1,95,1,112,1,112,2,138,1,150,1,159,1,176,1,205,1,230,1,239,1,243,1,281,1,323,1,336,1
20,12,20,1,20,1,20,3,20,4,20,3,20,1,20,2,20,1,24,1,24,1,28,1,28,2,32,1,37,1,37,1,45,1,53,1,58,1,62,1,62,1,66,1,66,1,70,2,70,1,74,1,83,1,87,1,95,1,99,1,117,1,117,3,142,1,155,1,163,1,180,1,210,1,235,1,243,1,247,1,285,1,327,1,,
24,12,24,1,24,1,24,4,24,5,24,3,24,1,24,2,24,1,28,1,28,1,32,1,32,2,37,1,40,1,40,1,49,1,58,1,62,1,66,1,66,1,70,1,70,1,74,2,74,1,79,1,87,1,91,1,99,1,104,1,121,1,121,3,146,1,159,1,167,1,184,1,213,1,239,1,247,1,251,1,290,1,332,1,,
28,12,28,1,28,1,28,4,28,5,28,3,28,1,28,2,28,1,32,1,32,1,37,1,37,2,40,1,45,1,45,1,53,1,62,1,66,1,70,1,70,1,74,1,74,1,79,2,79,1,83,1,91,1,95,1,104,1,108,1,125,1,125,3,150,1,163,1,172,1,188,1,218,1,243,1,251,1,256,1,293,1,336,1,,
32,12,32,1,32,1,32,4,32,5,32,3,32,1,32,2,32,1,37,1,37,1,40,1,40,2,45,1,49,1,49,1,58,1,66,0,70,1,74,1,74,2,79,1,79,0,83,0,83,0,87,0,95,1,99,0,108,0,112,1,130,1,130,3,155,0,167,1,176,1,193,0,222,0,247,1,256,0,260,0,297,0,,,,
37,12,37,1,37,1,37,4,37,5,37,2,37,1,37,2,37,1,40,1,40,0,45,1,45,2,49,1,53,1,53,0,62,1,70,0,74,1,79,1,79,1,83,1,83,0,87,0,87,1,91,0,99,1,104,0,112,0,117,0,133,0,133,3,159,0,172,0,180,0,196,0,226,0,251,1,260,0,264,0,302,0,,,,
