Time,Manual_Count,NETCOMM LIMITED,UNKNOWN,Apple,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Billion Electric Co. Ltd.,Netgear Inc,"NETGEAR INC.,","CISCO SYSTEMS, INC.","TP-LINK TECHNOLOGIES CO.,LTD.",ASUSTek COMPUTER INC.,Intel Corporate,IBM Corp,Routerboard.com,Liteon Technology Corporation,D-Link International,Dell Inc,Hewlett-Packard Company,"Murata Manufactuaring Co.,Ltd.",ICP Electronics Inc.,DrayTek Corp.,Ubiquiti Networks,ASRock Incorporation,Netgear Inc.,NETGEAR,Apple Inc,"Hon Hai Precision Ind. Co.,Ltd.","Apple, Inc",HTC Corporation,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Sony Mobile Communications AB,Hewlett Packard,Belkin International Inc.,FUJI-XEROX CO. LTD.,D-LINK INTERNATIONAL PTE LIMITED,WISOL,Microsoft,Liteon Tech Corp.,"Samsung Electro Mechanics co.,LTD."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11,1,3,3,1,1,0,0,2,1,0,0,1,1,0,1,1,2,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1
11,11,1,3,3,2,1,1,0,2,1,0,0,1,1,0,1,1,2,0,1,0,1,1,0,0,1,1,2,0,1,1,2,0,0,1,1,0,1,1
15,11,1,2,2,1,1,1,0,2,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
20,11,1,2,4,1,1,1,0,2,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0
24,11,0,2,3,0,0,1,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
28,11,1,2,3,0,1,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
32,11,1,2,4,1,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
37,11,1,2,3,1,1,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,11,1,1,2,1,1,1,0,2,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
45,9,1,1,3,1,1,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
49,9,1,1,3,1,1,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
53,9,1,1,1,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
58,9,1,1,1,1,1,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,11,1,1,1,1,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
66,11,0,2,2,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
70,11,1,2,2,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,
75,11,0,3,2,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
79,11,0,2,1,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,,
83,11,0,2,2,1,1,1,0,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,,
87,11,1,1,2,2,1,1,0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,,
91,11,1,1,2,2,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,
96,11,0,1,1,1,1,1,0,2,1,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,
100,11,0,1,0,0,1,1,0,1,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
104,11,1,1,0,2,1,1,0,1,1,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,
109,11,1,1,1,2,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,
113,11,1,1,1,2,0,0,0,1,1,0,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
117,11,1,1,1,1,1,0,0,2,1,0,2,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
122,11,1,1,1,1,0,1,0,2,1,0,1,1,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
126,11,1,1,1,2,0,1,0,2,1,0,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
130,11,1,1,1,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
134,11,1,1,1,3,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
138,11,1,1,3,3,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
142,11,1,1,5,2,1,1,0,2,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,
146,11,1,1,5,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,,,
