Time,Manual_Count,NETCOMM LIMITED,Ubiquiti Networks,UNKNOWN,Routerboard.com,IBM Corp,Apple,WISOL,Billion Electric Co. Ltd.,Belkin International Inc.,D-Link International,"CISCO SYSTEMS, INC.","TP-LINK TECHNOLOGIES CO.,LTD.",Netgear Inc,Apple Inc,"GIGA-BYTE TECHNOLOGY CO.,LTD.",DrayTek Corp.,NETGEAR,ICP Electronics Inc.,Liteon Technology Corporation,Hewlett Packard,Intel Corporate,"NETGEAR INC.,","Apple, Inc","COMPAL INFORMATION (KUNSHAN) CO., LTD.",ASRock Incorporation,ASUSTek COMPUTER INC.,HTC Corporation,Liteon Tech Corp.,"Hon Hai Precision Ind. Co.,Ltd.",Hewlett-Packard Company,"Apple, Inc.",Dell Inc,Netgear Inc.,"SAMSUNG ELECTRO MECHANICS CO., LTD."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,7,0,1,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,2,0,1,0,0
12,7,0,1,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,0,1,0,0
16,7,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
20,7,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,7,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
29,7,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,
33,7,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,
37,7,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,
42,7,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,
46,7,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,
