Time,Manual_Count,Time,Netgear Inc.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"NETGEAR INC.,",Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Apple Inc,Time,Intel Corporate,Time,"Apple, Inc",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Liteon Tech Corp.,Time,SEIKO EPSON CORPORATION,Time,"Samsung Electro Mechanics co., LTD.",Time,DrayTek Corp.,Time,Hewlett-Packard Company,Time,Zultys Technologies,Time,IBM,Time,IBM Corp,Time,ASUSTek COMPUTER INC.,Time,"Murata Manufactuaring Co.,Ltd.",Time,"Samsung Electro Mechanics co.,LTD.",Time,Wistron Corporation,Time,"Micro-Star Int'l Co, Ltd",Time,KYOCERA Document Solutions Inc.,Time,"BROTHER INDUSTRIES, LTD.",Time,Belkin International Inc.,Time,Hewlett Packard
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,29,4,0,4,0,4,1,4,0,4,0,4,1,4,0,4,0,4,0,12,0,12,0,21,0,31,0,31,0,59,0,87,0,96,0,115,0,198,0,198,0,198,0,208,0,217,0,236,0,255,0,292,0,311,0,311,0,311,0,311,0
7,29,12,1,12,1,12,2,12,1,12,1,12,2,12,1,12,1,12,1,21,1,21,1,31,1,40,1,40,1,68,1,96,1,105,1,124,1,208,1,208,1,208,1,217,1,227,1,245,1,265,1,301,1,320,1,320,1,320,1,320,1
33,29,21,1,21,1,21,2,21,1,21,2,21,2,21,1,21,1,21,1,31,1,31,1,40,1,49,1,49,1,77,1,105,1,115,1,133,1,217,1,217,1,217,1,227,1,236,1,255,1,273,1,311,2,,,,,,,,
70,29,31,1,31,1,31,2,31,1,31,2,31,2,31,2,31,1,31,1,40,1,40,1,49,1,59,1,59,1,87,1,115,1,124,1,143,1,227,1,227,1,227,1,236,1,245,1,265,1,283,1,320,2,,,,,,,,
102,26,40,1,40,1,40,2,40,1,40,2,40,2,40,2,40,1,40,1,49,1,49,2,59,1,68,1,68,1,96,1,124,1,133,1,152,1,236,1,236,1,236,1,245,1,255,1,273,1,292,1,,,,,,,,,,
110,26,49,1,49,1,49,2,49,1,49,2,49,2,49,2,49,2,49,1,59,1,59,2,68,1,77,1,77,1,105,1,133,1,143,1,161,1,245,1,245,1,245,1,255,1,265,1,283,1,301,1,,,,,,,,,,
130,26,59,0,59,2,59,1,59,1,59,2,59,2,59,3,59,2,59,1,68,1,68,2,77,0,87,0,87,0,115,0,143,0,152,0,171,0,255,0,255,0,255,0,265,0,273,0,292,1,311,0,,,,,,,,,,
153,26,68,0,68,2,68,1,68,1,68,2,68,2,68,3,68,2,68,1,77,1,77,2,87,0,96,0,96,0,124,0,152,0,161,0,180,0,265,0,265,0,265,0,273,1,283,0,301,0,320,0,,,,,,,,,,
207,26,77,0,77,2,77,1,77,1,77,2,77,2,77,3,77,2,77,1,87,1,87,2,96,0,105,0,105,0,133,0,161,0,171,0,189,0,273,0,273,0,273,0,283,1,292,1,311,0,,,,,,,,,,,,
256,26,87,0,87,2,87,1,87,1,87,2,87,2,87,3,87,2,87,1,96,1,96,2,105,0,115,0,115,0,143,0,171,0,180,0,198,0,283,0,283,0,283,0,292,1,301,1,320,1,,,,,,,,,,,,
306,24,96,0,96,2,96,1,96,1,96,2,96,2,96,3,96,2,96,1,105,1,105,1,115,0,124,0,124,0,152,0,180,0,189,1,208,0,292,0,292,0,292,0,301,1,311,1,,,,,,,,,,,,,,
320,26,105,0,105,2,105,1,105,1,105,2,105,2,105,3,105,1,105,1,115,1,115,1,124,0,133,0,133,0,161,0,189,0,198,1,217,0,301,0,301,0,301,0,311,1,320,1,,,,,,,,,,,,,,
