Time,Manual_Count,Time,Netgear Inc.,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,Apple,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett-Packard Company,Time,Hewlett Packard,Time,DrayTek Corp.,Time,ASUSTek COMPUTER INC.,Time,IBM Corp,Time,Netgear Inc,Time,Belkin International Inc.,Time,NETGEAR,Time,D-Link International,Time,Sony Mobile Communications AB,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Liteon Technology Corporation,Time,"NETGEAR INC.,",Time,"Apple, Inc",Time,ICP Electronics Inc.,Time,"Apple, Inc.",Time,"Silex Technology, Inc.",Time,Routerboard.com,Time,Dell Inc,Time,ASRock Incorporation,Time,Liteon Tech Corp.,Time,"Samsung Electro Mechanics co., LTD."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,4,0,4,0,4,0,4,0,4,3,4,0,4,0,4,0,4,0,8,1,8,0,8,0,8,5,12,0,12,0,12,0,12,0,12,0,16,0,16,0,20,0,37,0,46,0,46,0,46,0,50,0,63,0,77,0,131,0,203,0,203,0,241,0,260,0
8,7,8,0,8,0,8,1,8,2,8,3,8,1,8,0,8,1,8,1,12,2,12,1,12,2,12,6,16,0,16,1,16,1,16,1,16,0,20,0,20,0,25,0,41,0,50,0,50,0,50,1,54,1,67,1,82,0,136,1,208,1,208,1,246,1,265,1
12,7,12,0,12,0,12,1,12,2,12,3,12,2,12,0,12,1,12,1,16,2,16,1,16,2,16,6,20,0,20,1,20,1,20,1,20,0,25,0,25,0,29,0,46,0,54,0,54,0,54,1,58,1,72,1,87,0,140,1,213,1,213,1,250,1,270,1
16,7,16,0,16,0,16,1,16,2,16,5,16,2,16,0,16,1,16,1,20,2,20,2,20,2,20,6,25,0,25,1,25,1,25,1,25,0,29,0,29,0,33,0,50,0,58,0,58,0,58,1,63,1,77,1,92,0,145,1,218,1,218,1,255,1,274,1
20,7,20,0,20,0,20,1,20,3,20,6,20,2,20,1,20,1,20,1,25,2,25,3,25,2,25,6,29,0,29,1,29,1,29,1,29,0,33,0,33,0,37,0,54,0,63,0,63,0,63,1,67,1,82,1,97,0,150,1,222,1,222,1,260,1,279,1
25,7,25,0,25,1,25,1,25,3,25,6,25,2,25,0,25,1,25,1,29,2,29,3,29,2,29,7,33,0,33,2,33,1,33,1,33,0,37,0,37,0,41,0,58,0,67,0,67,0,67,1,72,1,87,1,102,0,155,1,227,1,227,1,265,1,283,1
29,7,29,0,29,1,29,1,29,3,29,6,29,2,29,0,29,1,29,0,33,2,33,3,33,2,33,7,37,0,37,2,37,1,37,1,37,0,41,0,41,0,46,0,63,0,72,0,72,0,72,1,77,1,92,1,106,0,160,1,231,1,231,1,270,1,288,0
33,7,33,0,33,1,33,1,33,3,33,7,33,2,33,0,33,1,33,1,37,1,37,3,37,1,37,1,41,0,41,1,41,2,41,0,41,0,46,0,46,0,50,0,67,0,77,0,77,0,77,1,82,1,97,1,111,0,165,1,237,0,237,0,274,1,293,0
37,7,37,0,37,1,37,0,37,4,37,6,37,1,37,1,37,2,37,1,41,0,41,3,41,0,41,1,46,0,46,2,46,2,46,1,46,0,50,0,50,0,54,0,72,0,82,0,82,0,82,1,87,0,102,0,116,0,170,1,241,0,241,0,279,0,298,0
41,7,41,0,41,0,41,0,41,4,41,6,41,1,41,0,41,2,41,1,46,0,46,3,46,0,46,1,50,0,50,2,50,1,50,1,50,0,54,0,54,0,58,0,77,0,87,0,87,0,87,1,92,0,106,0,121,0,175,1,246,0,246,0,283,0,302,0
46,7,46,0,46,0,46,1,46,4,46,6,46,1,46,1,46,2,46,1,50,0,50,2,50,0,50,1,54,0,54,2,54,1,54,1,54,0,58,0,58,0,63,0,82,0,92,0,92,0,92,2,97,0,111,0,126,0,180,1,250,0,250,0,288,0,308,0
50,7,50,0,50,0,50,1,50,3,50,6,50,1,50,0,50,2,50,1,54,0,54,2,54,0,54,1,58,0,58,2,58,1,58,1,58,0,63,0,63,0,67,0,87,0,97,0,97,0,97,2,102,0,116,0,131,0,185,1,255,0,255,0,293,0,312,0
54,7,54,0,54,0,54,1,54,3,54,6,54,1,54,0,54,2,54,1,58,0,58,1,58,0,58,1,63,0,63,1,63,1,63,1,63,0,67,0,67,0,72,0,92,0,102,0,102,0,102,2,106,0,121,0,136,0,189,1,260,0,260,0,298,0,317,0
58,7,58,0,58,1,58,1,58,3,58,3,58,3,58,0,58,2,58,1,63,0,63,1,63,0,63,1,67,0,67,1,67,1,67,1,67,0,72,0,72,0,77,0,97,0,106,0,106,0,106,2,111,0,126,0,140,0,194,1,265,0,265,0,302,0,321,0
63,7,63,0,63,0,63,1,63,3,63,2,63,3,63,1,63,2,63,1,67,0,67,1,67,0,67,1,72,0,72,1,72,1,72,1,72,0,77,0,77,1,82,0,102,0,111,0,111,0,111,2,116,0,131,0,145,0,198,1,270,0,270,0,308,0,,
67,7,67,0,67,1,67,1,67,2,67,2,67,2,67,1,67,2,67,1,72,0,72,1,72,0,72,1,77,0,77,0,77,1,77,1,77,0,82,0,82,1,87,0,106,0,116,0,116,0,116,1,121,0,136,0,150,0,203,1,274,0,274,0,312,0,,
72,7,72,0,72,1,72,1,72,2,72,2,72,2,72,1,72,2,72,1,77,0,77,1,77,0,77,0,82,0,82,0,82,1,82,1,82,0,87,0,87,0,92,0,111,0,121,0,121,0,121,1,126,0,140,0,155,0,208,1,279,0,279,0,317,0,,
77,7,77,0,77,1,77,1,77,2,77,2,77,2,77,1,77,2,77,1,82,0,82,1,82,0,82,0,87,0,87,0,87,1,87,0,87,0,92,0,92,0,97,0,116,0,126,0,126,0,126,1,131,0,145,0,160,0,213,0,283,0,283,0,321,0,,
82,7,82,0,82,1,82,1,82,2,82,2,82,2,82,1,82,2,82,1,87,0,87,1,87,0,87,0,92,0,92,0,92,1,92,1,92,0,97,0,97,1,102,0,121,0,131,0,131,0,131,1,136,0,150,0,165,0,218,0,288,0,288,1,,,,
87,7,87,0,87,0,87,1,87,2,87,2,87,2,87,1,87,2,87,1,92,0,92,1,92,0,92,0,97,0,97,0,97,0,97,1,97,0,102,0,102,1,106,0,126,0,136,0,136,0,136,2,140,0,155,0,170,0,222,0,293,0,293,1,,,,
92,7,92,0,92,1,92,1,92,2,92,2,92,0,92,0,92,2,92,1,97,2,97,1,97,0,97,0,102,0,102,0,102,0,102,1,102,0,106,0,106,1,111,0,131,0,140,0,140,0,140,2,145,0,160,0,175,0,227,0,298,0,298,1,,,,
97,7,97,0,97,1,97,0,97,2,97,2,97,1,97,1,97,2,97,1,102,2,102,1,102,0,102,0,106,0,106,0,106,1,106,1,106,0,111,0,111,0,116,0,136,0,145,0,145,0,145,2,150,0,165,0,180,0,231,0,302,0,302,1,,,,
102,7,102,0,102,1,102,0,102,2,102,2,102,1,102,1,102,2,102,0,106,2,106,1,106,0,106,0,111,0,111,0,111,1,111,1,111,0,116,0,116,0,121,0,140,0,150,0,150,0,150,2,155,0,170,0,185,0,237,0,308,1,308,1,,,,
106,7,106,0,106,0,106,0,106,2,106,3,106,1,106,1,106,2,106,1,111,2,111,1,111,0,111,0,116,0,116,0,116,1,116,1,116,0,121,0,121,0,126,0,145,0,155,0,155,0,155,2,160,0,175,0,189,0,241,0,312,1,312,1,,,,
111,7,111,0,111,0,111,0,111,2,111,3,111,1,111,1,111,2,111,1,116,2,116,1,116,0,116,0,121,0,121,0,121,1,121,1,121,0,126,0,126,0,131,0,150,0,160,0,160,0,160,2,165,1,180,0,194,0,246,0,317,1,317,1,,,,
116,7,116,0,116,0,116,0,116,1,116,3,116,1,116,1,116,2,116,1,121,2,121,1,121,0,121,0,126,0,126,0,126,1,126,1,126,0,131,0,131,0,136,0,155,0,165,0,165,0,165,2,170,1,185,0,198,0,250,0,321,1,321,1,,,,
121,7,121,0,121,0,121,0,121,1,121,3,121,1,121,1,121,2,121,1,126,2,126,0,126,0,126,0,131,0,131,0,131,1,131,1,131,0,136,0,136,0,140,0,160,0,170,0,170,0,170,2,175,1,189,0,203,0,255,1,,,,,,,,
126,7,126,0,126,1,126,1,126,1,126,5,126,1,126,0,126,2,126,0,131,2,131,0,131,0,131,0,136,0,136,0,136,1,136,1,136,0,140,0,140,0,145,0,165,0,175,0,175,0,175,2,180,1,194,0,208,0,260,1,,,,,,,,
131,7,131,0,131,1,131,1,131,1,131,4,131,1,131,0,131,2,131,0,136,2,136,0,136,0,136,0,140,0,140,0,140,1,140,1,140,0,145,0,145,0,150,0,170,0,180,0,180,0,180,2,185,1,198,0,213,0,265,1,,,,,,,,
136,7,136,0,136,1,136,1,136,1,136,4,136,0,136,0,136,2,136,1,140,2,140,0,140,0,140,0,145,0,145,0,145,1,145,1,145,0,150,0,150,0,155,0,175,0,185,0,185,0,185,2,189,1,203,0,218,0,270,1,,,,,,,,
140,7,140,0,140,1,140,1,140,1,140,5,140,1,140,0,140,2,140,0,145,2,145,0,145,0,145,0,150,0,150,0,150,1,150,1,150,0,155,0,155,0,160,1,180,0,189,0,189,0,189,2,194,0,208,0,222,0,274,1,,,,,,,,
145,7,145,0,145,1,145,1,145,1,145,5,145,1,145,1,145,2,145,0,150,2,150,0,150,0,150,0,155,0,155,0,155,1,155,1,155,0,160,0,160,0,165,1,185,0,194,0,194,0,194,1,198,0,213,0,227,0,279,1,,,,,,,,
150,7,150,0,150,1,150,1,150,1,150,5,150,1,150,0,150,2,150,0,155,2,155,0,155,0,155,0,160,0,160,0,160,1,160,1,160,0,165,0,165,0,170,1,189,0,198,0,198,0,198,1,203,0,218,0,231,0,283,1,,,,,,,,
155,7,155,0,155,1,155,1,155,1,155,5,155,1,155,0,155,2,155,0,160,1,160,0,160,1,160,0,165,0,165,0,165,0,165,1,165,0,170,0,170,0,175,1,194,0,203,0,203,0,203,1,208,0,222,1,237,0,288,0,,,,,,,,
160,7,160,0,160,0,160,1,160,2,160,4,160,2,160,0,160,2,160,0,165,1,165,0,165,1,165,0,170,0,170,0,170,0,170,1,170,0,175,0,175,0,180,1,198,0,208,0,208,0,208,1,213,0,227,1,241,0,293,0,,,,,,,,
165,7,165,0,165,0,165,1,165,3,165,4,165,2,165,1,165,2,165,0,170,1,170,0,170,1,170,0,175,0,175,0,175,0,175,1,175,0,180,0,180,0,185,1,203,0,213,0,213,0,213,1,218,0,231,1,246,0,298,0,,,,,,,,
170,7,170,0,170,0,170,1,170,3,170,3,170,1,170,1,170,2,170,0,175,1,175,0,175,1,175,0,180,0,180,0,180,0,180,1,180,0,185,0,185,0,189,0,208,0,218,0,218,0,218,1,222,0,237,1,250,0,302,0,,,,,,,,
175,7,175,0,175,1,175,1,175,3,175,4,175,1,175,1,175,2,175,1,180,1,180,0,180,1,180,0,185,0,185,0,185,0,185,1,185,0,189,0,189,0,194,0,213,0,222,0,222,0,222,1,227,0,241,1,255,0,308,0,,,,,,,,
180,7,180,0,180,0,180,1,180,3,180,5,180,2,180,0,180,2,180,0,185,1,185,0,185,1,185,0,189,0,189,0,189,0,189,1,189,0,194,0,194,0,198,0,218,0,227,1,227,0,227,1,231,0,246,1,260,0,312,0,,,,,,,,
