Time,Manual_Count,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Apple,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,Netgear Inc,Time,D-Link International,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Ubiquiti Networks,Time,Dell Inc,Time,Routerboard.com,Time,Belkin International Inc.,Time,ASUSTek COMPUTER INC.,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Apple Inc,Time,Hewlett-Packard Company,Time,Hewlett Packard,Time,IBM Corp,Time,IBM,Time,Netgear Inc.,Time,Liteon Technology Corporation,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"Apple, Inc",Time,"NETGEAR INC.,",Time,SEIKO EPSON CORPORATION,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,"Samsung Electro Mechanics co., LTD.",Time,NETGEAR,Time,DrayTek Corp.,Time,Lexmark International Inc.,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Liteon Tech Corp.,Time,ASRock Incorporation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,0,5,0,5,0,5,0,9,0,9,0,9,0,13,0,13,0,13,0,13,0,18,0,18,0,18,0,18,0,31,0,35,0,39,0,44,0,48,0,65,0,124,0,124,0,158,0,252,0
5,7,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,9,0,9,0,9,0,9,0,13,0,13,0,13,0,18,0,18,0,18,0,18,0,22,0,22,0,22,0,22,0,35,0,39,0,44,0,48,0,52,0,69,0,128,0,128,0,164,0,257,0
9,7,9,0,9,0,9,1,9,0,9,0,9,0,9,0,9,0,9,0,13,0,13,0,13,0,13,0,18,0,18,0,18,0,22,0,22,0,22,0,22,0,27,0,27,0,27,0,27,0,39,0,44,0,48,0,52,0,56,0,74,0,132,0,132,0,170,0,261,0
13,7,13,0,13,0,13,1,13,0,13,0,13,0,13,0,13,0,13,0,18,0,18,0,18,0,18,0,22,0,22,0,22,0,27,0,27,0,27,0,27,0,31,0,31,0,31,0,31,0,44,0,48,0,52,0,56,0,61,0,77,0,137,0,137,0,175,0,265,0
18,7,18,0,18,1,18,1,18,0,18,0,18,0,18,0,18,0,18,0,22,0,22,0,22,0,22,0,27,0,27,0,27,0,31,0,31,0,31,0,31,0,35,0,35,0,35,0,35,0,48,0,52,0,56,0,61,0,65,0,81,0,141,0,141,0,176,0,269,0
22,7,22,0,22,1,22,1,22,0,22,0,22,0,22,0,22,0,22,0,27,0,27,0,27,0,27,0,31,0,31,0,31,0,35,0,35,0,35,0,35,0,39,0,39,0,39,0,39,0,52,0,56,0,61,0,65,0,69,0,86,0,151,0,151,0,180,0,274,0
27,7,27,0,27,1,27,1,27,0,27,0,27,0,27,0,27,0,27,0,31,0,31,0,31,0,31,0,35,0,35,0,35,0,39,0,39,0,39,0,39,0,44,0,44,0,44,0,44,0,56,0,61,0,65,0,69,0,74,0,90,0,158,0,158,0,186,0,277,0
31,7,31,0,31,1,31,1,31,0,31,0,31,0,31,0,31,0,31,0,35,0,35,0,35,0,35,0,39,0,39,0,39,1,44,0,44,0,44,0,44,0,48,0,48,0,48,0,48,0,61,0,65,0,69,0,74,0,77,0,94,0,164,0,164,0,189,0,288,0
35,7,35,0,35,1,35,2,35,0,35,0,35,0,35,0,35,0,35,0,39,0,39,0,39,0,39,0,44,0,44,0,44,1,48,0,48,0,48,0,48,0,52,0,52,0,52,0,52,0,65,0,69,0,74,0,77,0,81,0,98,0,170,0,170,0,193,0,292,0
