Time,Manual_Count,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Netgear Inc,Time,D-Link International,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,ASUSTek COMPUTER INC.,Time,Hewlett-Packard Company,Time,Hewlett Packard,Time,Apple,Time,Apple Inc,Time,"NETGEAR INC.,",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Ubiquiti Networks,Time,Dell Inc,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,ASRock Incorporation,Time,Netgear Inc.,Time,"Samsung Electro Mechanics co., LTD.",Time,Belkin International Inc.,Time,Liteon Tech Corp.,Time,IBM Corp,Time,Lexmark International Inc.,Time,"Apple, Inc",Time,DrayTek Corp.,Time,ICP Electronics Inc.,Time,SEIKO EPSON CORPORATION,Time,Routerboard.com,Time,Liteon Technology Corporation,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Sony Mobile Communications AB,Time,WISOL,Time,HTC Corporation,Time,"NEC Platforms, Ltd"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,5,0,5,0,5,0,5,0,9,0,9,0,13,0,13,0,13,0,13,0,13,0,22,0,22,0,30,0,47,0,56,0,77,0,85,0,98,0,111,0,115,0,140,0,153,0,166,0,183,0,204,0,280,0,406,0
5,10,5,1,5,1,5,1,5,1,5,0,5,1,5,1,5,2,5,1,9,1,9,1,9,1,9,2,13,1,13,0,18,2,18,1,18,1,18,1,18,1,26,0,26,1,35,0,51,1,60,1,81,1,89,1,102,0,115,1,119,1,144,1,157,1,169,0,186,1,208,1,284,0,,
9,10,9,1,9,1,9,2,9,1,9,0,9,1,9,1,9,2,9,1,13,1,13,1,13,3,13,2,18,1,18,0,22,2,22,1,22,1,22,2,22,1,30,0,30,1,39,0,56,1,64,1,85,1,94,1,107,0,119,1,123,1,149,1,161,1,174,0,191,1,212,1,288,0,,
13,10,13,1,13,1,13,2,13,1,13,0,13,1,13,1,13,2,13,1,18,1,18,1,18,4,18,2,22,1,22,0,26,2,26,1,26,1,26,2,26,1,35,0,35,1,44,0,60,1,69,1,89,1,98,1,111,0,123,1,128,1,153,1,166,1,178,0,195,1,216,1,292,0,,
18,10,18,1,18,2,18,2,18,1,18,0,18,1,18,1,18,2,18,1,22,1,22,1,22,4,22,2,26,1,26,0,30,2,30,1,30,1,30,2,30,1,39,0,39,1,47,0,64,1,72,1,94,1,102,1,115,0,128,1,132,1,157,1,169,1,183,0,199,1,221,1,297,0,,
22,10,22,1,22,2,22,2,22,1,22,0,22,1,22,1,22,2,22,1,26,1,26,1,26,4,26,4,30,1,30,0,35,2,35,1,35,1,35,3,35,1,44,0,44,2,51,0,69,1,77,1,98,1,107,1,119,0,132,1,136,1,161,1,174,1,186,0,204,1,225,1,301,0,,
26,10,26,1,26,2,26,2,26,1,26,0,26,1,26,1,26,2,26,1,30,2,30,1,30,5,30,5,35,1,35,0,39,2,39,1,39,1,39,3,39,1,47,1,47,2,56,0,72,1,81,1,102,1,111,1,123,0,136,1,140,1,166,1,178,1,191,0,208,1,229,1,305,0,,
30,10,30,1,30,2,30,2,30,2,30,0,30,1,30,1,30,2,30,1,35,2,35,1,35,5,35,6,39,1,39,0,44,2,44,1,44,1,44,3,44,1,51,1,51,2,60,0,77,1,85,1,107,1,115,1,128,0,140,1,144,1,169,1,183,1,195,0,212,1,234,1,309,0,,
35,10,35,1,35,2,35,2,35,2,35,0,35,1,35,1,35,2,35,1,39,2,39,1,39,5,39,6,44,1,44,1,47,2,47,1,47,1,47,3,47,1,56,1,56,2,64,0,81,1,89,1,111,1,119,1,132,0,144,1,149,1,174,1,186,1,199,0,216,1,238,1,314,0,,
39,10,39,1,39,2,39,2,39,2,39,0,39,1,39,1,39,2,39,1,44,2,44,1,44,5,44,7,47,1,47,1,51,3,51,1,51,1,51,3,51,1,60,1,60,2,69,0,85,1,94,1,115,1,123,1,136,0,149,1,153,1,178,1,191,1,204,0,221,1,242,1,317,0,,
44,10,44,1,44,2,44,2,44,2,44,0,44,1,44,1,44,2,44,1,47,2,47,1,47,5,47,7,51,1,51,1,56,3,56,1,56,1,56,3,56,1,64,1,64,2,72,0,89,1,98,1,119,1,128,1,140,0,153,1,157,1,183,1,195,1,208,0,225,1,246,1,322,0,,
47,10,47,1,47,2,47,2,47,2,47,0,47,1,47,1,47,2,47,1,51,2,51,1,51,5,51,8,56,1,56,1,60,3,60,1,60,1,60,3,60,1,69,1,69,2,77,0,94,1,102,1,123,1,132,1,144,0,157,1,161,1,186,1,199,1,212,0,229,1,251,1,326,0,,
51,10,51,1,51,2,51,2,51,2,51,0,51,1,51,1,51,2,51,1,56,2,56,1,56,5,56,9,60,1,60,1,64,3,64,1,64,1,64,3,64,1,72,1,72,2,81,0,98,1,107,1,128,1,136,1,149,0,161,1,166,1,191,1,204,1,216,0,234,1,254,1,331,0,,
56,10,56,1,56,2,56,2,56,2,56,0,56,1,56,1,56,2,56,1,60,2,60,1,60,5,60,10,64,1,64,1,69,3,69,1,69,1,69,3,69,1,77,1,77,2,85,0,102,1,111,1,132,1,140,1,153,0,166,1,169,1,195,1,208,1,221,0,238,1,258,1,335,0,,
60,10,60,1,60,2,60,2,60,2,60,0,60,1,60,1,60,2,60,1,64,1,64,1,64,5,64,9,69,1,69,1,72,3,72,1,72,1,72,3,72,1,81,1,81,2,89,0,107,1,115,1,136,1,144,1,157,0,169,1,174,1,199,1,212,1,225,0,242,1,263,1,339,0,,
64,10,64,1,64,4,64,3,64,2,64,0,64,1,64,1,64,2,64,1,69,1,69,1,69,6,69,9,72,1,72,1,77,3,77,1,77,1,77,4,77,1,85,1,85,2,94,1,111,1,119,1,140,1,149,1,161,0,174,1,178,0,204,1,216,1,229,1,246,1,267,1,343,0,,
69,10,69,1,69,4,69,3,69,2,69,0,69,1,69,1,69,2,69,1,72,1,72,1,72,6,72,9,77,1,77,1,81,3,81,1,81,1,81,4,81,1,89,0,89,2,98,1,115,1,123,1,144,1,153,1,166,0,178,1,183,0,208,1,221,1,234,1,251,1,271,1,347,0,,
72,10,72,1,72,4,72,3,72,2,72,0,72,0,72,1,72,2,72,1,77,1,77,1,77,6,77,10,81,1,81,1,85,3,85,1,85,1,85,4,85,1,94,1,94,2,102,1,119,1,128,1,149,1,157,1,169,0,183,1,186,0,212,1,225,1,238,1,254,1,276,1,351,0,,
77,10,77,1,77,4,77,3,77,2,77,0,77,0,77,1,77,2,77,1,81,1,81,1,81,6,81,11,85,1,85,1,89,3,89,1,89,1,89,4,89,1,98,1,98,2,107,1,123,1,132,1,153,1,161,1,174,0,186,1,191,0,216,1,229,1,242,2,258,1,280,1,356,0,,
