Time,Manual_Count,Time,Netgear Inc.,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,ASRock Incorporation,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,Apple,Time,Netgear Inc,Time,Belkin International Inc.,Time,D-Link International,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"Samsung Electro Mechanics co., LTD.",Time,DrayTek Corp.,Time,"NETGEAR INC.,",Time,Hewlett Packard,Time,Hewlett-Packard Company,Time,"Apple, Inc.",Time,IBM Corp,Time,Dell Inc,Time,NETGEAR,Time,ASUSTek COMPUTER INC.,Time,Routerboard.com,Time,Liteon Technology Corporation,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,"Apple, Inc",Time,Lexmark International Inc.,Time,D-LINK INTERNATIONAL PTE LIMITED
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,10,0,10,0,15,0,19,0,27,0,35,0,35,0,40,0,53,0,53,0,57,0,70,0,82,0,91,0,126,0,138,0,164,0,222,0
6,11,6,0,6,0,6,1,6,1,6,1,6,0,6,0,6,1,6,0,6,0,6,0,6,1,6,1,15,0,15,0,19,0,23,0,31,1,40,1,40,1,44,1,57,1,57,0,61,1,74,1,86,0,97,1,130,0,142,1,168,0,227,1
10,11,10,0,10,0,10,1,10,1,10,1,10,0,10,0,10,1,10,0,10,0,10,0,10,1,10,1,19,0,19,0,23,0,27,0,35,1,44,1,44,1,48,1,61,1,61,0,65,1,78,1,91,0,100,1,134,0,147,1,172,0,231,1
15,11,15,0,15,0,15,1,15,1,15,1,15,0,15,0,15,1,15,0,15,0,15,0,15,2,15,0,23,0,23,0,27,0,31,0,40,1,48,1,48,1,53,1,65,1,65,0,70,1,82,1,97,0,104,1,138,0,151,1,176,0,235,1
19,11,19,0,19,0,19,1,19,1,19,1,19,0,19,0,19,1,19,0,19,0,19,0,19,2,19,1,27,0,27,0,31,0,35,0,44,1,53,1,53,1,57,1,70,1,70,0,74,1,86,1,100,0,109,1,142,0,155,1,180,0,240,1
23,11,23,0,23,0,23,1,23,2,23,1,23,0,23,0,23,1,23,0,23,0,23,0,23,2,23,1,31,0,31,0,35,0,40,0,48,1,57,1,57,1,61,1,74,1,74,0,78,1,91,1,104,0,113,1,147,0,159,1,185,0,,
27,11,27,0,27,0,27,1,27,2,27,1,27,0,27,0,27,1,27,0,27,0,27,0,27,2,27,1,35,0,35,0,40,0,44,0,53,1,61,1,61,1,65,1,78,1,78,0,82,1,97,1,109,0,117,1,151,0,164,1,189,0,,
31,11,31,0,31,0,31,1,31,2,31,1,31,0,31,0,31,1,31,0,31,0,31,0,31,2,31,1,40,1,40,0,44,0,48,0,57,1,65,1,65,1,70,1,82,1,82,0,86,1,100,1,113,0,122,1,155,0,168,1,193,0,,
35,11,35,0,35,0,35,1,35,2,35,1,35,0,35,0,35,1,35,0,35,0,35,0,35,2,35,0,44,1,44,0,48,0,53,0,61,1,70,1,70,1,74,1,86,1,86,0,91,1,104,1,117,0,126,1,159,0,172,1,197,0,,
40,11,40,0,40,0,40,1,40,2,40,1,40,0,40,0,40,1,40,0,40,0,40,0,40,2,40,1,48,1,48,0,53,0,57,0,65,1,74,2,74,1,78,1,91,1,91,0,97,1,109,1,122,0,130,1,164,0,176,1,202,0,,
44,11,44,0,44,0,44,1,44,2,44,1,44,0,44,0,44,2,44,0,44,0,44,0,44,2,44,1,53,1,53,0,57,0,61,0,70,1,78,2,78,1,82,1,97,1,97,0,100,1,113,1,126,0,134,1,168,0,180,1,206,0,,
48,11,48,0,48,0,48,1,48,2,48,1,48,0,48,0,48,3,48,0,48,0,48,0,48,2,48,1,57,1,57,0,61,0,65,0,74,1,82,2,82,1,86,1,100,1,100,0,104,1,117,1,130,0,138,1,172,0,185,1,210,0,,
53,11,53,0,53,0,53,1,53,2,53,1,53,1,53,0,53,3,53,0,53,0,53,0,53,2,53,1,61,1,61,0,65,0,70,0,78,1,86,2,86,1,91,1,104,1,104,0,109,1,122,1,134,0,142,1,176,0,189,1,214,0,,
57,11,57,0,57,0,57,1,57,2,57,1,57,1,57,0,57,3,57,0,57,0,57,0,57,2,57,1,65,1,65,0,70,0,74,0,82,1,91,2,91,1,97,1,109,1,109,0,113,1,126,1,138,0,147,1,180,0,193,1,218,0,,
61,11,61,0,61,0,61,1,61,2,61,1,61,1,61,0,61,2,61,0,61,0,61,0,61,2,61,1,70,1,70,0,74,0,78,0,86,1,97,2,97,1,100,1,113,1,113,0,117,1,130,1,142,0,151,1,185,0,197,1,222,0,,
65,11,65,0,65,0,65,1,65,2,65,1,65,1,65,0,65,2,65,0,65,0,65,0,65,2,65,1,74,1,74,0,78,0,82,0,91,1,100,2,100,1,104,1,117,1,117,0,122,1,134,1,147,0,155,1,189,0,202,1,227,0,,
70,11,70,0,70,0,70,1,70,2,70,1,70,1,70,0,70,2,70,0,70,0,70,0,70,2,70,1,78,1,78,0,82,0,86,0,97,1,104,2,104,1,109,1,122,1,122,0,126,1,138,1,151,0,159,2,193,0,206,0,231,0,,
74,11,74,0,74,0,74,1,74,2,74,1,74,1,74,0,74,4,74,0,74,0,74,0,74,2,74,1,82,1,82,0,86,0,91,0,100,1,109,2,109,1,113,1,126,1,126,0,130,1,142,1,155,0,164,2,197,0,210,0,235,0,,
78,11,78,0,78,0,78,1,78,2,78,1,78,1,78,0,78,4,78,0,78,0,78,0,78,2,78,1,86,1,86,0,91,0,97,0,104,1,113,2,113,0,117,1,130,1,130,0,134,0,147,0,159,0,168,1,202,0,214,0,240,0,,
82,11,82,0,82,0,82,1,82,2,82,1,82,1,82,0,82,3,82,0,82,0,82,0,82,2,82,1,91,1,91,0,97,0,100,0,109,1,117,2,117,0,122,1,134,0,134,0,138,1,151,0,164,0,172,1,206,0,218,0,,,,
86,11,86,0,86,0,86,1,86,2,86,1,86,1,86,0,86,3,86,0,86,0,86,0,86,2,86,1,97,1,97,0,100,0,104,0,113,1,122,2,122,0,126,1,138,0,138,0,142,1,155,0,168,0,176,1,210,0,222,0,,,,
91,11,91,0,91,0,91,1,91,2,91,1,91,1,91,0,91,3,91,0,91,0,91,0,91,2,91,1,100,1,100,0,104,0,109,0,117,1,126,2,126,0,130,1,142,1,142,0,147,1,159,0,172,0,180,1,214,0,227,0,,,,
