Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Apple,Time,NETGEAR,Time,"Murata Manufacturing Co.,Ltd.",Time,Belkin International Inc.,Time,"Apple, Inc.",Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Netgear Inc.,Time,IBM Corp,Time,"NETGEAR INC.,",Time,DrayTek Corp.,Time,Billion Electric Co. Ltd.,Time,"Samsung Electro Mechanics co., LTD.",Time,Intel Corporate,Time,"Micro-Star Int'l Co, Ltd",Time,Hewlett Packard,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,Wistron Corporation,Time,KYOCERA Document Solutions Inc.,Time,Hon Hai Precision Ind.Co.Ltd,Time,"Apple, Inc",Time,IBM,Time,SEIKO EPSON CORPORATION,Time,Hewlett-Packard Company,Time,LG Electronics,Time,Ubiquiti Networks,Time,Liteon Tech Corp.,Time,Lexmark International Inc.,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,"Samsung Electro Mechanics co.,LTD."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,21,8,0,8,0,8,0,8,1,8,1,8,0,8,0,8,0,8,0,8,0,17,0,17,0,17,1,27,0,27,0,36,0,45,0,101,0,120,0,120,0,148,0,167,0,167,0,204,0,213,0,232,0,232,0,316,0,326,0,344,0,411,0,467,0,504,0
38,21,17,1,17,1,17,2,17,4,17,2,17,1,17,1,17,1,17,1,17,1,27,1,27,1,27,2,36,1,36,1,45,1,55,1,110,1,129,1,129,1,157,1,176,1,176,1,213,1,223,1,241,1,241,1,326,1,335,1,354,1,420,1,476,1,514,1
82,21,27,1,27,1,27,2,27,4,27,3,27,1,27,1,27,1,27,1,27,1,36,1,36,1,36,2,45,1,45,1,55,1,64,2,120,1,139,1,139,1,167,1,185,1,185,1,223,1,232,1,251,1,251,1,335,1,344,1,363,1,429,1,486,1,523,1
91,22,36,1,36,1,36,2,36,4,36,3,36,1,36,1,36,1,36,1,36,1,45,1,45,1,45,2,55,1,55,1,64,1,74,2,129,1,148,1,148,1,176,1,194,1,194,1,232,1,241,1,260,1,260,1,344,1,354,1,373,1,439,1,495,1,532,1
122,22,45,1,45,1,45,2,45,5,45,3,45,1,45,1,45,1,45,1,45,1,55,1,55,1,55,2,64,1,64,1,74,1,83,2,139,1,157,1,157,1,185,1,204,1,204,1,241,1,251,1,269,1,269,1,354,1,363,1,383,1,448,1,504,1,541,1
137,21,55,1,55,1,55,2,55,7,55,3,55,1,55,1,55,1,55,1,55,1,64,1,64,1,64,2,74,1,74,1,83,1,92,2,148,1,167,2,167,1,194,1,213,1,213,1,251,1,260,1,279,1,279,1,363,1,373,1,391,1,458,1,514,1,,
166,20,64,1,64,1,64,2,64,6,64,2,64,0,64,0,64,0,64,1,64,1,74,1,74,0,74,2,83,0,83,1,92,0,101,2,157,1,176,1,176,0,204,0,223,0,223,0,260,0,269,1,288,0,288,0,373,0,383,0,401,0,467,0,523,0,,
219,23,74,1,74,1,74,2,74,5,74,2,74,0,74,1,74,0,74,1,74,1,83,1,83,0,83,2,92,0,92,1,101,0,110,2,167,2,185,1,185,0,213,0,232,0,232,0,269,0,279,0,297,0,297,0,383,0,391,0,411,0,476,0,532,0,,
260,21,83,1,83,1,83,2,83,5,83,2,83,0,83,1,83,0,83,1,83,1,92,1,92,0,92,2,101,0,101,1,110,0,120,1,176,2,194,1,194,0,223,0,241,0,241,0,279,0,288,0,306,0,306,0,391,0,401,0,420,0,486,0,541,0,,
