Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,Apple,Time,NETGEAR,Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Netgear Inc.,Time,Intel Corporate,Time,Ubiquiti Networks,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Belkin International Inc.,Time,"Samsung Electronics Co., LTD",Time,Hewlett-Packard Company,Time,"Samsung Electro Mechanics co., LTD.",Time,Lexmark International Inc.,Time,Liteon Tech Corp.,Time,Wistron Corporation,Time,"Samsung Electro Mechanics co.,LTD.",Time,"Apple, Inc",Time,IBM,Time,HTC Corporation,Time,"Micro-Star Int'l Co, Ltd",Time,WISOL,Time,SEIKO EPSON CORPORATION,Time,zte corporation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,0,9,1,27,0,27,0,27,0,27,0,27,0,36,0,46,0,46,0,55,0,64,0,74,0,120,0,167,0,167,0,246,0,302,0,313,0
13,15,9,1,9,1,9,2,9,1,9,3,9,1,9,2,9,2,9,1,18,1,18,2,36,1,36,1,36,1,36,1,36,1,46,1,55,1,55,1,64,1,74,1,83,1,130,1,179,1,179,1,255,1,313,1,,
69,15,18,1,18,1,18,2,18,1,18,3,18,3,18,2,18,2,18,1,27,1,27,2,46,1,46,1,46,1,46,1,46,1,55,1,64,1,64,1,74,1,83,1,92,1,139,1,189,1,189,1,264,1,,,,
78,14,27,1,27,1,27,3,27,1,27,3,27,3,27,2,27,2,27,1,36,1,36,2,55,1,55,1,55,1,55,1,55,1,64,1,74,1,74,1,83,1,92,1,102,1,148,1,198,1,198,1,275,1,,,,
148,15,36,1,36,1,36,3,36,1,36,3,36,3,36,2,36,2,36,1,46,1,46,2,64,1,64,1,64,1,64,1,64,1,74,1,83,1,83,1,92,1,102,1,111,1,157,1,208,1,208,1,284,1,,,,
171,15,46,1,46,1,46,3,46,1,46,5,46,4,46,2,46,2,46,1,55,1,55,2,74,1,74,1,74,1,74,1,74,1,83,1,92,1,92,1,102,1,111,1,120,1,167,1,217,1,217,2,294,1,,,,
196,13,55,1,55,1,55,3,55,1,55,4,55,4,55,2,55,2,55,1,64,1,64,2,83,0,83,0,83,1,83,0,83,0,92,0,102,0,102,0,111,0,120,1,130,0,179,0,226,0,226,1,302,0,,,,
225,13,64,1,64,1,64,3,64,1,64,3,64,4,64,2,64,1,64,1,74,0,74,2,92,0,92,0,92,1,92,0,92,0,102,1,111,0,111,0,120,0,130,0,139,0,189,0,236,0,236,1,313,0,,,,
262,13,74,1,74,1,74,3,74,1,74,3,74,3,74,2,74,1,74,1,83,0,83,1,102,0,102,0,102,1,102,0,102,0,111,1,120,0,120,0,130,0,139,0,148,0,198,0,246,0,246,1,,,,,,
