Time,Manual_Count,Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,"NETGEAR INC.,",Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,Intel Corporate,Time,HTC Corporation,Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,IBM Corp,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"Huawei Technologies Co., Ltd",Time,"Samsung Electro Mechanics co.,LTD.",Time,"Apple, Inc",Time,SEIKO EPSON CORPORATION,Time,"Samsung Electro Mechanics co., LTD."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4,0,4,0,8,0,8,0,39,0,47,0,47,0,68,0,145,0
6,17,4,0,4,0,4,1,4,1,4,0,4,1,4,2,4,1,4,1,4,0,4,1,8,1,8,0,8,0,12,0,12,0,43,0,52,0,52,0,73,0,150,1
16,17,8,1,8,1,8,0,8,2,8,1,8,1,8,2,8,1,8,2,8,0,8,1,12,1,12,0,12,1,17,0,17,0,47,0,56,0,56,0,77,0,154,1
40,17,12,1,12,1,12,0,12,1,12,1,12,1,12,2,12,1,12,1,12,0,12,1,17,0,17,0,17,1,21,0,21,0,52,0,60,0,60,0,81,0,,
77,17,17,0,17,0,17,0,17,1,17,1,17,1,17,1,17,1,17,2,17,0,17,1,21,0,21,1,21,1,26,0,26,0,56,0,64,0,64,0,86,0,,
109,17,21,0,21,1,21,0,21,2,21,0,21,1,21,2,21,1,21,1,21,0,21,1,26,0,26,0,26,1,30,0,30,0,60,0,68,0,68,0,90,0,,
114,15,26,0,26,1,26,0,26,2,26,0,26,1,26,1,26,1,26,1,26,0,26,1,30,0,30,0,30,1,34,0,34,0,64,0,73,0,73,0,94,1,,
140,15,30,0,30,1,30,0,30,1,30,0,30,1,30,2,30,1,30,2,30,0,30,1,34,0,34,0,34,1,39,0,39,0,68,0,77,0,77,0,98,0,,
,,34,0,34,1,34,1,34,1,34,1,34,1,34,2,34,0,34,0,34,1,34,1,39,0,39,0,39,1,43,0,43,0,73,0,81,0,81,0,103,0,,
