Time,Manual_Count,Time,Intel Corporate,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Microsoft Corporation,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"NETGEAR INC.,",Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Belkin International Inc.,Time,Netgear Inc.,Time,"Murata Manufactuaring Co.,Ltd.",Time,Hewlett Packard,Time,"Micro-Star Int'l Co, Ltd",Time,"Huawei Technologies Co., Ltd",Time,HTC Corporation,Time,"Apple, Inc",Time,SEIKO EPSON CORPORATION,Time,IBM Corp,Time,IBM,Time,Ubiquiti Networks,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"Samsung Electronics Co.,Ltd",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,"ELITEGROUP COMPUTER SYSTEM CO., LTD.",Time,Liteon Technology Corporation,Time,"Samsung Electro Mechanics co., LTD.",Time,ASUSTek COMPUTER INC.,Time,"Samsung Electronics Co., LTD",Time,Apple Inc,Time,"Apple, Inc.",Time,WISOL
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,2,0,2,0,2,1,2,0,2,0,2,0,2,1,2,0,2,0,2,1,2,0,6,0,10,0,36,0,62,0,62,0,75,0,88,0,100,0,117,0,127,0,127,0,152,0,156,0,165,0,174,0,247,0,275,0,370,0,406,0,436,0,480,0,489,0,546,0
8,7,6,1,6,1,6,2,6,1,6,1,6,1,6,2,6,2,6,2,6,2,6,1,10,1,14,1,40,1,66,1,66,1,79,1,92,1,105,1,122,1,131,1,131,1,156,1,160,1,169,1,178,1,252,1,279,1,375,1,410,1,441,1,485,1,493,1,550,1
18,7,10,2,10,1,10,2,10,1,10,1,10,1,10,2,10,2,10,2,10,2,10,1,14,1,19,1,45,1,71,1,71,1,84,1,96,1,109,1,127,1,135,1,135,1,160,1,165,1,174,1,182,1,256,1,284,1,379,1,414,1,445,1,489,1,497,1,554,1
92,7,14,3,14,1,14,2,14,1,14,1,14,1,14,3,14,2,14,2,14,2,14,1,19,1,23,1,49,1,75,1,75,1,88,1,100,1,114,1,131,1,139,1,139,1,165,1,169,1,178,1,186,1,261,1,288,1,384,1,419,1,449,1,493,1,502,1,559,1
119,7,19,3,19,1,19,2,19,1,19,1,19,1,19,3,19,2,19,3,19,2,19,1,23,1,27,1,54,1,79,1,79,1,92,1,105,1,117,1,135,1,144,1,144,1,169,1,174,1,182,1,191,1,270,1,292,1,388,1,423,1,454,1,497,1,506,1,563,1
146,7,23,3,23,1,23,2,23,1,23,1,23,1,23,3,23,2,23,4,23,2,23,1,27,1,32,1,58,1,84,1,84,1,96,1,109,1,122,1,139,1,148,1,148,1,174,1,178,1,186,1,195,1,275,0,297,1,393,1,427,1,458,1,502,1,511,1,567,1
184,7,27,2,27,1,27,2,27,0,27,1,27,1,27,3,27,2,27,4,27,1,27,1,32,1,36,1,62,0,88,0,88,0,100,1,114,1,127,0,144,0,152,0,152,0,178,0,182,0,191,0,199,1,279,0,301,0,397,1,432,0,462,0,506,0,515,0,571,0
230,7,32,2,32,1,32,1,32,0,32,1,32,1,32,3,32,2,32,3,32,1,32,1,36,1,40,1,66,0,92,0,92,0,105,1,117,1,131,0,148,0,156,0,156,0,182,0,186,0,195,0,204,1,284,0,306,0,402,0,436,0,467,0,511,0,519,0,576,0
341,7,36,1,36,1,36,1,36,0,36,1,36,1,36,3,36,2,36,3,36,1,36,1,40,1,45,1,71,0,96,0,96,0,109,1,122,1,135,0,152,0,160,0,160,0,186,0,191,0,199,0,208,0,288,0,310,0,406,0,441,0,471,0,515,0,524,0,580,0
