Time,Manual_Count,Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,"NETGEAR INC.,",Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,NETCOMM LIMITED,Time,Routerboard.com,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,IBM Corp,Time,"Samsung Electro Mechanics co.,LTD.",Time,LG Electronics,Time,SEIKO EPSON CORPORATION,Time,"Apple, Inc",Time,Liteon Technology Corporation,Time,"Micro-Star Int'l Co, Ltd",Time,Hon Hai Precision Ind.Co.Ltd,Time,Intel Corporate,Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,"Huawei Technologies Co., Ltd",Time,Ubiquiti Networks,Time,"Apple, Inc.",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Microsoft Corporation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,4,0,4,0,4,0,4,0,4,0,4,1,4,0,4,0,8,0,8,0,8,0,12,0,12,0,34,0,38,0,38,0,65,0,78,1,95,0,99,0,112,0,172,0,177,0,181,0,185,0,259,0,272,0,272,0
45,6,8,2,8,1,8,1,8,1,8,1,8,3,8,1,8,1,12,1,12,1,12,1,16,1,16,1,38,1,43,1,43,1,69,1,82,2,99,1,103,1,116,1,177,1,181,1,185,1,190,1,263,1,276,1,276,1
49,6,12,2,12,1,12,2,12,1,12,2,12,4,12,1,12,1,16,1,16,1,16,1,21,1,21,1,43,1,48,1,48,1,73,1,86,2,103,1,107,1,121,1,181,1,185,1,190,1,194,1,268,1,281,1,281,1
57,6,16,2,16,1,16,2,16,1,16,2,16,4,16,1,16,1,21,1,21,1,21,1,25,1,25,1,48,1,51,1,51,1,78,1,90,2,107,1,112,1,125,1,185,1,190,1,194,1,198,1,272,1,285,1,285,1
100,6,21,2,21,1,21,2,21,1,21,2,21,4,21,1,21,1,25,1,25,1,25,1,29,1,29,1,51,1,56,1,56,1,82,1,95,2,112,1,116,1,129,1,190,2,194,1,198,1,203,1,276,1,290,1,290,1
111,6,25,2,25,1,25,2,25,1,25,2,25,5,25,1,25,1,29,1,29,1,29,1,34,1,34,1,56,1,60,1,60,1,86,1,99,2,116,1,121,1,134,1,194,2,198,1,203,1,208,2,281,1,294,1,294,1
176,6,29,2,29,1,29,2,29,1,29,2,29,5,29,1,29,1,34,0,34,0,34,2,38,1,38,0,60,0,65,0,65,0,90,0,103,0,121,0,125,0,138,0,198,2,203,1,208,0,212,1,285,0,298,0,298,0
215,7,34,2,34,1,34,2,34,1,34,2,34,4,34,1,34,1,38,1,38,0,38,2,43,1,43,0,65,0,69,0,69,1,95,0,107,0,125,0,129,0,142,0,203,2,208,1,212,0,216,1,290,0,303,0,303,0
222,6,38,2,38,1,38,2,38,1,38,2,38,3,38,1,38,1,43,1,43,0,43,2,48,0,48,0,69,0,73,0,73,1,99,0,112,0,129,0,134,0,146,1,208,2,212,1,216,0,220,1,294,0,307,0,307,0
235,5,43,2,43,1,43,2,43,1,43,2,43,3,43,1,43,1,48,1,48,0,48,2,51,0,51,0,73,0,78,0,78,1,103,0,116,0,134,0,138,0,151,1,212,2,216,1,220,0,224,1,298,0,311,0,311,0
273,5,48,2,48,1,48,2,48,1,48,2,48,3,48,1,48,1,51,1,51,0,51,2,56,0,56,0,78,0,82,0,82,1,107,0,121,0,138,0,142,0,155,1,216,2,220,1,224,0,229,1,303,0,316,0,316,0
277,5,51,2,51,1,51,2,51,1,51,2,51,3,51,1,51,1,56,1,56,0,56,2,60,0,60,0,82,0,86,0,86,1,112,0,125,0,142,0,146,0,159,1,220,2,224,1,229,0,233,1,307,0,320,0,320,0
302,5,56,2,56,1,56,2,56,1,56,2,56,3,56,1,56,1,60,1,60,0,60,2,65,0,65,0,86,0,90,0,90,1,116,0,129,0,146,0,151,0,163,1,224,2,229,1,233,0,237,1,311,0,325,0,325,0
304,6,60,1,60,1,60,2,60,1,60,2,60,4,60,1,60,1,65,2,65,0,65,2,69,0,69,0,90,0,95,0,95,0,121,0,134,0,151,0,155,0,168,1,229,2,233,1,237,0,242,0,316,0,329,0,329,0
307,7,65,1,65,1,65,2,65,1,65,2,65,4,65,1,65,1,69,2,69,0,69,2,73,0,73,0,95,0,99,1,99,0,125,0,138,0,155,0,159,0,172,0,233,2,237,1,242,0,247,0,320,0,333,0,333,0
319,8,69,1,69,1,69,2,69,1,69,2,69,3,69,1,69,1,73,2,73,0,73,2,78,1,78,0,99,0,103,1,103,0,129,0,142,0,159,0,163,1,177,1,237,2,242,1,247,0,251,0,325,0,337,0,337,0
322,7,73,2,73,1,73,2,73,1,73,2,73,4,73,1,73,1,78,2,78,0,78,2,82,1,82,0,103,0,107,1,107,0,134,0,146,0,163,0,168,1,181,1,242,2,247,1,251,0,255,0,329,0,341,0,341,0
328,7,78,2,78,1,78,2,78,1,78,2,78,4,78,1,78,1,82,2,82,0,82,2,86,1,86,0,107,0,112,1,112,1,138,0,151,0,168,0,172,1,185,1,247,2,251,1,255,0,259,0,333,0,346,0,346,0
341,7,82,2,82,1,82,2,82,1,82,2,82,4,82,1,82,1,86,2,86,0,86,2,90,1,90,0,112,0,116,1,116,1,142,0,155,0,172,0,177,1,190,1,251,2,255,0,259,0,263,0,337,0,350,0,350,0
,,86,2,86,1,86,2,86,1,86,2,86,3,86,1,86,1,90,2,90,0,90,2,95,1,95,0,116,0,121,1,121,1,146,0,159,0,177,0,181,1,194,1,255,2,259,0,263,0,268,0,341,0,354,0,354,0
,,90,2,90,1,90,2,90,1,90,2,90,2,90,1,90,1,95,0,95,0,95,2,99,1,99,0,121,0,125,0,125,1,151,0,163,0,181,0,185,1,198,1,259,2,263,0,268,0,272,0,346,0,,,,
