@relation rssi_NOrssi_total

@attribute Timeout numeric
@attribute 'Manual Count' numeric
@attribute Total_Devs numeric

@data
45,0,0
45,9,2
45,9,14
45,9,21
45,11,25
45,11,28
45,11,30
45,9,30
45,9,33
45,9,36
45,9,38
45,9,38
45,9,36
45,9,36
45,9,38
45,9,39
45,9,42
45,10,41
45,10,38
45,10,38
45,10,35
45,10,36
45,9,37
45,9,37
45,9,35
45,9,37
45,9,40
45,9,40
45,9,40
45,9,41
45,10,40
45,10,37
45,10,37
45,10,38
45,10,37
45,10,38
45,10,36
45,10,37
45,10,39
45,10,40
45,10,41
45,10,40
45,10,45
45,10,44
45,10,45
45,10,46
45,10,47
45,10,47
45,9,47
45,10,41
45,10,39
45,10,36
45,10,36
45,10,39
45,10,39
45,10,40
45,10,41
45,10,40
45,10,42
45,10,42
45,10,41
45,10,46
45,10,47
45,10,46
45,10,49
45,10,47
45,10,45
45,10,47
45,10,45
45,10,47
45,10,50
45,10,47
45,10,44
45,10,42
45,10,39
45,10,38
45,10,35
45,10,30
45,10,30
45,10,29
45,10,32
45,10,35
45,10,37
45,10,39
45,10,45
45,10,49
45,10,48
45,10,49
45,10,48
45,10,50
45,10,50
45,10,46
45,10,47
45,10,44
45,10,42
45,10,39
45,10,42
45,10,41
45,10,44
45,10,43
45,11,47
45,11,45
45,11,43
45,11,46
45,11,45
45,11,46
45,11,44
45,12,45
45,12,43
45,11,44
45,12,44
45,12,45
45,12,47
45,12,44
45,12,49
45,12,44
45,12,48
45,12,52
45,12,50
45,12,49
45,12,48
45,12,49
45,12,46
45,12,47
45,13,44
45,13,45
45,13,40
45,13,40
45,13,39
45,13,40
45,14,40
45,14,43
45,12,44
45,12,42
45,12,39
45,12,43
45,12,43
45,12,37
45,12,36
45,12,36
45,12,35
45,12,35
45,12,35
45,12,33
45,12,37
45,12,37
45,12,38
45,12,40
45,12,44
45,12,44
45,12,47
45,12,45
45,12,47
45,12,47
45,12,43
45,12,45
45,12,43
10,0,0
10,7,5
10,7,20
10,9,24
10,9,24
10,9,27
10,9,23
10,9,22
10,9,18
10,9,18
10,9,16
10,9,13
10,9,16
10,9,18
10,9,21
10,9,20
10,10,14
10,10,23
10,10,23
10,10,22
10,10,21
10,10,19
10,9,18
10,9,20
10,9,19
10,9,21
10,9,20
10,9,21
10,9,22
10,9,23
10,9,21
10,9,20
10,9,19
10,9,18
10,9,18
10,9,21
10,9,22
10,10,21
10,10,18
10,10,17
10,10,15
10,10,21
10,10,17
10,10,15
10,10,20
10,10,22
10,10,17
10,10,18
10,10,19
10,10,25
10,10,22
10,10,18
10,10,18
10,10,22
10,10,19
10,10,17
10,10,17
10,9,19
10,9,23
10,9,21
10,9,22
10,9,23
10,9,25
