@relation rssi_time_total-weka.filters.unsupervised.attribute.Remove-R3

@attribute Timeout numeric
@attribute RSSI numeric
@attribute 'Manual Count' numeric
@attribute Total_Devs numeric

@data
30,90,0,0
30,90,0,1
30,90,0,13
30,90,0,16
30,90,13,22
30,90,13,24
30,90,13,25
30,90,13,26
30,90,13,26
30,90,13,26
30,90,13,27
30,90,13,25
30,90,13,25
30,90,13,25
30,90,13,28
30,90,13,30
30,90,13,28
30,90,13,27
30,90,15,27
30,90,15,28
30,90,15,29
30,90,15,30
30,90,15,29
30,90,15,30
30,90,15,26
30,90,15,32
30,90,15,35
30,90,15,34
30,90,15,32
30,90,15,32
30,90,15,31
30,90,15,29
30,90,15,27
30,90,15,29
30,90,15,29
30,90,15,26
30,90,15,26
30,90,15,26
30,90,15,30
30,90,15,29
30,90,15,29
30,90,15,33
30,90,15,35
30,90,15,35
30,90,15,38
30,90,15,40
30,90,15,41
30,90,15,41
30,90,15,40
30,90,15,38
30,90,15,31
30,90,15,32
30,90,15,35
30,90,15,35
30,90,15,29
30,90,15,28
30,90,17,30
30,90,17,34
30,90,17,38
30,90,17,38
30,90,17,35
30,90,17,34
30,90,17,34
30,90,17,36
30,90,17,33
30,90,17,36
30,90,17,37
30,90,17,35
30,90,17,35
30,90,17,40
30,90,15,38
30,90,15,35
30,90,15,34
30,90,15,37
30,90,15,40
30,90,15,39
30,90,15,39
30,90,15,38
30,90,15,36
30,90,15,39
30,90,15,36
30,90,15,36
30,90,15,33
30,90,16,37
30,90,16,42
30,90,16,43
30,90,16,46
30,90,15,41
30,90,15,41
30,90,15,41
30,90,15,38
30,90,15,40
30,90,15,35
30,90,15,35
30,90,15,40
30,90,15,43
30,90,15,47
30,90,15,48
30,80,0,0
30,80,13,2
30,80,13,14
30,80,13,19
30,80,13,21
30,80,13,26
30,80,13,27
30,80,13,29
30,80,14,28
30,80,14,27
30,80,14,26
30,80,14,23
30,80,14,24
30,80,14,29
30,80,14,27
30,80,14,28
30,80,14,32
30,80,14,36
30,80,14,36
30,80,14,33
30,80,14,31
30,80,14,32
30,80,14,30
30,80,14,30
30,80,14,24
30,80,14,23
30,80,14,25
30,80,16,20
30,80,16,25
30,80,16,25
30,80,16,25
30,80,16,22
30,80,16,25
30,80,16,25
30,80,16,23
30,80,16,23
30,80,16,22
30,80,14,24
30,80,14,25
30,80,14,25
30,80,14,26
30,80,14,28
30,80,14,29
30,80,14,26
30,80,14,25
30,80,14,30
30,80,14,27
30,80,14,26
30,80,14,28
30,80,14,28
30,80,14,30
30,80,14,30
30,80,14,32
30,80,14,32
30,80,14,28
30,80,14,31
30,80,14,26
30,80,14,25
30,80,14,25
30,80,14,24
30,80,14,23
30,80,14,23
30,80,14,21
30,80,14,23
30,80,12,23
30,80,12,26
30,80,12,31
30,80,12,32
30,80,12,32
30,80,12,30
30,80,12,28
30,80,12,24
30,80,12,25
30,80,12,25
30,80,12,21
30,80,12,26
30,80,12,29
30,80,12,32
30,80,12,30
30,80,12,31
30,80,12,30
30,80,12,30
30,80,12,26
30,80,12,24
30,80,12,23
30,80,12,24
30,80,12,25
30,80,12,24
30,80,12,23
30,80,12,30
30,80,12,30
30,80,12,32
30,80,12,29
30,80,12,32
30,80,12,33
30,80,12,32
30,80,13,26
30,80,13,28
30,80,13,27
30,80,12,28
30,80,12,31
30,80,12,31
30,80,12,31
30,80,12,32
30,80,12,30
30,80,12,29
30,80,12,31
30,70,0,1
30,70,13,1
30,70,13,7
30,70,13,8
30,70,13,8
30,70,13,13
30,70,13,17
30,70,13,19
30,70,13,19
30,70,13,18
30,70,13,17
30,70,13,18
30,70,13,16
30,70,13,10
30,70,13,11
30,70,13,12
30,70,13,12
30,70,13,9
30,70,14,8
30,70,14,10
30,70,14,16
30,70,14,17
30,70,14,17
30,70,14,18
30,70,14,18
30,70,14,18
30,70,14,17
30,70,14,16
30,70,14,18
30,70,14,18
30,70,14,16
30,70,14,16
30,70,14,14
30,70,14,15
30,70,14,17
30,70,14,14
30,70,14,14
30,70,14,15
30,70,14,16
30,70,14,14
30,70,14,13
30,70,14,12
30,70,14,13
30,70,14,13
30,70,14,12
30,70,14,11
30,70,14,14
30,70,14,15
30,70,14,19
30,70,14,16
30,70,14,16
30,70,14,18
30,70,15,17
30,70,14,16
30,70,14,16
30,70,14,16
30,70,14,16
30,70,14,14
30,70,14,13
30,70,14,13
30,70,14,13
30,70,14,16
30,70,14,16
30,70,14,13
30,70,16,15
30,70,16,19
30,70,19,19
30,70,19,23
30,70,19,20
30,70,19,22
30,70,19,24
30,70,19,23
30,70,19,24
30,70,19,22
30,70,19,25
30,70,19,25
30,70,19,23
30,70,19,23
30,70,19,22
30,70,19,21
30,70,19,20
30,70,19,21
30,70,12,20
30,70,12,19
30,70,12,19
30,70,12,18
30,70,12,18
30,70,12,13
30,70,12,13
30,70,12,13
30,70,12,13
30,70,12,12
30,70,16,12
30,60,0,0
30,60,14,1
30,60,14,3
30,60,14,2
30,60,14,1
30,60,14,4
30,60,14,4
30,60,14,6
30,60,14,8
30,60,14,7
30,60,14,6
30,60,14,6
30,60,14,7
30,60,14,7
30,60,14,7
30,60,14,5
30,60,14,4
30,60,14,3
