Variable,Type,Classification
Timeout,Independent,Numerical
RSSI,Independent,Numerical
Manual Count,Independent,Numerical
Apple,Independent,Numerical
Apple Inc,Independent,Numerical
"Apple, Inc",Independent,Numerical
"Apple, Inc.",Independent,Numerical
Askey Computer Corp,Independent,Numerical
ASRock Incorporation,Independent,Numerical
ASUSTek COMPUTER INC.,Independent,Numerical
"Azurewave Technologies., inc.",Independent,Numerical
Belkin International Inc.,Independent,Numerical
Billion Electric Co. Ltd.,Independent,Numerical
"Billion Electric Co., Ltd.",Independent,Numerical
"BROTHER INDUSTRIES, LTD.",Independent,Numerical
"CABLE TELEVISION LABORATORIES, INC.",Independent,Numerical
Cisco,Independent,Numerical
"CISCO SYSTEMS, INC.",Independent,Numerical
"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Independent,Numerical
D-Link International,Independent,Numerical
D-LINK INTERNATIONAL PTE LIMITED,Independent,Numerical
Dell Inc,Independent,Numerical
DrayTek Corp.,Independent,Numerical
Elitegroup Computer System Co.,Independent,Numerical
"ELITEGROUP COMPUTER SYSTEM CO., LTD.",Independent,Numerical
Enerpoint Ltd.,Independent,Numerical
FUJI-XEROX CO. LTD.,Independent,Numerical
GainSpan Corp.,Independent,Numerical
"GIGA-BYTE TECHNOLOGY CO.,LTD.",Independent,Numerical
Hewlett Packard,Independent,Numerical
Hewlett-Packard Company,Independent,Numerical
"Hon Hai Precision Ind. Co.,Ltd.",Independent,Numerical
Hon Hai Precision Ind.Co.Ltd,Independent,Numerical
HTC Corporation,Independent,Numerical
"Huawei Technologies Co., Ltd",Independent,Numerical
IBM,Independent,Numerical
IBM Corp,Independent,Numerical
ICP Electronics Inc.,Independent,Numerical
Intel Corporate,Independent,Numerical
KYOCERA Document Solutions Inc.,Independent,Numerical
Lexmark International Inc.,Independent,Numerical
LG Electronics,Independent,Numerical
Liteon Tech Corp.,Independent,Numerical
Liteon Technology Corporation,Independent,Numerical
"Micro-Star Int'l Co, Ltd",Independent,Numerical
Microsoft,Independent,Numerical
Microsoft Corporation,Independent,Numerical
Motorola Mobility LLC,Independent,Numerical
"Murata Manufactuaring Co.,Ltd.",Independent,Numerical
"Murata Manufacturing Co., Ltd.",Independent,Numerical
"Murata Manufacturing Co.,Ltd.",Independent,Numerical
"NEC Platforms, Ltd",Independent,Numerical
NETCOMM LIMITED,Independent,Numerical
NETGEAR,Independent,Numerical
Netgear Inc,Independent,Numerical
Netgear Inc.,Independent,Numerical
"NETGEAR INC.,",Independent,Numerical
"Nintendo Co., Ltd.",Independent,Numerical
Nokia Corporation,Independent,Numerical
OnePlus Tech (Shenzhen) Ltd,Independent,Numerical
Panasonic Automotive Systems Company of America,Independent,Numerical
Paragon Technologies Inc.,Independent,Numerical
PEGATRON CORPORATION,Independent,Numerical
Pittasoft,Independent,Numerical
RICOH COMPANY LTD.,Independent,Numerical
Routerboard.com,Independent,Numerical
"Samsung Elec Co.,Ltd",Independent,Numerical
"Samsung Electro Mechanics co., LTD.",Independent,Numerical
"Samsung Electro Mechanics co.,LTD.",Independent,Numerical
SAMSUNG ELECTRO-MECHANICS,Independent,Numerical
"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Independent,Numerical
"Samsung Electronics Co., LTD",Independent,Numerical
"Samsung Electronics Co.,Ltd",Independent,Numerical
"Samsung Electronics ITS, Printer division",Independent,Numerical
SEIKO EPSON CORPORATION,Independent,Numerical
Seoul Commtech,Independent,Numerical
"Shenzhen JSR Technology Co.,Ltd.",Independent,Numerical
"Shenzhen Ogemray Technology Co., Ltd.",Independent,Numerical
"Shenzhen Xin KingBrand enterprises Co.,Ltd",Independent,Numerical
Sierra Wireless Inc,Independent,Numerical
SIRONA DENTAL SYSTEMS GmbH & Co. KG,Independent,Numerical
Sony Mobile Communications AB,Independent,Numerical
"SparkLAN Communications, Inc.",Independent,Numerical
TCT mobile limited,Independent,Numerical
"TP-LINK TECHNOLOGIES CO., LTD.",Independent,Numerical
"TP-LINK TECHNOLOGIES CO.,LTD.",Independent,Numerical
Ubiquiti Networks,Independent,Numerical
"Ubiquiti Networks, INC",Independent,Numerical
UNKNOWN,Independent,Numerical
"Verifone, INC.",Independent,Numerical
WISOL,Independent,Numerical
Wistron Corporation,Independent,Numerical
Wistron InfoComm(ZhongShan) Corporation,Independent,Numerical
Zebra Technologies Inc,Independent,Numerical
zte corporation,Independent,Numerical
Zultys Technologies,Independent,Numerical
